cell_id,tile,sample,sample_stage,x_pixel,y_pixel,x_um,y_um,x,y,n_genes,n_counts,leiden,predicted.celltype,predicted.celltype.score
W9_tile_0_cell_1120,tile_W9_0,W9,9w_1d,3418.0,15276.0,484.1518,2168.7445,484.1518,2168.7445,66,81.0,0,vCTB2,0.613859591878488
W9_tile_0_cell_190,tile_W9_0,W9,9w_1d,3479.0,15142.0,492.81258,2149.71918,492.81258,2149.71918,70,96.0,0,vCTB2,0.61380750853145
W9_tile_0_cell_384,tile_W9_0,W9,9w_1d,3656.0,14866.0,517.94304,2110.5327,517.94304,2110.5327,156,213.0,8,Fibroblast2,0.586698608386036
W9_tile_0_cell_565,tile_W9_0,W9,9w_1d,3205.0,15409.0,453.91006,2187.62784,453.91006,2187.62784,155,221.0,5,vCTB2,0.281068246909096
W9_tile_0_cell_992,tile_W9_0,W9,9w_1d,3667.5,15116.5,519.5758099999999,2146.09869,519.5758099999999,2146.09869,129,154.0,3,Fibroblast1,0.618408764515369
W9_tile_10_cell_100,tile_W9_10,W9,9w_1d,17632.5,12545.0,2502.32651,1780.99712,2502.32651,1780.99712,52,150.0,2,vCTB2,0.373167413858433
W9_tile_10_cell_118,tile_W9_10,W9,9w_1d,16955.0,12304.0,2406.13506,1746.77994,2406.13506,1746.77994,139,211.0,3,Fibroblast2,0.829641130271859
W9_tile_10_cell_142,tile_W9_10,W9,9w_1d,17412.0,12459.0,2471.01992,1768.78684,2471.01992,1768.78684,57,81.0,0,vCTB2,0.671926022597965
W9_tile_10_cell_155,tile_W9_10,W9,9w_1d,17755.0,12607.5,2519.71906,1789.87087,2519.71906,1789.87087,108,422.0,7,STB,0.252989955425007
W9_tile_10_cell_157,tile_W9_10,W9,9w_1d,17364.0,12370.0,2464.20488,1756.15062,2464.20488,1756.15062,247,527.0,5,unknown3,0.414537913732732
W9_tile_10_cell_177,tile_W9_10,W9,9w_1d,17845.0,12805.0,2532.49726,1817.91192,2532.49726,1817.91192,41,117.0,2,vCTB2,0.353590267525998
W9_tile_10_cell_183,tile_W9_10,W9,9w_1d,17710.0,12803.0,2513.32996,1817.62796,2513.32996,1817.62796,67,140.0,7,vCTB2,0.329850416916425
W9_tile_10_cell_216,tile_W9_10,W9,9w_1d,17109.0,12336.0,2427.99998,1751.3233,2427.99998,1751.3233,123,211.0,4,Fibroblast2,0.63295838829784
W9_tile_10_cell_234,tile_W9_10,W9,9w_1d,16719.0,12499.0,2372.62778,1774.46604,2372.62778,1774.46604,91,126.0,4,Fibroblast2,0.447750283828036
W9_tile_10_cell_236,tile_W9_10,W9,9w_1d,17555.0,12748.0,2491.32306,1809.81906,2491.32306,1809.81906,137,217.0,8,unknown3,0.254327669355314
W9_tile_10_cell_241,tile_W9_10,W9,9w_1d,17196.0,12596.0,2440.35224,1788.2381,2440.35224,1788.2381,125,183.0,3,Fibroblast2,0.555095642770805
W9_tile_10_cell_242,tile_W9_10,W9,9w_1d,17452.0,12769.0,2476.69912,1812.80064,2476.69912,1812.80064,64,84.0,4,Fibroblast2,0.246321390262239
W9_tile_10_cell_244,tile_W9_10,W9,9w_1d,16721.0,12394.0,2372.91174,1759.55814,2372.91174,1759.55814,212,427.0,9,Hofbauer cells,0.663206473091042
W9_tile_10_cell_267,tile_W9_10,W9,9w_1d,17428.0,12674.0,2473.2916,1799.31254,2473.2916,1799.31254,75,95.0,4,Fibroblast2,0.368014876478292
W9_tile_10_cell_289,tile_W9_10,W9,9w_1d,17264.0,12749.0,2450.00688,1809.96104,2450.00688,1809.96104,260,494.0,3,Fibroblast2,0.877133544784107
W9_tile_10_cell_290,tile_W9_10,W9,9w_1d,17532.5,12616.0,2488.12851,1791.0777,2488.12851,1791.0777,116,168.0,5,vCTB2,0.413596060715589
W9_tile_10_cell_299,tile_W9_10,W9,9w_1d,17514.0,12809.5,2485.50188,1818.55083,2485.50188,1818.55083,124,176.0,8,Fibroblast2,0.557041706656447
W9_tile_10_cell_303,tile_W9_10,W9,9w_1d,16704.0,12269.0,2370.49808,1741.81064,2370.49808,1741.81064,107,141.0,4,Fibroblast2,0.677929714521484
W9_tile_10_cell_333,tile_W9_10,W9,9w_1d,18181.0,11108.0,2580.20254,1576.97186,2580.20254,1576.97186,74,91.0,0,vCTB2,0.521042358115402
W9_tile_10_cell_378,tile_W9_10,W9,9w_1d,17543.0,12514.0,2489.6193,1776.59574,2489.6193,1776.59574,85,133.0,2,STB,0.328311169597404
W9_tile_10_cell_392,tile_W9_10,W9,9w_1d,17277.0,12285.0,2451.85262,1744.08232,2451.85262,1744.08232,179,283.0,5,unknown3,0.285728689094492
W9_tile_10_cell_412,tile_W9_10,W9,9w_1d,16934.0,12360.0,2403.15348,1754.73082,2403.15348,1754.73082,95,141.0,3,Fibroblast2,0.642145623657704
W9_tile_10_cell_425,tile_W9_10,W9,9w_1d,18343.0,11110.5,2603.2033,1577.32681,2603.2033,1577.32681,71,88.0,8,Fibroblast1,0.428939495624551
W9_tile_10_cell_434,tile_W9_10,W9,9w_1d,17558.0,12679.0,2491.749,1800.02244,2491.749,1800.02244,100,168.0,0,vCTB2,0.525440103731251
W9_tile_10_cell_436,tile_W9_10,W9,9w_1d,17811.0,12763.5,2527.66994,1812.01975,2527.66994,1812.01975,79,272.0,7,EVT2,0.271994590267664
