gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SRGN,8.992689387917569e-42,3.3333806755697406,0.5,0.058,1.985855597533837e-37
C1QA,1.9157597781361886e-38,2.5612574262847057,0.562,0.077,4.230572318058145e-34
CD83,1.1449324834408701e-37,4.37488422774924,0.328,0.026,2.5283544031824736e-33
TLR4,1.9995194017563784e-36,2.579024944529465,0.562,0.081,4.4155386948986106e-32
AC131944.1,4.5506894105905e-36,3.011164132328436,0.547,0.081,1.0049287425407e-31
LAPTM5,1.5552175298967116e-35,2.9055403089124794,0.531,0.077,3.4343868712709083e-31
FOLR2,1.1011778176658817e-34,2.711759704269736,0.578,0.094,2.4317309747515665e-30
CD14,8.643128024706379e-33,2.6299561709238457,0.656,0.136,1.9086619616959098e-28
CTSS,3.5315620846239434e-31,2.6611884129058807,0.562,0.099,7.798748551475055e-27
MRC1,4.26488273556253e-31,2.593949329139328,0.641,0.132,9.418140544942736e-27
LYVE1,7.911139867535039e-31,2.6264290981486487,0.672,0.154,1.7470170169477628e-26
CD68,9.42599550424432e-31,3.011286953560804,0.469,0.07,2.0815425872022734e-26
SYK,1.3261324677440772e-30,2.592020923634193,0.594,0.111,2.928498328519246e-26
PLA2G7,2.1033643976111924e-30,2.817143195763108,0.516,0.086,4.644859599244796e-26
MPEG1,3.25932376571184e-30,3.6097675932688844,0.312,0.03,7.197564671821456e-26
CD163,7.399363956045652e-30,2.40703166326378,0.625,0.126,1.6340015424135613e-25
CD200R1,2.7549801026188266e-29,2.6604964815582433,0.484,0.077,6.083822560613154e-25
PLD1,6.781330227294886e-29,2.5228453909759265,0.844,0.292,1.4975211540935297e-24
AC100849.1,6.840415902335134e-29,2.7115318623487177,0.484,0.076,1.5105690437126675e-24
C1QC,2.1773308474816344e-28,2.5723302919554567,0.484,0.08,4.808199710493693e-24
ARHGAP25,2.9093656756446244e-28,2.707950902930129,0.547,0.105,6.424752221526024e-24
WAS,3.4647420324399766e-28,3.3607400454289698,0.312,0.033,7.6511898302372e-24
SPP1,3.9501828304219703e-28,2.6488037489753515,0.969,0.412,8.723188744420836e-24
CD84,6.248184625822039e-28,3.144104020920073,0.438,0.067,1.379786610920281e-23
GPR34,8.834317291994615e-28,2.975387579366174,0.453,0.072,1.950882287591171e-23
TMSB4X,1.7271725764015737e-27,2.0762513003474496,0.828,0.258,3.814115200467595e-23
SCN9A,4.6881378737305715e-27,2.483998662336884,0.609,0.138,1.0352814866559222e-22
VSIG4,4.839595819732831e-27,2.2870683184119187,0.547,0.102,1.068727944871601e-22
LGALS9,6.187282130525843e-27,2.9990173257510744,0.359,0.045,1.3663375128840218e-22
SCN1A-AS1,8.022486855766809e-27,2.8060271855755623,0.516,0.098,1.7716057723589845e-22
FGL1,8.961298367970577e-27,2.1886941719441433,0.562,0.11,1.9789235185989427e-22
FCER1G,1.4562269997103775e-26,2.414054825029918,0.453,0.073,3.2157860834604265e-22
HPGDS,1.4935634048442725e-26,2.32640715464101,0.562,0.112,3.298236066917607e-22
FGF13,2.1499427517386562e-26,2.2827720521691615,0.578,0.12,4.747718578664474e-22
IL12RB2,5.447422789111474e-26,2.4253739982029328,0.438,0.068,1.2029543745194868e-21
LINC01374,7.834338216140596e-26,2.4336855813654257,0.453,0.074,1.730056908270328e-21
C3AR1,1.6397596412742859e-25,2.907308534456651,0.359,0.048,3.621081215826006e-21
RNASE1,1.678598221116727e-25,2.333129481884819,0.578,0.127,3.706848451692069e-21
MAF,2.8350803885142395e-25,2.340684654363438,0.766,0.247,6.260708021955995e-21
HAVCR2,3.4710560110982766e-25,2.570804437724497,0.438,0.071,7.665132989308324e-21
TLR7,3.475811410698696e-25,3.0383093568974764,0.312,0.037,7.675634338245931e-21
ADAMTS17,5.240587336456535e-25,2.2395985292491236,0.484,0.087,1.1572789015096967e-20
DOCK2,5.658507242802837e-25,2.1956963049779596,0.531,0.103,1.2495681544281505e-20
CD53,6.449954262784788e-25,2.7656741807814065,0.438,0.074,1.4243433998507648e-20
CD37,6.812101561877273e-25,2.9704939726699044,0.391,0.059,1.5043163879093583e-20
ATP1B1,6.981300981697737e-25,2.173810527736263,0.719,0.214,1.5416806957883113e-20
FAM20A,7.655033031621001e-25,2.480207345750025,0.547,0.117,1.6904609443728657e-20
NAV3,1.3772897567114487e-24,2.2743634431727577,0.609,0.145,3.041468969745892e-20
LAP3,1.9321361989319352e-24,2.601849378875512,0.516,0.106,4.2667363681013923e-20
SPRED1,2.18927861490709e-24,2.2406229856389577,0.844,0.346,4.834583965299327e-20
PTPRC,2.8268583471726483e-24,2.0895364902993916,0.516,0.1,6.242551288061359e-20
LY96,2.966994982014415e-24,2.507639436601011,0.469,0.085,6.552015018782433e-20
NBL1,4.1209950018241224e-24,3.2082343583397885,0.312,0.039,9.100393262528209e-20
CR1,4.948154163912422e-24,2.6151985570829503,0.391,0.059,1.09270088401678e-19
FCGR2A,6.4439080074792584e-24,2.418605605178558,0.469,0.086,1.4230082052916447e-19
ALDH1A1,9.037135664670602e-24,3.7260099632078902,0.266,0.029,1.9956706688292092e-19
RFLNB,1.0701128726851301e-23,2.3890053359938923,0.5,0.098,2.363130256750573e-19
DPP7,1.1200187868471817e-23,2.7659836723713283,0.375,0.056,2.4733374869946315e-19
FTL,1.2247365601638345e-23,2.3602707738400395,0.906,0.445,2.7045857458097955e-19
MAFB,1.288134371775801e-23,2.8361447437887293,0.422,0.073,2.844587133192501e-19
C1QB,1.3718443958132442e-23,2.430323214174666,0.438,0.076,3.029443979274387e-19
NCKAP1L,1.3752551440574882e-23,2.2305606324514873,0.5,0.097,3.036975934622151e-19
GPR85,1.724903521765182e-23,3.3931850444921836,0.297,0.036,3.8091044471140513e-19
SELENOP,2.6207125106262046e-23,2.1595769993213065,0.844,0.319,5.787319437215847e-19
PLTP,2.939684657067869e-23,2.0680073989853445,0.703,0.208,6.491705628202976e-19
TFEC,8.52352179842041e-23,2.113597484201713,0.469,0.088,1.882249318745179e-18
IER5L,8.910682420110192e-23,3.009454494225291,0.328,0.045,1.9677459988329337e-18
IGFBP4,1.1690163150943122e-22,2.472293769574347,0.469,0.093,2.5815387286227697e-18
SULT1C2,1.5728411468340382e-22,3.074815566825617,0.312,0.041,3.4733051045536065e-18
IGF1,1.924573437851483e-22,2.319291901785922,0.594,0.15,4.25003552280743e-18
ST6GAL1,2.1773729416347845e-22,2.042149377905295,0.547,0.12,4.808292667012095e-18
UCP2,2.271875321052139e-22,2.162580624036376,0.422,0.072,5.0169822714794384e-18
ATP8B4,2.2806189730353353e-22,2.025195439661264,0.688,0.207,5.036290878153931e-18
MYO5A,3.2399404624099137e-22,2.0105941676981973,0.641,0.172,7.154760523139812e-18
PLEK,4.525172575155178e-22,2.299195296152693,0.453,0.086,9.99293859771518e-18
KIAA1549L,7.786145447999586e-22,3.7182920500470535,0.203,0.018,1.7194144992817484e-17
FCGR1A,1.2011573588354164e-21,2.7027697779330015,0.344,0.052,2.65251579551625e-17
SPI1,1.2368798316676033e-21,2.876430720282759,0.375,0.063,2.7314017322715685e-17
APBB1IP,1.2931498471363136e-21,2.079283415292223,0.547,0.125,2.855662807431121e-17
ARRB2,1.3740056341494923e-21,2.6325051373966697,0.391,0.066,3.034216641892324e-17
A2M,1.571782276140411e-21,2.4425601919653426,0.594,0.158,3.47096680040087e-17
LNCAROD,1.6405077289138493e-21,2.349901182293068,0.5,0.11,3.6227332177604534e-17
DTNA,2.8109434678543325e-21,2.304861834441339,0.469,0.096,6.207406460062722e-17
HCST,3.671027627647782e-21,3.045342948752002,0.266,0.032,8.106730310134598e-17
CELF2,3.7596507047038785e-21,2.078311707138772,0.625,0.166,8.302436651197575e-17
CD28,4.617987506375857e-21,2.6473173315852834,0.328,0.048,1.0197901810329805e-16
IGSF6,4.949059702185985e-21,2.904581321846998,0.422,0.082,1.092900854033731e-16
LINC01094,6.39591343588894e-21,2.2436396944709873,0.391,0.066,1.4124095640473546e-16
MEF2C,6.661717497431529e-21,1.9923172397988238,0.672,0.204,1.4711070749578047e-16
CYBB,7.09797223691215e-21,2.059075739241776,0.516,0.116,1.56744520907731e-16
RAB3IL1,7.232414423945932e-21,3.137845030448391,0.266,0.032,1.59713407723998e-16
BLVRA,8.370644214883804e-21,2.4452735556406378,0.438,0.086,1.8484893619727905e-16
PLEKHO1,8.889662317531634e-21,2.4953142381402333,0.375,0.063,1.9631041295805108e-16
ZFP36,1.0445439932263066e-20,2.5883514193062043,0.422,0.082,2.306666500241653e-16
PMP22,1.0457860276887993e-20,1.915362098428335,0.75,0.272,2.3094092849451753e-16
CTSB,1.3031988194871461e-20,2.4237596609803442,0.672,0.237,2.877853953073465e-16
GADD45B,1.667256613395005e-20,3.0061619213829363,0.328,0.051,3.6818027793601895e-16
TPP1,2.0005915275045792e-20,2.084049901963446,0.547,0.132,4.4179062701883623e-16
ATP2B1-AS1,2.881436741770162e-20,2.7762467901310073,0.312,0.046,6.363076756851048e-16
ZFP36L2,4.044048819032221e-20,2.185247899679182,0.562,0.145,8.930473007068853e-16
CD163L1,5.304613555915934e-20,1.8292841592988571,0.531,0.128,1.1714178115529157e-15
MT-ATP8,5.344782450753796e-20,1.4520039012598587,0.906,0.36,1.1802883085999608e-15
