gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HRH1,4.2886327158039893e-41,3.3994068475650794,0.529,0.086,9.47058762630995e-37
PRKCB,1.0047099746612394e-38,3.310968882897496,0.494,0.081,2.218701037044415e-34
RYR1,1.064743940814707e-38,3.1595798328926112,0.448,0.064,2.3512740445011175e-34
WDFY4,1.4945986045739179e-35,2.9453752166703717,0.414,0.058,3.300522098480583e-31
TRPM2,1.554099620871206e-35,3.1216258563620993,0.414,0.058,3.4319181927698843e-31
RTN1,8.563711880416505e-34,3.154136721207125,0.414,0.064,1.8911244945523768e-29
AC025569.1,1.2806026741823067e-33,3.3435536128315624,0.345,0.042,2.827954885396788e-29
AL160272.1,3.802945230877965e-33,3.152968952261981,0.391,0.056,8.39804395334781e-29
SLCO2B1,1.0724484714274501e-32,2.5354683971411083,0.552,0.116,2.3682879594532382e-28
PIK3R5,2.187471872696228e-32,3.2791126138473676,0.379,0.054,4.83059413647508e-28
SIGLEC1,2.939421310265405e-32,2.8194105997372727,0.448,0.076,6.491124079459094e-28
FGL1,2.592621218694842e-31,3.112525699776918,0.506,0.107,5.725285437243819e-27
SRGAP3,3.857790146879886e-31,3.2752855357358923,0.483,0.098,8.519157981354851e-27
AC126177.3,4.10545552944406e-31,3.4770277446875535,0.356,0.05,9.066077445671319e-27
TMEM163,1.0676648213912242e-30,3.750879218066457,0.253,0.024,2.3577242250782403e-26
DOCK2,2.528164721536567e-30,2.6239007915468155,0.494,0.1,5.582946154569201e-26
PLD1,8.37806619728441e-30,2.2005429617248726,0.782,0.288,1.8501283583463164e-25
RTN4RL1,1.477494199490416e-29,3.7990143062743176,0.218,0.018,3.262750440734686e-25
FLI1,1.5304937389130155e-29,2.186987617037234,0.54,0.119,3.379789323641612e-25
PTPRN2,4.273981187509009e-29,4.307776372099512,0.253,0.026,9.438232656376144e-25
LNCAROD,1.1813605652219222e-28,3.000015955044827,0.483,0.106,2.608798536179571e-24
TMEM273,8.465199616898037e-28,2.975807334782812,0.379,0.064,1.8693700313995934e-23
ABCC5,9.627982688273935e-28,2.278270410063445,0.575,0.145,2.1261474170515332e-23
FAM20A,1.1607657394531696e-27,2.5647355082686234,0.506,0.113,2.5633189824344343e-23
RUNX1,8.57390523616191e-27,2.564342462166001,0.598,0.174,1.8933754933016346e-22
PLA2G7,1.0227752495792618e-26,2.3729346362038886,0.437,0.084,2.2585945836458836e-22
SYK,2.1259270063302384e-26,2.2183926674609613,0.494,0.109,4.694684608079065e-22
AC131944.1,2.9286229883132e-26,2.3482488072911165,0.425,0.081,6.46727814509204e-22
GNG7,3.7391248808125424e-26,2.7155909599176384,0.333,0.051,8.257109474298338e-22
PREX1,1.1686024346869844e-25,2.5676783301548785,0.494,0.117,2.5806247565192675e-21
CELF2,1.9722863533154923e-25,2.492516251956561,0.575,0.163,4.355399954026601e-21
RUBCNL,3.9317968894976202e-25,2.8462530850745997,0.425,0.09,8.682587071077595e-21
GRIN2C,3.955814846869613e-25,2.9612857351731945,0.276,0.036,8.735625926342167e-21
TFEC,4.658436999155089e-25,2.39940684756508,0.425,0.086,1.0287226425234183e-20
SLC38A6,6.044321646097727e-25,2.8882222729834712,0.621,0.212,1.334767549107761e-20
TBXAS1,1.0680640168216102e-24,2.9572449472429474,0.448,0.103,2.358605768347162e-20
ADAP2,1.3997898060533169e-24,2.1148392801816445,0.563,0.156,3.09115582870754e-20
PIK3CD,1.9268605645264193e-24,2.9182801578284634,0.299,0.044,4.2550861846436914e-20
NCKAP1L,2.4025684714037993e-24,2.2344480990161166,0.448,0.094,5.30559195540101e-20
LINC01645,3.973184544568596e-24,3.373871755457942,0.287,0.042,8.77398342977083e-20
PLEKHA2,4.9265336309741626e-24,2.1410438814551838,0.575,0.162,1.0879264217280242e-19
SCN1A-AS1,6.857411769624935e-24,2.0019716647516717,0.448,0.096,1.5143222410862744e-19
AC044893.1,7.026943751664825e-24,3.3719261111429724,0.207,0.021,1.5517599886801435e-19
APBB1IP,1.001977016298803e-23,2.379025347567059,0.494,0.123,2.2126658450926464e-19
