gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TRIM64B,0,4.769940444153388,0.512,0.034,0
LINC01338,0,4.658757711181099,0.461,0.03,0
GUCA2B,0,4.336847409733949,0.494,0.027,0
AL391422.3,0,4.310759338048841,0.472,0.023,0
GJB3,0,4.12006603348777,0.43,0.021,0
AC022916.4,0,4.07224629584508,0.43,0.018,0
LINC01792,0,3.753722917533553,0.423,0.022,0
AL109924.4,2.2112214232005056e-298,4.193927446492982,0.339,0.011,8.081129813228568e-294
BX005040.1,4.289969546048432e-296,4.186700751468471,0.566,0.058,1.56781227029886e-291
C5orf46,2.9540583452274163e-294,4.8570696154909605,0.492,0.04,1.0795901628468116e-289
AC124276.2,4.478351706919229e-285,3.8260558563955627,0.572,0.062,1.6366584148107014e-280
AC074031.1,7.210691243603342e-283,4.265922424150963,0.39,0.021,2.6352192218872775e-278
AC126407.1,5.269655679820982e-277,4.046521203936616,0.412,0.025,1.925848364747376e-272
AP006222.2,7.123738098444709e-268,3.8320182433682284,0.399,0.024,2.6034413254576036e-263
FGFBP1,5.697797362166403e-262,4.597098866402064,0.521,0.057,2.0823170239773337e-257
AL590491.2,2.363223432498756e-261,4.1824744078979545,0.461,0.039,8.636636356409954e-257
AC091544.4,8.9387183342449845e-256,3.7241866925821503,0.494,0.049,3.266744002433172e-251
LINC02473,3.0589721470314916e-253,3.9279689631230035,0.486,0.047,1.1179319608541289e-248
BX005214.1,1.1505666340326982e-249,4.12616489118979,0.666,0.112,4.204860820735899e-245
CDH16,7.704866023838983e-249,4.054720223577808,0.472,0.045,2.8158203370721946e-244
PAPPA-AS1,9.586128127417893e-246,4.167572974794874,0.575,0.08,3.5033463854461435e-241
LINC02701,1.6699079054767557e-244,3.668563082889195,0.523,0.06,6.102845431355352e-240
AC122710.2,2.3979859140608776e-240,4.098350551087052,0.316,0.015,8.763679321526883e-236
SLC17A4,3.6400558435766077e-239,3.4005129439406634,0.563,0.074,1.330294808593507e-234
LINC00160,6.382651756641409e-239,3.70563874870523,0.356,0.021,2.3326039109821694e-234
AL391422.2,3.6825694661899125e-237,4.4310069216257375,0.666,0.123,1.3458318371137654e-232
AL021707.8,4.967230214429682e-237,3.455661304812134,0.41,0.031,1.8153239541654715e-232
AC093579.1,2.0693517026579318e-236,4.586261382761051,0.263,0.008,7.562652732533678e-232
PPP4R4,2.1035006267620224e-235,4.112479092351202,0.793,0.187,7.687453390564487e-231
LINC01683,1.0849717607373646e-234,4.569655985293294,0.263,0.008,3.9651377967907725e-230
AL109914.1,1.5102154313092744e-233,3.5108822906778627,0.474,0.049,5.519233315262874e-229
AC115102.1,2.033706022542191e-231,3.577075736862871,0.352,0.022,7.4323820299826905e-227
LYZL6,2.713286295791429e-231,4.114581712863677,0.292,0.012,9.915976096599357e-227
AWAT1,7.040837043240024e-230,4.124664642561938,0.303,0.014,2.5731443058224992e-225
HLA-DOB,9.258273469767634e-230,3.224702205399609,0.606,0.094,3.3835286222612795e-225
AADACL3,1.8244018438642348e-228,3.1400638604920825,0.737,0.161,6.667458978586232e-224
AC026427.1,5.829024395427512e-227,3.285410323173255,0.559,0.078,2.1302752555529388e-222
AL109924.2,5.7259370271370815e-226,3.2813549164322406,0.543,0.071,2.0926009459375177e-221
AC022733.2,4.817130053871119e-221,2.3637974900018035,0.65,0.108,1.760468349487739e-216
AC027228.2,1.7797713805376257e-220,4.05179895516846,0.314,0.017,6.504352487312807e-216
AC090572.3,9.129761631428137e-219,3.891346498989387,0.595,0.098,3.336562685821727e-214
SPRR2G,1.1298131512389809e-216,0.3171453449277375,0.682,0.146,4.12901514251798e-212
AC254633.1,1.3555020743444716e-215,3.065703302098509,0.588,0.091,4.953817880899306e-211
HTR3E,7.795346685017227e-215,4.938651826836002,0.343,0.024,2.8488873995063957e-210
OR5H14,6.019022192325406e-214,3.344385004107499,0.612,0.104,2.199711850407243e-209
SOX30,9.665749294335278e-212,3.4400810113363303,0.677,0.143,3.532444737107771e-207
HOXA1,5.955153054712148e-211,3.533776026793822,0.41,0.039,2.1763702353751016e-206
SACS-AS1,4.3033443185538376e-209,4.966627709927624,0.22,0.006,1.5727002146586855e-204
Z82188.2,2.924223719766719e-208,3.0304658780177975,0.65,0.126,1.0686868006259451e-203
AC012668.2,2.9538490423353824e-208,3.589090167402621,0.445,0.048,1.0795136710118888e-203
GKN1,4.460360753883042e-207,3.646846908317471,0.615,0.113,1.6300834411140967e-202
OR6C76,4.7819090228994764e-207,5.005003091376878,0.261,0.011,1.7475964715088425e-202
AL133482.1,4.545957528556308e-206,2.9012535614723687,0.673,0.139,1.6613656383861884e-201
AC007639.1,3.3184699306317625e-205,4.087428505967317,0.312,0.019,1.2127680208486839e-200
AL139327.2,4.035786069550658e-205,2.1857020517316847,0.55,0.078,1.4749183769779835e-200
CLDN8,7.328882973916978e-204,3.363724413909633,0.432,0.045,2.6784135716476987e-199
ZNF80,1.5116210467395208e-203,3.931989391724694,0.287,0.015,5.524370277414252e-199
AL583722.3,1.5218391634338707e-203,3.1396925553661426,0.425,0.043,5.561713406685424e-199
