gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SPRR2G,0,6.858987341596276,0.86,0.131,0
AC008759.3,0,4.896309339080827,0.283,0.002,0
AL359693.1,0,4.804283538181626,0.362,0.004,0
AL136981.3,0,4.626005020480565,0.373,0.005,0
AC012313.7,0,4.532627324142601,0.353,0.011,0
LINC01939,0,4.376720120620414,0.419,0.02,0
AC107294.3,0,4.367518147041588,0.557,0.048,0
AC007671.1,0,4.357566319258561,0.351,0.008,0
AP003065.1,0,4.334033101184485,0.289,0.003,0
AL109837.3,0,4.328123729050349,0.281,0.003,0
AC006450.3,0,4.3247911124810345,0.537,0.023,0
AL445493.2,0,4.3018041575181245,0.471,0.018,0
LINC02650,0,4.281498507862132,0.263,0.002,0
OR8B3,0,4.272374238675555,0.57,0.03,0
AL022337.1,0,4.188976387877489,0.27,0.003,0
AC100843.1,0,4.1838360575391516,0.336,0.009,0
MMP3,0,4.177786780019809,0.789,0.115,0
AC087318.1,0,4.100359467230704,0.502,0.027,0
SLC10A2,0,4.019451560717597,0.357,0.012,0
RLN3,0,3.9677021544473705,0.404,0.015,0
LHX2,0,3.9673104314905454,0.871,0.168,0
AL109914.1,0,3.9259993626809377,0.638,0.036,0
AC003965.2,0,3.917005410020769,0.64,0.058,0
AC013549.3,0,3.8165705604565083,0.513,0.036,0
AC084734.1,0,3.8048175336698353,0.739,0.077,0
AL583839.1,0,3.783866925174796,0.45,0.024,0
KCNF1,0,3.7599463275945215,0.868,0.137,0
AC010387.1,0,3.72971561242342,0.719,0.071,0
AL109924.2,0,3.6980145247926073,0.689,0.059,0
PRSS41,0,3.683652957270866,0.857,0.145,0
AC061975.4,0,3.663467811258342,0.45,0.021,0
HLA-DOB,0,3.606530736144326,0.818,0.077,0
SPDYE9P,0,3.502447113021632,0.57,0.046,0
AP000696.2,0,3.4492910330652293,0.561,0.047,0
CELA1,0,3.4340520899354976,0.879,0.129,0
AP000553.2,0,3.416150148095861,0.539,0.042,0
GKN1,0,3.415168623490253,0.765,0.101,0
AC092535.5,0,3.403870685595435,0.623,0.062,0
AL121992.3,0,3.316526792705579,0.379,0.011,0
TMEM108-AS1,0,3.31493730949087,0.621,0.055,0
AP001189.1,0,3.309865419420982,0.866,0.172,0
AC254633.1,0,3.2974146413771406,0.719,0.08,0
AL139002.1,0,3.296689908886264,0.851,0.147,0
