"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"SLC12A8",1.14953699279836e-307,10.8970802431792,1,0.16,4.2010978938809e-303,"Upregulated in Hotspots"
"TLCD3A",8.44174812612014e-303,4.0287521589315,0.991,0.102,3.08512127017186e-298,"Upregulated in Hotspots"
"AC096741.1",5.35925472909387e-296,4.8182166029099,0.949,0.044,1.95859323329465e-291,"Upregulated in Hotspots"
"TNFRSF25",6.01553534645412e-296,5.34877793085544,0.973,0.127,2.19843754771512e-291,"Upregulated in Hotspots"
"ALS2CL",1.06883444028307e-294,6.14544689822004,0.977,0.141,3.90616234545852e-290,"Upregulated in Hotspots"
"PIP5KL1",4.91798581226295e-294,4.65715083373523,0.936,0.029,1.79732709494962e-289,"Upregulated in Hotspots"
"SOBP",5.55052806911673e-294,3.36208176824511,0.99,0.067,2.0284959881394e-289,"Upregulated in Hotspots"
"SEC24D",1.87965559987287e-292,5.51601415049684,1,1,6.86938935529538e-288,"Upregulated in Hotspots"
"MAPK8IP2",1.00909301440729e-291,5.42140527957425,0.935,0.059,3.68783133045287e-287,"Upregulated in Hotspots"
"ZNF423",5.59274956386344e-285,3.94044803180049,0.983,0.134,2.04392625560953e-280,"Upregulated in Hotspots"
"CBLB",7.76790217915755e-285,68.7713194285611,1,1,2.83885753039492e-280,"Upregulated in Hotspots"
"NDUFS6",1.80620322650427e-284,-4.36521621870845,1,1,6.60095031158249e-280,"Upregulated in Coldspots"
"SLC25A5",2.69183875523423e-284,-7.9130967884411,1,1,9.83759391487902e-280,"Upregulated in Coldspots"
"DPF1",5.59588061862212e-284,5.58753092026264,0.908,0.015,2.04507053088164e-279,"Upregulated in Hotspots"
"FKBP10",3.17198375179605e-283,5.48034160202846,0.977,0.179,1.15923318193138e-278,"Upregulated in Hotspots"
"AC007319.1",6.19318080740837e-283,9.66123739353734,1,1,2.26335985787546e-278,"Upregulated in Hotspots"
"HMGB2",2.60297611633441e-282,-10.0180374032468,1,1,9.51283651475575e-278,"Upregulated in Coldspots"
"GGCT",4.40772748330337e-282,-2.9542806720734,1,1,1.61084808604805e-277,"Upregulated in Coldspots"
"AC010343.3",4.8377751316198e-282,4.64597754856117,0.971,0.166,1.76801329960177e-277,"Upregulated in Hotspots"
"RPS21",1.52310162729918e-281,-53.539184204711,1,1,5.56632720712759e-277,"Upregulated in Coldspots"
"TTC3",8.14969951828553e-281,4.68128163329639,1,1,2.97838918595263e-276,"Upregulated in Hotspots"
"SFXN3",2.47398711214021e-280,4.67046420994187,0.991,0.297,9.0414333000276e-276,"Upregulated in Hotspots"
"NPHP3-AS1",2.41702166544894e-279,5.29726382493524,0.891,0.012,8.8332473785497e-275,"Upregulated in Hotspots"
"REPS2",4.64978201919288e-279,6.95782112100054,1,0.214,1.69930933673423e-274,"Upregulated in Hotspots"
"SHISA4",8.51074388428222e-279,4.67927803254193,0.954,0.069,3.11033645994978e-274,"Upregulated in Hotspots"
"AC068989.1",1.39812875514259e-278,4.10525669771965,0.907,0.049,5.1096013485441e-274,"Upregulated in Hotspots"
"NUAK1",1.68459002124611e-278,5.01774865104874,0.985,0.685,6.15650269164605e-274,"Upregulated in Hotspots"
"HMGA1",1.84650143021854e-278,-3.66177572234233,0.997,1,6.74822412687666e-274,"Upregulated in Coldspots"
"CPZ",2.70833564381984e-278,6.9875620083669,0.886,0.011,9.89788344390397e-274,"Upregulated in Hotspots"
"HMGB1",5.10575426067303e-278,-14.8772604491446,1,1,1.86594895210557e-273,"Upregulated in Coldspots"
"HIST1H3B",7.17737346539384e-277,-4.1686088989193,0.999,1,2.62304290666283e-272,"Upregulated in Coldspots"
"MIR762HG",1.47759657459647e-276,4.03847485819762,0.966,0.12,5.40002444152026e-272,"Upregulated in Hotspots"
"LDHB",1.74119583345606e-276,-6.42845654567786,1,1,6.3633742929485e-272,"Upregulated in Coldspots"
"ZNF704",4.48571643810638e-276,5.2094939857432,1,1,1.63934992947036e-271,"Upregulated in Hotspots"
"AC007878.1",5.63698989454928e-276,3.66637583569392,0.955,0.063,2.06009432686198e-271,"Upregulated in Hotspots"
"MTRNR2L1",3.05738422009408e-275,-104.632047082634,1,1,1.11735163707558e-270,"Upregulated in Coldspots"
"FER",4.5848188893492e-275,4.36988669665436,1,1,1.67556791130156e-270,"Upregulated in Hotspots"
"HIST1H4C",8.24467483372371e-275,-12.293427177883,1,1,3.01309886473267e-270,"Upregulated in Coldspots"
"ODF2L",1.03449813300166e-274,5.86370310311372,1,0.958,3.78067687686785e-270,"Upregulated in Hotspots"
"ZNF597",1.72608041063683e-273,4.02007533324903,0.938,0.126,6.30813346871337e-269,"Upregulated in Hotspots"
"ECI2",3.0300396359074e-273,-2.87038473606734,1,1,1.10735828533872e-268,"Upregulated in Coldspots"
"ATP5MF",5.3865276782018e-273,-4.4039412925592,1,1,1.96856040527563e-268,"Upregulated in Coldspots"
"DBI",6.53868638865891e-273,-5.76592660505511,1,1,2.38962832759928e-268,"Upregulated in Coldspots"
"DLGAP5",7.81668013501194e-273,-4.27803967363682,0.594,0.998,2.85668392214147e-268,"Upregulated in Coldspots"
"AP3S1",1.85316346893105e-272,4.46209392892676,1,1,6.7725712135554e-268,"Upregulated in Hotspots"
"EVI5",3.82103061123091e-272,-10.5627902295006,1,1,1.39643384718045e-267,"Upregulated in Coldspots"
"PCNA",1.23143020466945e-271,-3.6881507544712,1,1,4.50038482598499e-267,"Upregulated in Coldspots"
"Z95114.1",1.54842613117605e-271,4.01298872378462,0.969,0.143,5.65887813899599e-267,"Upregulated in Hotspots"
"UBB",1.78991378609535e-271,-8.93163677662452,1,1,6.54141892266407e-267,"Upregulated in Coldspots"
"CAMTA1",5.52784373425668e-271,-0.903051146765637,1,1,2.02020577112144e-266,"Upregulated in Coldspots"
"CACNA1A",6.24056084337423e-271,4.25645160943568,0.985,0.131,2.28067536581955e-266,"Upregulated in Hotspots"
"ZBED6",7.09519136935698e-271,4.06340816495817,0.968,0.105,2.5930086378452e-266,"Upregulated in Hotspots"
"COX7B",9.55825894315097e-271,-6.01201659053584,1,1,3.49316131336395e-266,"Upregulated in Coldspots"
"MTRNR2L12",1.11261715679901e-270,-Inf,1,1,4.06617066123768e-266,"Upregulated in Coldspots"
"CNEP1R1",1.26055320959651e-270,3.23173028176437,0.994,0.182,4.60681775979142e-266,"Upregulated in Hotspots"
"CACNB3",1.40288421599075e-270,4.01606104082169,0.959,0.101,5.1269806557598e-266,"Upregulated in Hotspots"
"GSTO1",1.8516157521093e-270,-4.21736593342263,1,1,6.76691492765863e-266,"Upregulated in Coldspots"
"LINC02516",1.97192212383168e-270,6.47318408150783,0.885,0.048,7.20658659375525e-266,"Upregulated in Hotspots"
"HNRNPLL",2.78435161702259e-270,2.11000936653157,1,1,1.01756914195708e-265,"Upregulated in Hotspots"
"NUP210",7.27140375976861e-270,-4.17685258185796,0.859,0.987,2.65740721804504e-265,"Upregulated in Coldspots"
