"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"PLD1",1.27371494187578e-53,7.36981542428391,0.819,0.021,2.81274470614429e-49,"Upregulated in Hotspots"
"KLRD1",3.66872909754738e-53,-7.99435343685886,0.021,0.813,8.10165446611389e-49,"Upregulated in Coldspots"
"LINC01949",1.00794917398928e-42,-3.48199769457451,0.275,0.912,2.22585416092052e-38,"Upregulated in Coldspots"
"GULP1",1.10650942393722e-40,-3.25261015420639,0.358,0.938,2.44350476088056e-36,"Upregulated in Coldspots"
"ANK3",7.88818402009323e-40,-2.87058889719879,0.316,0.917,1.74194767715719e-35,"Upregulated in Coldspots"
"CYP19A1",8.15650581958924e-39,-3.78483929465315,0.259,0.86,1.80120118013989e-34,"Upregulated in Coldspots"
"PLAC4",3.33488512349749e-38,-3.9745887603238,0.176,0.798,7.3644268182195e-34,"Upregulated in Coldspots"
"TACC2",1.54360070458513e-37,-2.93423690274979,0.259,0.86,3.40873343593535e-33,"Upregulated in Coldspots"
"GRIP1",1.21489149883979e-36,-2.17918792277128,0.306,0.922,2.6828448968879e-32,"Upregulated in Coldspots"
"EXPH5",1.86389652615527e-36,-3.45669665091606,0.15,0.777,4.11604269870869e-32,"Upregulated in Coldspots"
"SLC43A2",4.63534450698214e-36,-2.91462624438812,0.295,0.855,1.02362312747687e-31,"Upregulated in Coldspots"
"COBLL1",8.59000810580205e-36,-2.15952436326558,0.404,0.943,1.89693149000427e-31,"Upregulated in Coldspots"
"PAPPA2",1.07777492989134e-35,-3.76856555070113,0.254,0.813,2.38005037767904e-31,"Upregulated in Coldspots"
"SLC38A1",4.6420731028353e-35,-2.7012738870229,0.244,0.85,1.02510900329912e-30,"Upregulated in Coldspots"
"TGM2",4.65399524041457e-35,-3.41192488741151,0.212,0.793,1.02774176894075e-30,"Upregulated in Coldspots"
"CEPT1",5.64371848947501e-35,2.96025382120724,0.777,0.181,1.24630235403077e-30,"Upregulated in Hotspots"
"TUSC3",5.70300414413142e-35,-2.27462238010901,0.44,0.948,1.25939440514854e-30,"Upregulated in Coldspots"
"SPRED1",1.076362024614e-34,4.02974734339405,0.705,0.104,2.37693025895509e-30,"Upregulated in Hotspots"
"PHLDB2",2.29317206311938e-34,-2.90965854637844,0.326,0.891,5.06401186698652e-30,"Upregulated in Coldspots"
"ZEB2",2.61256656309253e-34,3.3208092929384,0.829,0.342,5.76933074127724e-30,"Upregulated in Hotspots"
"SHANK2",4.20997855213072e-34,-2.80202640246041,0.244,0.85,9.29689563667026e-30,"Upregulated in Coldspots"
"ZFAT",8.16941292169666e-34,-2.24377094490525,0.332,0.912,1.80405145549827e-29,"Upregulated in Coldspots"
"AC022872.1",1.01070420791133e-33,-2.9935449778627,0.161,0.756,2.2319381023306e-29,"Upregulated in Coldspots"
"SPTLC3",1.0750817154727e-33,-3.15346040002458,0.363,0.865,2.37410295227836e-29,"Upregulated in Coldspots"
"ATXN1",2.34458480104703e-33,3.64385618977472,0.715,0.14,5.17754661615217e-29,"Upregulated in Hotspots"
"NRK",1.31458057004964e-32,-2.61056731687156,0.176,0.788,2.90298827284062e-28,"Upregulated in Coldspots"
"ADAMTS6",2.07924040501126e-32,-2.90880525420525,0.249,0.839,4.59158658638637e-28,"Upregulated in Coldspots"
"EGFR",3.62545723775521e-32,-2.1342002709253,0.42,0.922,8.00609721813482e-28,"Upregulated in Coldspots"
"ERVW-1",4.30546118141909e-32,-2.96538624491866,0.124,0.699,9.50774992692778e-28,"Upregulated in Coldspots"
"FBN2",6.03637734878649e-32,-1.93161302501975,0.363,0.907,1.33301320993252e-27,"Upregulated in Coldspots"
"PSG6",1.16231513088893e-31,-3.66888498426625,0.083,0.653,2.56674050354203e-27,"Upregulated in Coldspots"
"CHODL",1.28011939208608e-31,-2.87808943359484,0.083,0.679,2.82688765354368e-27,"Upregulated in Coldspots"
"PSG3",1.38085968546015e-31,-2.81256321306037,0.207,0.772,3.04935244340165e-27,"Upregulated in Coldspots"
"SYNE2",2.06733756171953e-31,-1.92253458455416,0.513,0.948,4.56530153754524e-27,"Upregulated in Coldspots"
"ZSWIM6",2.42511642978042e-31,3.36806987653208,0.741,0.212,5.3553846118841e-27,"Upregulated in Hotspots"
"PAPPA",3.29708272979228e-31,-3.32891850779298,0.254,0.793,7.2809477922003e-27,"Upregulated in Coldspots"
"DOCK4",4.68250581497977e-31,2.99005719675242,0.668,0.088,1.03403775912198e-26,"Upregulated in Hotspots"
"PRKCZ",1.57713614454656e-30,-3.18982455888002,0.161,0.72,3.48278974800218e-26,"Upregulated in Coldspots"
"MED12L",1.64473722484202e-30,-2.63459326844576,0.145,0.736,3.63207321361862e-26,"Upregulated in Coldspots"
"MAST4",1.78900454815252e-30,-1.61447174288388,0.337,0.912,3.95065874368522e-26,"Upregulated in Coldspots"
"RYBP",2.30030998412965e-30,-2.78962655287389,0.58,0.922,5.07977453795352e-26,"Upregulated in Coldspots"
