"cell","orig.ident","nCount_RNA_raw","nFeature_RNA_raw","sample_id","gestational_week","tile","sample","sample_stage","x_pixel","y_pixel","x_um","y_um","x","y","n_genes","n_counts","leiden","predicted.celltype","predicted.celltype.score","week","spatial_x_use","spatial_y_use","celltype_author","predicted.id","prediction.score.max","celltype_final_conservative","celltype_final_source","celltype_final_refined","celltype_refined_source","lineage_EVT","lineage_vCTB","lineage_STB","lineage_Endothelial","lineage_Fibroblast","lineage_Macrophage","lineage_NK","celltype_lineage_rescue","lineage_score_max","lineage_label_max","niche_cluster","dataset","permissiveness_global","permissiveness_global_pct","label"
"W8-2_W8-2_tile_0_cell_119","W8-2",519,197,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",439,15467,62.32922,2196.00466,62.32922,2196.00466,197,519,7,"EVT3",0.378572534476073,8,62.32922,2196.00466,"EVT3","EVT3",0.378572534476073,"EVT3","author","EVT3","author",3.27291770589533,6.86593500478368,1.01320338620417,-0.102883565758814,-4.74045787902228,-0.702719825202999,-0.0904229330143925,NA,6.86593500478368,"vCTB","N2","starmap",4.5516679448327,0.979569500182415,"EVT3"
"W8-2_W8-2_tile_0_cell_160","W8-2",175,100,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1305,15952,185.2839,2264.86496,185.2839,2264.86496,100,175,1,"EVT2",0.608370620180704,8,185.2839,2264.86496,"EVT2","EVT2",0.608370620180704,"EVT2","author","EVT2","author",4.51687391996747,3.01540770024638,-0.518925433782638,-0.0776145707122554,-4.78701274949311,-0.889728093575548,-0.101382372409073,NA,4.51687391996747,"EVT","N7","starmap",3.49023660250402,0.947555636628968,"EVT2"
"W8-2_W8-2_tile_0_cell_244","W8-2",321,167,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",966,14887,137.15268,2113.65626,137.15268,2113.65626,167,321,6,"EVT3",0.983639681041698,8,137.15268,2113.65626,"EVT3","EVT3",0.983639681041698,"EVT3","author","EVT3","author",4.55211266506545,9.31314203819131,0.862218382721139,0.103240340426953,-4.78198732238352,-0.826878474816394,-0.083609976605811,NA,9.31314203819131,"vCTB","N7","starmap",5.2914488879905,0.991152863918278,"EVT3"
"W8-2_W8-2_tile_0_cell_25","W8-2",410,159,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1168,15222.5,165.83264,2161.29055,165.83264,2161.29055,159,410,6,"EVT3",0.945737112926773,8,165.83264,2161.29055,"EVT3","EVT3",0.945737112926773,"EVT3","author","EVT3","author",2.71940521335703,5.75866907029179,0.386069094601959,0.0655663634249461,-4.97528083933374,-0.828593449040826,-0.0854103606164279,NA,5.75866907029179,"vCTB","N7","starmap",4.00991033359384,0.963608172199927,"EVT3"
"W8-2_W8-2_tile_0_cell_283","W8-2",154,61,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",901.5,16352,127.99497,2321.65696,127.99497,2321.65696,61,154,1,"EVT3",0.416535148915265,8,127.99497,2321.65696,"EVT3","EVT3",0.416535148915265,"EVT3","author","EVT3","author",2.64089640724183,5.65336720255051,0.340119612175412,0.0372553892960591,-5.05327343999579,-0.83508849754912,-0.087021497811551,NA,5.65336720255051,"vCTB","N7","starmap",3.96672431942194,0.961692812842028,"EVT3"
"W8-2_W8-2_tile_0_cell_315","W8-2",118,75,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1627,15468.5,231.00146,2196.21763,231.00146,2196.21763,75,118,1,"EVT2",0.579852923250868,8,231.00146,2196.21763,"EVT2","EVT2",0.579852923250868,"EVT2","author","EVT2","author",2.43353352515917,4.81208678685336,1.04018553571401,-0.0827746876036682,-4.80716616696257,-0.842021617628406,-0.0853078314668834,NA,4.81208678685336,"vCTB","N7","starmap",3.86736994959208,0.955946734768333,"EVT2"
"W8-2_W8-2_tile_0_cell_325","W8-2",176,113,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",519.5,16524,73.75861,2346.07752,73.75861,2346.07752,113,176,1,"EVT3",0.993046645381714,8,73.75861,2346.07752,"EVT3","EVT3",0.993046645381714,"EVT3","author","EVT3","author",3.18725128915316,6.60765888889407,-0.0412647978084274,0.0119393637938081,-5.15733236033831,-0.841172657833831,-0.0886208866621368,NA,6.60765888889407,"vCTB","N7","starmap",3.96619726505664,0.961601605253557,"EVT3"
"W8-2_W8-2_tile_0_cell_348","W8-2",241,107,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",900,15985,127.782,2269.5503,127.782,2269.5503,107,241,1,"EVT3",0.688119052356657,8,127.782,2269.5503,"EVT3","EVT3",0.688119052356657,"EVT3","author","EVT3","author",3.33960767210905,7.08900707109913,0.0587216971461096,0.0750342991056459,-5.12310966162466,-0.847657271031765,-0.0856151552995405,NA,7.08900707109913,"vCTB","N7","starmap",4.32492490979295,0.974644290404962,"EVT3"
"W8-2_W8-2_tile_0_cell_362","W8-2",206,131,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1043,14780.5,148.08514,2098.53539,148.08514,2098.53539,131,206,1,"EVT3",0.930103715739146,8,148.08514,2098.53539,"EVT3","EVT3",0.930103715739146,"EVT3","author","EVT3","author",3.00402355604284,6.34273783641234,-0.0182094859666598,0.0130824126428316,-5.15590338936161,-0.844402832996328,-0.0884083061038462,NA,6.34273783641234,"vCTB","N7","starmap",3.7783376687779,0.952116016052536,"EVT3"
"W8-2_W8-2_tile_0_cell_375","W8-2",247,137,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",69,16088,9.79662,2284.17424,9.79662,2284.17424,137,247,7,"EVT2",0.307575823869529,8,9.79662,2284.17424,"EVT2","EVT2",0.307575823869529,"EVT2","author","EVT2","author",2.71555748112661,5.14576070294112,1.3456954147689,-0.0250045715634319,-4.93385761646405,-0.828780012879122,-0.0831861951937403,NA,5.14576070294112,"vCTB","N1","starmap",4.08338586951118,0.966253192265596,"EVT2"
