"cell","orig.ident","nCount_RNA_raw","nFeature_RNA_raw","sample_id","gestational_week","tile","sample","sample_stage","x_pixel","y_pixel","x_um","y_um","x","y","n_genes","n_counts","leiden","predicted.celltype","predicted.celltype.score","week","spatial_x_use","spatial_y_use","celltype_author","predicted.id","prediction.score.max","celltype_final_conservative","celltype_final_source","celltype_final_refined","celltype_refined_source","lineage_EVT","lineage_vCTB","lineage_STB","lineage_Endothelial","lineage_Fibroblast","lineage_Macrophage","lineage_NK","celltype_lineage_rescue","lineage_score_max","lineage_label_max","niche_cluster","dataset","permissiveness_global","permissiveness_global_pct","label"
"W9_W9_tile_11_cell_199","W9",841,167,"W9",9,"tile_W9_11","W9","9w_1d",17461,12828,2477.97694,1821.17746,2477.97694,1821.17746,167,841,7,"EVT2",0.355005794661488,9,2477.97694,1821.17746,"EVT2","EVT2",0.355005794661488,"EVT2","author","EVT2","author",1.42544558299672,3.99867777952536,0.390806042904333,-0.0939971920250085,-5.13032697088884,-0.787973917836587,-0.0585303755150319,NA,3.99867777952536,"vCTB","N5","starmap",2.0637093105754,0.908609996351696,"EVT2"
"W9_W9_tile_11_cell_257","W9",952,198,"W9",9,"tile_W9_11","W9","9w_1d",17402,12411,2469.60012,1761.9718,2469.60012,1761.9718,198,952,7,"STB",0.533667939633288,9,2469.60012,1761.9718,"STB","STB",0.533667939633288,"STB","author","STB","author",2.29640357553414,4.58599190419289,1.01622373520504,-0.0401259782435682,-4.91607080466494,-0.836287702830778,-0.0861673964410167,NA,4.58599190419289,"vCTB","N6","starmap",3.81928347297511,0.953484129879606,"STB"
"W9_W9_tile_11_cell_301","W9",673,161,"W9",9,"tile_W9_11","W9","9w_1d",17414,12709,2471.30388,1804.28184,2471.30388,1804.28184,161,673,7,"EVT3",0.468184687083337,9,2471.30388,1804.28184,"EVT3","EVT3",0.468184687083337,"EVT3","author","EVT3","author",3.09874199639638,6.65893746796773,0.217093779623906,0.0456155584553852,-5.13066527510439,-0.846523561443609,-0.0887449977044767,NA,6.65893746796773,"vCTB","N5","starmap",4.0659079400591,0.965888361911711,"EVT3"
"W9_W9_tile_11_cell_449","W9",89,62,"W9",9,"tile_W9_11","W9","9w_1d",17546,11418,2490.04524,1620.98566,2490.04524,1620.98566,62,89,9,"Hofbauer cells",0.671668401885128,9,2490.04524,1620.98566,"Hofbauer cells","Hofbauer cells",0.671668401885128,"Hofbauer cells","author","Hofbauer cells","author",-2.15252202490602,-2.53063704612501,-0.94598801702032,-0.25803063194619,-3.96676837500534,2.01563257937228,0.662734057110704,NA,2.01563257937228,"Macrophage","N8","starmap",1.9795538382849,0.904232032105071,"Hofbauer cells"
"W9_W9_tile_11_cell_67","W9",105,70,"W9",9,"tile_W9_11","W9","9w_1d",16873,11090,2394.4927,1574.41622,2394.4927,1574.41622,70,105,9,"Hofbauer cells",0.758382059368119,9,2394.4927,1574.41622,"Hofbauer cells","Hofbauer cells",0.758382059368119,"Hofbauer cells","author","Hofbauer cells","author",-2.05694175006226,-2.48434227311966,-0.908264954410046,-0.279058161181904,-3.89348484557914,1.86512623906761,0.828693055381968,NA,1.86512623906761,"Macrophage","N5","starmap",1.88909086998645,0.898394746442904,"Hofbauer cells"
"W9_W9_tile_11_cell_803","W9",1262,258,"W9",9,"tile_W9_11","W9","9w_1d",17371.5,12555,2465.26973,1782.41692,2465.26973,1782.41692,258,1262,7,"EVT3",0.568560242725102,9,2465.26973,1782.41692,"EVT3","EVT3",0.568560242725102,"EVT3","author","EVT3","author",4.69243299473665,9.66852950587649,0.863892935655792,0.241423025733159,-4.76962628438931,-0.831832923690622,-0.0820199667219059,NA,9.66852950587649,"vCTB","N6","starmap",5.21282011802343,0.990240788033564,"EVT3"
"W9_W9_tile_12_cell_1208","W9",88,68,"W9",9,"tile_W9_12","W9","9w_1d",16976,10968,2409.11664,1557.09466,2409.11664,1557.09466,68,88,4,"Fibroblast2",0.438258623040257,9,2409.11664,1557.09466,"Fibroblast2","Fibroblast2",0.438258623040257,"Fibroblast2","author","Fibroblast2","author",-0.745137908175503,-2.2437106208255,-0.959931956445383,-0.266541268499428,34.0880664092194,-0.543273897462137,-0.136340261944232,NA,34.0880664092194,"Fibroblast","N8","starmap",2.02325388669021,0.906694636993798,"Fibroblast2"
"W9_W9_tile_12_cell_173","W9",88,74,"W9",9,"tile_W9_12","W9","9w_1d",17275.5,11046.5,2451.63965,1568.24009,2451.63965,1568.24009,74,88,4,"Fibroblast2",0.494099366858634,9,2451.63965,1568.24009,"Fibroblast2","Fibroblast2",0.494099366858634,"Fibroblast2","author","Fibroblast2","author",-0.770007229802514,-2.49564857292653,-0.992314125889593,-0.282018360832677,26.3055976946113,-0.549173666384236,-0.125637155281164,NA,26.3055976946113,"Fibroblast","N8","starmap",1.55697451634544,0.871579715432324,"Fibroblast2"
"W9_W9_tile_13_cell_1097","W9",118,75,"W9",9,"tile_W9_13","W9","9w_1d",18047,10599,2561.17722,1504.70404,2561.17722,1504.70404,75,118,9,"Hofbauer cells",0.730324892612067,9,2561.17722,1504.70404,"Hofbauer cells","Hofbauer cells",0.730324892612067,"Hofbauer cells","author","Hofbauer cells","author",-2.29558089470894,-2.45279438098352,-0.935441530082431,-0.24927015414672,-4.16352044951796,2.09143688679349,0.581532957336027,NA,2.09143688679349,"Macrophage","N5","starmap",1.55369807363475,0.871123677489967,"Hofbauer cells"
"W9_W9_tile_13_cell_1138","W9",194,134,"W9",9,"tile_W9_13","W9","9w_1d",17980,10862,2551.66456,1542.04478,2551.66456,1542.04478,134,194,5,"vCTB2",0.422533256730228,9,2551.66456,1542.04478,"vCTB2","vCTB2",0.422533256730228,"vCTB2","author","vCTB2","author",-2.01590741900786,-2.52999290023491,-0.913519334890763,-0.286679003355895,-3.92839363038498,1.84499710597922,0.651755407525404,NA,1.84499710597922,"Macrophage","N5","starmap",1.81486783551148,0.893195913900036,"vCTB2"
