"cell","orig.ident","nCount_RNA_raw","nFeature_RNA_raw","sample_id","gestational_week","tile","sample","sample_stage","x_pixel","y_pixel","x_um","y_um","x","y","n_genes","n_counts","leiden","predicted.celltype","predicted.celltype.score","week","spatial_x_use","spatial_y_use","celltype_author","predicted.id","prediction.score.max","celltype_final_conservative","celltype_final_source","celltype_final_refined","celltype_refined_source","lineage_EVT","lineage_vCTB","lineage_STB","lineage_Endothelial","lineage_Fibroblast","lineage_Macrophage","lineage_NK","celltype_lineage_rescue","lineage_score_max","lineage_label_max","niche_cluster","dataset","permissiveness_global","permissiveness_global_pct","label"
"W9_W9_tile_0_cell_1120","W9",81,66,"W9",9,"tile_W9_0","W9","9w_1d",3418,15276,484.1518,2168.7445,484.1518,2168.7445,66,81,0,"vCTB2",0.613859591878488,9,484.1518,2168.7445,"vCTB2","vCTB2",0.613859591878488,"vCTB2","author","vCTB2","author",-1.09076952044773,1.25896817468635,-0.748230260917452,-0.135046465106887,-0.865342015833075,-0.600131190249539,-0.0708569706727326,NA,1.25896817468635,"vCTB","N4","starmap",-1.41377139811265,0.217530098504196,"vCTB2"
"W9_W9_tile_0_cell_190","W9",96,70,"W9",9,"tile_W9_0","W9","9w_1d",3479,15142,492.81258,2149.71918,492.81258,2149.71918,70,96,0,"vCTB2",0.61380750853145,9,492.81258,2149.71918,"vCTB2","vCTB2",0.61380750853145,"vCTB2","author","vCTB2","author",-1.32404634850779,0.168472825126673,-0.341683071506528,-0.267577782009168,-2.12715972869205,-0.710404616013046,-0.105765962005688,NA,0.168472825126673,"vCTB","N4","starmap",-1.59842652996824,0.173750456037942,"vCTB2"
"W9_W9_tile_0_cell_384","W9",213,156,"W9",9,"tile_W9_0","W9","9w_1d",3656,14866,517.94304,2110.5327,517.94304,2110.5327,156,213,8,"Fibroblast2",0.586698608386036,9,517.94304,2110.5327,"Fibroblast2","Fibroblast2",0.586698608386036,"Fibroblast2","author","Fibroblast2","author",-0.562775609854212,-2.25014528734445,-1.03762273293201,-0.229302117306331,46.5883860367747,-0.749342214198276,-0.121139399210707,NA,46.5883860367747,"Fibroblast","N5","starmap",-0.282473329960234,0.386537759941627,"Fibroblast2"
"W9_W9_tile_0_cell_565","W9",221,155,"W9",9,"tile_W9_0","W9","9w_1d",3205,15409,453.91006,2187.62784,453.91006,2187.62784,155,221,5,"vCTB2",0.281068246909096,9,453.91006,2187.62784,"vCTB2","vCTB2",0.281068246909096,"vCTB2","author","vCTB2","author",-1.82169046246059,-2.54944026634431,-0.884427322046602,0.0901531367681794,-3.51524116734363,1.92959912845326,1.4805763617665,NA,1.92959912845326,"Macrophage","N2","starmap",-1.42471835811891,0.21579715432324,"vCTB2"
"W9_W9_tile_0_cell_992","W9",154,129,"W9",9,"tile_W9_0","W9","9w_1d",3667.5,15116.5,519.57581,2146.09869,519.57581,2146.09869,129,154,3,"Fibroblast1",0.618408764515369,9,519.57581,2146.09869,"Fibroblast1","Fibroblast1",0.618408764515369,"Fibroblast1","author","Fibroblast1","author",1.29076341361243,-2.06416957496151,-0.967342111889891,-0.179330617430989,15.2756710335273,-0.795612309836011,-0.122854371568413,NA,15.2756710335273,"Fibroblast","N5","starmap",-1.13405732659101,0.267329441809559,"Fibroblast1"
"W9_W9_tile_10_cell_100","W9",150,52,"W9",9,"tile_W9_10","W9","9w_1d",17632.5,12545,2502.32651,1780.99712,2502.32651,1780.99712,52,150,2,"vCTB2",0.373167413858433,9,2502.32651,1780.99712,"vCTB2","vCTB2",0.373167413858433,"vCTB2","author","vCTB2","author",-1.39715125444933,0.351630341739075,-0.309819006726381,-0.266693294318726,-2.19358997929378,-0.710729219152377,-0.103964918922252,NA,0.351630341739075,"vCTB","N6","starmap",-1.87559494183549,0.104250273622765,"vCTB2"
"W9_W9_tile_10_cell_118","W9",211,139,"W9",9,"tile_W9_10","W9","9w_1d",16955,12304,2406.13506,1746.77994,2406.13506,1746.77994,139,211,3,"Fibroblast2",0.829641130271859,9,2406.13506,1746.77994,"Fibroblast2","Fibroblast2",0.829641130271859,"Fibroblast2","author","Fibroblast2","author",-1.46103331627418,-2.36771272575526,-1.02395329720527,-0.286066976377108,34.9578802934234,0.0793130903347838,-0.126878234636405,NA,34.9578802934234,"Fibroblast","N5","starmap",-0.58037809388903,0.341025173294418,"Fibroblast2"
"W9_W9_tile_10_cell_142","W9",81,57,"W9",9,"tile_W9_10","W9","9w_1d",17412,12459,2471.01992,1768.78684,2471.01992,1768.78684,57,81,0,"vCTB2",0.671926022597965,9,2471.01992,1768.78684,"vCTB2","vCTB2",0.671926022597965,"vCTB2","author","vCTB2","author",-1.39288045156828,0.438971481404296,0.0697514267926439,-0.322766648919314,-3.00010608027989,-0.746599942438438,-0.105610941087007,NA,0.438971481404296,"vCTB","N6","starmap",-0.938250060706053,0.296333454943451,"vCTB2"
"W9_W9_tile_10_cell_155","W9",422,108,"W9",9,"tile_W9_10","W9","9w_1d",17755,12607.5,2519.71906,1789.87087,2519.71906,1789.87087,108,422,7,"STB",0.252989955425007,9,2519.71906,1789.87087,"STB","STB",0.252989955425007,"STB","author","STB","author",0.0682092615844105,1.67344268828154,-0.601470311725878,0.0129994424410151,-0.34844384077639,-0.610213623247956,-0.103708792469415,NA,1.67344268828154,"vCTB","N6","starmap",-0.690429115039521,0.326979204669829,"STB"
"W9_W9_tile_10_cell_157","W9",527,247,"W9",9,"tile_W9_10","W9","9w_1d",17364,12370,2464.20488,1756.15062,2464.20488,1756.15062,247,527,5,"unknown3",0.414537913732732,9,2464.20488,1756.15062,"unknown3","unknown3",0.414537913732732,"unknown3","author","unknown3","author",-1.44537641788883,-2.37049748253196,-0.820226360898671,-0.108261600784181,-3.66812084894217,15.1239240860754,1.23234683273394,NA,15.1239240860754,"Macrophage","N6","starmap",-1.20453285048866,0.254742794600511,"unknown3"
