"cell","orig.ident","nCount_RNA_raw","nFeature_RNA_raw","sample_id","gestational_week","tile","sample","sample_stage","x_pixel","y_pixel","x_um","y_um","x","y","n_genes","n_counts","leiden","predicted.celltype","predicted.celltype.score","week","spatial_x_use","spatial_y_use","celltype_author","predicted.id","prediction.score.max","celltype_final_conservative","celltype_final_source","celltype_final_refined","celltype_refined_source","lineage_EVT","lineage_vCTB","lineage_STB","lineage_Endothelial","lineage_Fibroblast","lineage_Macrophage","lineage_NK","celltype_lineage_rescue","lineage_score_max","lineage_label_max","niche_cluster","dataset","permissiveness_global","permissiveness_global_pct","label"
"W9_W9_tile_10_cell_290","W9",168,116,"W9",9,"tile_W9_10","W9","9w_1d",17532.5,12616,2488.12851,1791.0777,2488.12851,1791.0777,116,168,5,"vCTB2",0.413596060715589,9,2488.12851,1791.0777,"vCTB2","vCTB2",0.413596060715589,"vCTB2","author","vCTB2","author",-1.38797401962647,1.03133115900929,-0.522529047935533,0.236108904341243,2.34933438953672,-0.384895348691861,-0.0799170509846708,NA,2.34933438953672,"Fibroblast","N6","starmap",-2.3949976004245,0.0194272163443999,"vCTB2"
"W9_W9_tile_10_cell_493","W9",249,131,"W9",9,"tile_W9_10","W9","9w_1d",17049,12192,2419.48118,1730.87818,2419.48118,1730.87818,131,249,5,"vCTB2",0.451814162325322,9,2419.48118,1730.87818,"vCTB2","vCTB2",0.451814162325322,"vCTB2","author","vCTB2","author",-1.67649914353405,1.07915857619594,-0.71239522711849,0.353095579160481,2.75302167139788,-0.539211512482701,-0.0665883639815282,NA,2.75302167139788,"Fibroblast","N5","starmap",-3.39802722572066,0.00200656694636994,"vCTB2"
"W9_W9_tile_10_cell_497","W9",240,157,"W9",9,"tile_W9_10","W9","9w_1d",17438,12525.5,2474.7114,1778.22851,2474.7114,1778.22851,157,240,5,"unknown3",0.271129471964443,9,2474.7114,1778.22851,"unknown3","unknown3",0.271129471964443,"unknown3","author","unknown3","author",-1.64064646037274,1.07431953169698,-0.682294660234693,0.276233879282112,2.78695184438056,-0.501064872345491,-0.0687407577524817,NA,2.78695184438056,"Fibroblast","N6","starmap",-3.171931487697,0.00282743524261219,"unknown3"
"W9_W9_tile_10_cell_539","W9",157,94,"W9",9,"tile_W9_10","W9","9w_1d",17200,12285,2440.92016,1744.08232,2440.92016,1744.08232,94,157,0,"vCTB2",0.652955733524748,9,2440.92016,1744.08232,"vCTB2","vCTB2",0.652955733524748,"vCTB2","author","vCTB2","author",-1.16988633010659,0.973697868020045,-0.777739174384935,-0.267015822716647,-2.72996895145385,-0.691354550070824,-0.117703128088778,NA,0.973697868020045,"vCTB","N6","starmap",-2.49830309363007,0.0141371762130609,"vCTB2"
"W9_W9_tile_10_cell_626","W9",201,135,"W9",9,"tile_W9_10","W9","9w_1d",17648,12837,2504.5272,1822.45528,2504.5272,1822.45528,135,201,0,"vCTB2",0.392738238340843,9,2504.5272,1822.45528,"vCTB2","vCTB2",0.392738238340843,"vCTB2","author","vCTB2","author",-1.25950722892658,0.986057885308959,-0.50748426063136,0.229592049240619,2.44883588873595,-0.386351856196199,-0.0796742711721936,NA,2.44883588873595,"Fibroblast","N2","starmap",-2.1515631216784,0.0487048522437067,"vCTB2"
"W9_W9_tile_11_cell_259","W9",85,63,"W9",9,"tile_W9_11","W9","9w_1d",17000,11215,2412.52416,1592.16372,2412.52416,1592.16372,63,85,4,"vCTB2",0.255216727429437,9,2412.52416,1592.16372,"vCTB2","vCTB2",0.255216727429437,"vCTB2","author","vCTB2","author",-1.28544173832778,0.0559191891536046,-0.653493520714142,0.2480231649721,10.9010653119057,-0.0575122687031802,-0.0788656188327612,NA,10.9010653119057,"Fibroblast","N5","starmap",-2.12567780185916,0.0531740240788034,"vCTB2"
"W9_W9_tile_11_cell_32","W9",86,57,"W9",9,"tile_W9_11","W9","9w_1d",17818,11217.5,2528.6638,1592.51867,2528.6638,1592.51867,57,86,4,"vCTB2",0.324554275581352,9,2528.6638,1592.51867,"vCTB2","vCTB2",0.324554275581352,"vCTB2","author","vCTB2","author",-1.52451573575931,0.824626268398507,-0.59738092655408,0.348117520458898,3.61013601613828,-0.311784076368418,-0.076759656492143,NA,3.61013601613828,"Fibroblast","N8","starmap",-2.4780298393104,0.0153228748631886,"vCTB2"
"W9_W9_tile_11_cell_370","W9",354,91,"W9",9,"tile_W9_11","W9","9w_1d",17395,12867,2468.60626,1826.71468,2468.60626,1826.71468,91,354,7,"vCTB2",0.35665677251181,9,2468.60626,1826.71468,"vCTB2","vCTB2",0.35665677251181,"vCTB2","author","vCTB2","author",-1.3934252588451,0.715117490433036,-0.513429548813784,0.331381256143647,3.33959433091508,-0.321803328223771,-0.0788340990445273,NA,3.33959433091508,"Fibroblast","N5","starmap",-2.14560120213217,0.0497081357168916,"vCTB2"
"W9_W9_tile_11_cell_477","W9",111,87,"W9",9,"tile_W9_11","W9","9w_1d",18000,11173,2554.50416,1586.20056,2554.50416,1586.20056,87,111,12,"Endothelial_cells",0.333551581006027,9,2554.50416,1586.20056,"Endothelial_cells","Endothelial_cells",0.333551581006027,"Endothelial_cells","author","Endothelial_cells","author",-2.070213315409,-2.31920118165237,-1.04543014518855,4.95651457919769,-2.10596198263707,-0.843297761260044,-0.15669911452367,NA,4.95651457919769,"Endothelial","N5","starmap",-2.20151525329764,0.0414994527544692,"Endothelial_cells"
"W9_W9_tile_11_cell_517","W9",203,69,"W9",9,"tile_W9_11","W9","9w_1d",17265,12824,2450.14886,1820.60954,2450.14886,1820.60954,69,203,2,"vCTB2",0.378217271966549,9,2450.14886,1820.60954,"vCTB2","vCTB2",0.378217271966549,"vCTB2","author","vCTB2","author",-1.64194008241821,1.01250388938802,-0.639695774085256,0.277450849165944,2.83776607527412,-0.410777929996284,-0.0701113514312574,NA,2.83776607527412,"Fibroblast","N8","starmap",-2.66731940813504,0.00811747537395111,"vCTB2"
