"week","immune_class","immune_subtype","n_cells"
6,"Macrophage","Mac_other",8
6,"NK","NK_other",16
6,"NK","NK_cytotoxic_high",2
7,"Macrophage","Mac_inflammatory_high",20
7,"Macrophage","Mac_other",19
7,"Macrophage","Mac_ISG_high",2
7,"NK","NK_other",38
7,"NK","NK_cytotoxic_high",13
8,"Macrophage","Mac_other",54
8,"Macrophage","Mac_inflammatory_high",21
8,"Macrophage","Mac_ISG_high",6
8,"NK","NK_other",176
8,"NK","NK_cytotoxic_high",73
8,"NK","Mac_inflammatory_high",1
9,"Macrophage","Mac_other",63
9,"Macrophage","Mac_inflammatory_high",50
9,"Macrophage","Mac_ISG_high",47
9,"NK","NK_other",18
9,"NK","NK_cytotoxic_high",16
10,"Macrophage","Mac_other",39
10,"Macrophage","Mac_ISG_high",9
10,"Macrophage","Mac_inflammatory_high",6
10,"NK","NK_other",95
10,"NK","NK_cytotoxic_high",26
11,"Macrophage","Mac_other",54
11,"Macrophage","Mac_inflammatory_high",22
11,"Macrophage","Mac_ISG_high",19
11,"NK","NK_other",16
11,"NK","NK_cytotoxic_high",8
