"celltype_author","predicted.id","celltype_final_conservative","celltype_final_refined","celltype_lineage_rescue","n_cells"
"vCTB2","vCTB2","vCTB2","vCTB2",NA,2248
"EVT2","EVT2","EVT2","EVT2",NA,2183
"Fibroblast2","Fibroblast2","Fibroblast2","Fibroblast2",NA,1609
"STB","STB","STB","STB",NA,853
"Fibroblast1","Fibroblast1","Fibroblast1","Fibroblast1",NA,626
"Hofbauer cells","Hofbauer cells","Hofbauer cells","Hofbauer cells",NA,471
"EVT3","EVT3","EVT3","EVT3",NA,452
"unknown3","unknown3","unknown3","unknown3",NA,288
"Endothelial_cells","Endothelial_cells","Endothelial_cells","Endothelial_cells",NA,185
"maternal macrophages","maternal macrophages","maternal macrophages","maternal macrophages",NA,57
"vCTBp","vCTBp","vCTBp","vCTBp",NA,42
"unknown2","unknown2","unknown2","unknown2",NA,27
