"from","to","n_obs","median_z","median_obs_over_exp","median_obs_minus_exp","frac_significant"
"STB","EVT2",8,-2.75999890695119,0.935156932346632,-113.93,0.625
"vCTBp","EVT2",8,3.33538848915932,1.28016576428129,33.2775,0.5
"Hofbauer cells","EVT2",8,0.409271009808451,1.00696746410543,20.9175,0.5
"EVT2","EVT2",8,2.557396425017,1.0408762988074,206.32,0.375
"Fibroblast2","EVT2",8,1.50553617731494,1.02098148957007,72.5275,0.375
"EVT3","vCTB2",8,1.41555594548401,1.05498956157835,52.8525,0.375
"maternal macrophages","EVT2",8,0.70763799940531,1.07679243032671,6.09,0.375
"Fibroblast2","STB",8,0.627918945047874,1.01279621633625,19.8875,0.375
"STB","Fibroblast2",8,0.34479961199207,1.00603003219322,27.8075,0.375
"vCTB2","vCTB2",8,0.24329746716231,1.00520530909158,14.2149999999999,0.375
"unknown3","Fibroblast2",8,-0.228331314191578,0.9930428795706,-5.24499999999999,0.375
"unknown3","EVT2",8,-0.876502691965166,0.970765790981474,-27.4025,0.375
"Fibroblast2","vCTB2",8,-1.02915154143545,0.984566357678741,-66.53,0.375
"EVT2","vCTB2",8,-2.04410709813244,0.962176564112751,-110.145,0.375
"Fibroblast1","EVT2",8,1.34738591371306,1.03072080778873,51.0474999999999,0.25
"Fibroblast1","EVT3",8,1.12632612695396,1.08225996589399,12.49,0.25
"unknown2","EVT2",8,0.960914589907178,1.1269484670948,7.615,0.25
"Endothelial_cells","EVT2",8,0.750588482792133,1.03320400336364,12.665,0.25
"unknown3","STB",8,0.404571866174228,1.03858606568628,4.40499999999999,0.25
"Fibroblast2","EVT3",8,0.260164162173375,1.01873225459839,4.08,0.25
"maternal macrophages","Fibroblast2",8,0.23504262168901,1.03968261345203,0.1525,0.25
"STB","Hofbauer cells",8,0.0328288957124483,1.00067716114099,0.944999999999993,0.25
"EVT2","Fibroblast2",8,-0.563093295863746,0.992737258291641,-56.8050000000004,0.25
"Endothelial_cells","vCTB2",8,-0.741052882517542,0.968934026511569,-17.05,0.25
"EVT3","Fibroblast2",8,-0.912105296889198,0.953019750436403,-15,0.25
"EVT2","unknown3",8,-1.38288030976178,0.929262855404286,-30.58,0.25
"EVT3","EVT2",8,-1.43009428833007,0.943194263538339,-24.93,0.25
"Fibroblast2","Fibroblast2",8,-1.77150243218282,0.967613288156278,-62.0925,0.25
"vCTB2","STB",8,1.66523315563657,1.03761878146157,79.3425,0.125
"EVT3","vCTBp",8,1.19519088865918,1.22774370414433,4.03,0.125
"Endothelial_cells","Fibroblast1",8,1.17441946505969,1.09427356914565,12.2775,0.125
"unknown3","Hofbauer cells",8,1.16064074385889,1.14572493497641,10.4425,0.125
"STB","Fibroblast1",8,1.09962060253603,1.04903726352378,28.8575,0.125
"STB","STB",8,0.740750098958147,1.04543585221926,12.75,0.125
"EVT2","EVT3",8,0.650098465512688,1.0268289620182,26.21,0.125
"EVT2","Endothelial_cells",8,0.591876579058544,1.02957570902894,12.4325,0.125
"Endothelial_cells","EVT3",8,0.58882244004942,1.07951667719147,3.1575,0.125
"Hofbauer cells","EVT3",8,0.566994832586322,1.07092841691059,3.545,0.125
"Endothelial_cells","Hofbauer cells",8,0.401765293583795,1.05383686976958,3.1575,0.125
"Hofbauer cells","STB",8,0.372163519049351,1.02487746870254,6.4575,0.125
"Fibroblast1","Fibroblast2",8,0.155932472708292,1.00391769384299,7.48250000000007,0.125
"unknown2","Endothelial_cells",8,0.125740877158633,1.07332481203719,0.18,0.125
"EVT3","maternal macrophages",8,0.124208436555992,1.0490347506381,0.447500000000003,0.125
"STB","EVT3",8,0.0650806613445038,1.00530720440815,0.9375,0.125
"EVT3","Fibroblast1",8,-0.0540263217214703,0.995840341358055,-0.807500000000005,0.125
"vCTBp","EVT3",8,-0.132697795828241,1.11725739674637,-1.8075,0.125
"Endothelial_cells","Fibroblast2",8,-0.242320326317105,1.000279780223,-7.32500000000001,0.125
"Fibroblast2","Hofbauer cells",8,-0.251152398284144,0.989204617934671,-6.54000000000002,0.125
"unknown2","Fibroblast2",8,-0.292526779340768,0.956754173091278,-1.9275,0.125
"unknown3","unknown3",8,-0.2939261314222,0.97109712398206,-4.83249999999999,0.125
