"week","from","to","n_k_tested","n_k_sig","median_z","robust_fraction"
8,"Endothelial_cells","Endothelial_cells",4,0,-0.343857514079471,0
8,"Endothelial_cells","EVT2",4,1,0.488146604317787,0.25
8,"Endothelial_cells","EVT3",4,1,1.37733617913774,0.25
8,"Endothelial_cells","Fibroblast1",4,1,1.6680736651624,0.25
8,"Endothelial_cells","Fibroblast2",4,0,-1.2052428049039,0
8,"Endothelial_cells","Hofbauer cells",4,0,0.0334256745475812,0
8,"Endothelial_cells","maternal macrophages",4,0,-0.560030968941056,0
8,"Endothelial_cells","STB",4,0,1.11294507801282,0
8,"Endothelial_cells","unknown2",4,0,-0.238739760213559,0
8,"Endothelial_cells","unknown3",4,0,-1.5046789355163,0
8,"Endothelial_cells","vCTB2",4,0,-0.594588689233882,0
8,"Endothelial_cells","vCTBp",4,0,-0.202045273259362,0
8,"EVT2","Endothelial_cells",4,1,0.630494776018465,0.25
8,"EVT2","EVT2",4,2,2.94582731766896,0.5
8,"EVT2","EVT3",4,1,0.144392332717433,0.25
8,"EVT2","Fibroblast1",4,0,-1.12608749667047,0
8,"EVT2","Fibroblast2",4,1,-1.48934133822489,0.25
8,"EVT2","Hofbauer cells",4,0,-1.2507249491052,0
8,"EVT2","maternal macrophages",4,0,0.366792995486606,0
8,"EVT2","STB",4,0,1.02847162452382,0
8,"EVT2","unknown2",4,0,-0.76815745909648,0
8,"EVT2","unknown3",4,2,-2.53429308751516,0.5
8,"EVT2","vCTB2",4,0,-0.598136679246305,0
8,"EVT2","vCTBp",4,0,-0.547679041369674,0
8,"EVT3","Endothelial_cells",4,0,0.494135072486065,0
8,"EVT3","EVT2",4,2,-2.40322420570168,0.5
8,"EVT3","EVT3",4,0,-1.67715279312642,0
8,"EVT3","Fibroblast1",4,1,0.169764696004823,0.25
8,"EVT3","Fibroblast2",4,1,-0.240997210609694,0.25
8,"EVT3","Hofbauer cells",4,0,-0.523819308885985,0
8,"EVT3","maternal macrophages",4,0,-0.409135897160892,0
8,"EVT3","STB",4,0,-1.70582496542777,0
8,"EVT3","unknown2",4,0,-0.802686396957543,0
8,"EVT3","unknown3",4,1,0.146650333755875,0.25
8,"EVT3","vCTB2",4,2,2.19510122667591,0.5
8,"EVT3","vCTBp",4,1,1.36251272708347,0.25
8,"Fibroblast1","Endothelial_cells",4,0,-0.980070999774963,0
8,"Fibroblast1","EVT2",4,1,2.56575469952565,0.25
8,"Fibroblast1","EVT3",4,2,1.60169758792619,0.5
8,"Fibroblast1","Fibroblast1",4,0,0.407837156084149,0
8,"Fibroblast1","Fibroblast2",4,0,-0.275355902971249,0
8,"Fibroblast1","Hofbauer cells",4,0,0.241169112195838,0
8,"Fibroblast1","maternal macrophages",4,0,-0.675398207290651,0
8,"Fibroblast1","STB",4,0,-0.141988216968176,0
8,"Fibroblast1","unknown2",4,0,-1.66517448858518,0
8,"Fibroblast1","unknown3",4,0,-0.431290397055758,0
8,"Fibroblast1","vCTB2",4,0,-1.73813716616239,0
8,"Fibroblast1","vCTBp",4,0,-0.535479047055075,0
8,"Fibroblast2","Endothelial_cells",4,0,0.58297227742887,0
8,"Fibroblast2","EVT2",4,2,3.16533828696364,0.5
8,"Fibroblast2","EVT3",4,2,0.821999163525736,0.5
8,"Fibroblast2","Fibroblast1",4,0,1.4790609860431,0
8,"Fibroblast2","Fibroblast2",4,0,-2.61151191289796,0
8,"Fibroblast2","Hofbauer cells",4,0,-0.502519890863918,0
8,"Fibroblast2","maternal macrophages",4,0,-0.0487001250289285,0
8,"Fibroblast2","STB",4,1,0.887618977814034,0.25
8,"Fibroblast2","unknown2",4,0,0.245571014832359,0
8,"Fibroblast2","unknown3",4,0,-2.06661517490588,0
8,"Fibroblast2","vCTB2",4,2,-2.20995628508327,0.5
8,"Fibroblast2","vCTBp",4,0,0.160610053567159,0
8,"Hofbauer cells","Endothelial_cells",4,0,0.10791726501636,0
8,"Hofbauer cells","EVT2",4,2,2.45049108646398,0.5
8,"Hofbauer cells","EVT3",4,1,0.425486025759093,0.25
8,"Hofbauer cells","Fibroblast1",4,0,-0.381713414516827,0
8,"Hofbauer cells","Fibroblast2",4,0,-0.775339080473025,0
8,"Hofbauer cells","Hofbauer cells",4,0,-0.222316488973339,0
8,"Hofbauer cells","maternal macrophages",4,0,-0.228064432971189,0
8,"Hofbauer cells","STB",4,0,0.303611322493039,0
8,"Hofbauer cells","unknown2",4,0,-0.16863860220039,0
8,"Hofbauer cells","unknown3",4,0,-1.96329798369768,0
8,"Hofbauer cells","vCTB2",4,0,-1.96973227453387,0
8,"Hofbauer cells","vCTBp",4,0,-0.341470508663687,0
8,"maternal macrophages","Endothelial_cells",4,0,-0.0718860929937267,0
8,"maternal macrophages","EVT2",4,2,-0.609809006077844,0.5
8,"maternal macrophages","EVT3",4,0,1.77090985337116,0
8,"maternal macrophages","Fibroblast1",4,0,0.351676486240335,0
8,"maternal macrophages","Fibroblast2",4,0,-0.405848231872613,0
8,"maternal macrophages","Hofbauer cells",4,0,-0.908756073353131,0
8,"maternal macrophages","maternal macrophages",4,0,-0.417855200549392,0
8,"maternal macrophages","STB",4,0,0.284762413868767,0
8,"maternal macrophages","unknown2",4,0,0.0214335795341231,0
8,"maternal macrophages","unknown3",4,0,-0.881399146030128,0
8,"maternal macrophages","vCTB2",4,0,-0.0340196584993805,0
8,"maternal macrophages","vCTBp",4,0,-0.360850854220854,0
8,"STB","Endothelial_cells",4,0,0.387351649312081,0
8,"STB","EVT2",4,3,-2.75999890695119,0.75
8,"STB","EVT3",4,1,0.961491058575177,0.25
8,"STB","Fibroblast1",4,0,0.460677927195827,0
8,"STB","Fibroblast2",4,1,-0.570215723716166,0.25
8,"STB","Hofbauer cells",4,1,-0.813852769578618,0.25
8,"STB","maternal macrophages",4,0,1.16566617866207,0
8,"STB","STB",4,0,0.740750098958147,0
8,"STB","unknown2",4,0,-0.699208885213818,0
8,"STB","unknown3",4,0,-0.460577525352597,0
8,"STB","vCTB2",4,0,0.92418701676372,0
8,"STB","vCTBp",4,0,0.739786249312085,0
8,"unknown2","Endothelial_cells",4,0,-0.536425807406157,0
8,"unknown2","EVT2",4,1,0.960914589907178,0.25
8,"unknown2","EVT3",4,0,-0.227302181461296,0
8,"unknown2","Fibroblast1",4,0,0.139525783054851,0
8,"unknown2","Fibroblast2",4,0,0.0819709435190622,0
8,"unknown2","Hofbauer cells",4,0,1.20728039973047,0
8,"unknown2","maternal macrophages",4,0,-0.287405939498829,0
8,"unknown2","STB",4,0,1.42105207443905,0
8,"unknown2","unknown2",4,1,0.0314434531163443,0.25
8,"unknown2","unknown3",4,0,-1.15491787866067,0
8,"unknown2","vCTB2",4,1,-2.12764903928715,0.25
8,"unknown2","vCTBp",4,0,0.269077099858545,0
8,"unknown3","Endothelial_cells",4,0,0.870037380506849,0
8,"unknown3","EVT2",4,1,0.334882143671022,0.25
8,"unknown3","EVT3",4,0,0.160846609248161,0
8,"unknown3","Fibroblast1",4,0,1.52470374992602,0
8,"unknown3","Fibroblast2",4,2,-1.05971707207555,0.5
8,"unknown3","Hofbauer cells",4,0,0.294467857343458,0
8,"unknown3","maternal macrophages",4,0,0.171751494204392,0
8,"unknown3","STB",4,0,0.839413304700962,0
8,"unknown3","unknown2",4,0,-0.105208566216004,0
8,"unknown3","unknown3",4,1,-1.14535075108371,0.25
8,"unknown3","vCTB2",4,1,0.195973241901799,0.25
8,"unknown3","vCTBp",4,0,0.39845379307264,0
8,"vCTB2","Endothelial_cells",4,0,1.30899282914713,0
