"from","to","z","observed","expected","sd_null","week","k","scope","density_bin","obs_minus_exp","obs_over_exp","log2_obs_over_exp","p_adj","significant"
"Endothelial_cells","Endothelial_cells",-1.31272081482371,18,25.755,5.90757753751985,8,8,"global",NA,-7.755,0.698893418726504,-0.516855631498013,0.581628816735486,FALSE
"EVT2","Endothelial_cells",3.15259026883514,332,278.05,17.112912048917,8,8,"global",NA,53.95,1.19402985074197,0.255838905632659,0.0317116740662363,TRUE
"EVT3","Endothelial_cells",0.350799496180275,89,85.73,9.32156412781378,8,8,"global",NA,3.27,1.03814300710325,0.0540051940524799,0.909543136038002,FALSE
"Fibroblast1","Endothelial_cells",-0.488821789062889,56,60.115,8.41820084861594,8,8,"global",NA,-4.115,0.931547866573542,-0.102298190952165,0.874333160211344,FALSE
"Fibroblast2","Endothelial_cells",-0.317302537825764,166,170.135,13.0317268434622,8,8,"global",NA,-4.13499999999999,0.975695770999643,-0.0354967182543838,0.915608720524689,FALSE
"Hofbauer cells","Endothelial_cells",0.508932219566339,59,55.19,7.48626212492022,8,8,"global",NA,3.81,1.06903424531493,0.096308070268261,0.868232066135747,FALSE
"maternal macrophages","Endothelial_cells",0.215638809425159,9,8.325,3.1302343097875,8,8,"global",NA,0.675000000000001,1.08108108095122,0.112474730419609,0.942711331523747,FALSE
"STB","Endothelial_cells",-1.76646191579924,47,60.41,7.59144586039157,8,8,"global",NA,-13.41,0.778016884608873,-0.362126627953755,0.372346200875373,FALSE
"unknown2","Endothelial_cells",1.5468311316924,5,2.49,1.62267227949243,8,8,"global",NA,2.51,2.00803212770762,1.00578235273307,0.474063528978461,FALSE
"unknown3","Endothelial_cells",0.246183732285312,28,26.69,5.32122893577552,8,8,"global",NA,1.31,1.04908205316414,0.0691275230115061,0.934054033225439,FALSE
"vCTB2","Endothelial_cells",1.14949508163993,208,191.42,14.4237241756586,8,8,"global",NA,16.58,1.08661581861307,0.119841955905407,0.651538986256103,FALSE
"vCTBp","Endothelial_cells",-1.95751103655549,0,4.065,2.07661664334491,8,8,"global",NA,-4.065,0,-29.8973528539863,0.296142853123982,FALSE
"Endothelial_cells","EVT2",4.6437714116629,351,278.08,15.7027539754038,8,8,"global",NA,72.92,1.26222669734874,0.335971044402674,0.000246667242247766,TRUE
"EVT2","EVT2",-0.772196926309756,2937,2967.93,40.0545494878343,8,8,"global",NA,-30.9299999999998,0.989578595182168,-0.0151137986108595,0.794464859875375,FALSE
"EVT3","EVT2",-2.75331190766843,834,907.495,26.6933069924083,8,8,"global",NA,-73.495,0.919013327896111,-0.121842309115304,0.0780686094239484,FALSE
"Fibroblast1","EVT2",2.8822441170547,713,645.855,23.296083631435,8,8,"global",NA,67.145,1.10396296382144,0.142691774140841,0.0585925376599751,FALSE
"Fibroblast2","EVT2",3.55019951035892,1941,1809.865,36.9373607353104,8,8,"global",NA,131.135,1.07245568039546,0.100918030426847,0.0105604812357694,TRUE
"Hofbauer cells","EVT2",4.05433116602033,684,589.69,23.2615433061722,8,8,"global",NA,94.3099999999999,1.15993148942468,0.214039597298211,0.00214082551229275,TRUE
"maternal macrophages","EVT2",-0.0510135256237793,88,88.43,8.42913707082724,8,8,"global",NA,-0.430000000000007,0.995137396799784,-0.00703236376424649,0.983504796651551,FALSE
"STB","EVT2",2.96702688066712,693,629.74,21.3210066983988,8,8,"global",NA,63.26,1.10045415568155,0.138099045905735,0.0492330440437402,TRUE
"unknown2","EVT2",-3.38269652530231,10,25.395,4.55110290901472,8,8,"global",NA,-15.395,0.393778302800009,-1.3445444703478,0.0171778262267042,TRUE
"unknown3","EVT2",-6.45213405495149,185,286.03,15.6583851378623,8,8,"global",NA,-101.03,0.646785302238763,-0.628641197747785,4.43034430638301e-08,TRUE
"vCTB2","EVT2",-1.99105909775365,1972,2052.3,40.3302946098412,8,8,"global",NA,-80.3000000000002,0.960873166690561,-0.0575820826393692,0.282259149196823,FALSE
"vCTBp","EVT2",-0.708988560588826,39,42.81,5.37385257122732,8,8,"global",NA,-3.81,0.911002102291264,-0.134473710010011,0.810447319206346,FALSE
"Endothelial_cells","EVT3",1.80946579371685,102,84.75,9.53320038327836,8,8,"global",NA,17.25,1.20353982299465,0.267283880016839,0.354607576028103,FALSE
"EVT2","EVT3",-0.303397067917437,898,906.115,26.7471273054786,8,8,"global",NA,-8.11500000000001,0.991044183132394,-0.01297871577257,0.919274161574728,FALSE
"EVT3","EVT3",1.78663926106229,309,275.735,18.6187557405599,8,8,"global",NA,33.265,1.12064119534654,0.164324434154429,0.363378677289066,FALSE
"Fibroblast1","EVT3",0.966577445927445,214,199.275,15.234164692209,8,8,"global",NA,14.725,1.073892861618,0.102850069413032,0.724682269660933,FALSE
"Fibroblast2","EVT3",-1.50202742680162,521,554.67,22.4163683017387,8,8,"global",NA,-33.67,0.939297239798548,-0.0903463236243597,0.496022733528288,FALSE
"Hofbauer cells","EVT3",1.16230517526693,198,181.34,14.3335849769504,8,8,"global",NA,16.66,1.0918716223608,0.1268032415799,0.645066550120862,FALSE
