"k","from","to","n_weeks","rho_z","p_z","rho_l2fc","p_l2fc","median_obs_over_exp","median_z","p_adj_z","p_adj_l2fc","trend"
8,"Endothelial_cells","Endothelial_cells",2,NA,NA,NA,NA,0.81456298837121,-0.741995063556852,NA,NA,"not_significant"
8,"Endothelial_cells","EVT2",2,NA,NA,NA,NA,1.13505507105234,2.36676534263435,NA,NA,"not_significant"
8,"Endothelial_cells","EVT3",2,NA,NA,NA,NA,1.06224573644583,0.805051964339713,NA,NA,"not_significant"
8,"Endothelial_cells","Fibroblast1",2,NA,NA,NA,NA,1.0257509390734,-0.0386328843668126,NA,NA,"not_significant"
8,"Endothelial_cells","Fibroblast2",2,NA,NA,NA,NA,0.924871750852097,-1.15128187925364,NA,NA,"not_significant"
8,"Endothelial_cells","Hofbauer cells",2,NA,NA,NA,NA,0.873222049867418,-0.71736885552234,NA,NA,"not_significant"
8,"Endothelial_cells","maternal macrophages",2,NA,NA,NA,NA,0.482632360221813,-1.07296163264043,NA,NA,"not_significant"
8,"Endothelial_cells","STB",2,NA,NA,NA,NA,0.992907570592791,-0.212143900923359,NA,NA,"not_significant"
8,"Endothelial_cells","unknown2",2,NA,NA,NA,NA,0.912217885879851,-0.145834833236698,NA,NA,"not_significant"
8,"Endothelial_cells","unknown3",2,NA,NA,NA,NA,0.875397877159377,-0.589080717095938,NA,NA,"not_significant"
8,"Endothelial_cells","vCTB2",2,NA,NA,NA,NA,0.945738901393809,-0.746323646531463,NA,NA,"not_significant"
8,"Endothelial_cells","vCTBp",2,NA,NA,NA,NA,0.736824266843823,-0.432854942012262,NA,NA,"not_significant"
8,"EVT2","Endothelial_cells",2,NA,NA,NA,NA,1.15445072070687,2.08851593755535,NA,NA,"not_significant"
8,"EVT2","EVT2",2,NA,NA,NA,NA,1.02828388392666,1.03890969409744,NA,NA,"not_significant"
8,"EVT2","EVT3",2,NA,NA,NA,NA,0.978587360265949,-0.307516341689105,NA,NA,"not_significant"
8,"EVT2","Fibroblast1",2,NA,NA,NA,NA,1.05073482339865,1.2928316951952,NA,NA,"not_significant"
8,"EVT2","Fibroblast2",2,NA,NA,NA,NA,0.999665233875232,-0.0241751563915023,NA,NA,"not_significant"
8,"EVT2","Hofbauer cells",2,NA,NA,NA,NA,0.971809561430217,-0.606798397811952,NA,NA,"not_significant"
8,"EVT2","maternal macrophages",2,NA,NA,NA,NA,0.876592716451624,-0.79493015108336,NA,NA,"not_significant"
8,"EVT2","STB",2,NA,NA,NA,NA,1.02083358375498,0.582004965695453,NA,NA,"not_significant"
8,"EVT2","unknown2",2,NA,NA,NA,NA,0.842892634014916,-0.843617386781454,NA,NA,"not_significant"
8,"EVT2","unknown3",2,NA,NA,NA,NA,0.915769186638907,-1.38288030976178,NA,NA,"not_significant"
8,"EVT2","vCTB2",2,NA,NA,NA,NA,0.971811543200225,-1.4553149276283,NA,NA,"not_significant"
8,"EVT2","vCTBp",2,NA,NA,NA,NA,1.0044128385584,-0.00605837913852597,NA,NA,"not_significant"
8,"EVT3","Endothelial_cells",2,NA,NA,NA,NA,0.747904455461797,-0.539158200383131,NA,NA,"not_significant"
8,"EVT3","EVT2",2,NA,NA,NA,NA,1.07458711866149,-0.201932638503804,NA,NA,"not_significant"
8,"EVT3","EVT3",2,NA,NA,NA,NA,0.88818945007854,0.46501748764268,NA,NA,"not_significant"
8,"EVT3","Fibroblast1",2,NA,NA,NA,NA,0.881873665320181,-0.698897798964685,NA,NA,"not_significant"
8,"EVT3","Fibroblast2",2,NA,NA,NA,NA,0.817185501448681,-1.9715592289014,NA,NA,"not_significant"
8,"EVT3","Hofbauer cells",2,NA,NA,NA,NA,0.90510591274438,-0.760605675368915,NA,NA,"not_significant"
8,"EVT3","maternal macrophages",2,NA,NA,NA,NA,1.96179960674942,1.13250050056559,NA,NA,"not_significant"
8,"EVT3","STB",2,NA,NA,NA,NA,0.998726474738211,-0.498186774226828,NA,NA,"not_significant"
8,"EVT3","unknown2",2,NA,NA,NA,NA,1.23134292063969,0.0469153990650956,NA,NA,"not_significant"
8,"EVT3","unknown3",2,NA,NA,NA,NA,1.13362392098626,1.14942342463797,NA,NA,"not_significant"
8,"EVT3","vCTB2",2,NA,NA,NA,NA,1.09189556045978,1.96936498149079,NA,NA,"not_significant"
8,"EVT3","vCTBp",2,NA,NA,NA,NA,1.28294596166683,1.63043773937153,NA,NA,"not_significant"
8,"Fibroblast1","Endothelial_cells",2,NA,NA,NA,NA,1.18179490245399,1.05450599473569,NA,NA,"not_significant"
8,"Fibroblast1","EVT2",2,NA,NA,NA,NA,1.03572564321954,1.0346116134057,NA,NA,"not_significant"
8,"Fibroblast1","EVT3",2,NA,NA,NA,NA,0.944100713187734,-0.0671836331847503,NA,NA,"not_significant"
8,"Fibroblast1","Fibroblast1",2,NA,NA,NA,NA,1.06297233461516,0.849614430808783,NA,NA,"not_significant"
