"niche_cluster","celltype","n_cells","frac"
"N1","EVT2",511,0.596266044340724
"N1","Fibroblast2",94,0.109684947491249
"N1","vCTB2",94,0.109684947491249
"N1","EVT3",48,0.0560093348891482
"N1","Fibroblast1",30,0.0350058343057176
"N1","STB",30,0.0350058343057176
"N1","Hofbauer cells",25,0.029171528588098
"N1","unknown3",12,0.014002333722287
"N1","Endothelial_cells",9,0.0105017502917153
"N1","maternal macrophages",2,0.00233372228704784
"N1","unknown2",1,0.00116686114352392
"N1","vCTBp",1,0.00116686114352392
"N2","vCTB2",424,0.378571428571429
"N2","EVT2",296,0.264285714285714
"N2","STB",152,0.135714285714286
"N2","EVT3",54,0.0482142857142857
"N2","Fibroblast2",49,0.04375
"N2","Fibroblast1",46,0.0410714285714286
"N2","unknown3",46,0.0410714285714286
"N2","Hofbauer cells",16,0.0142857142857143
"N2","vCTBp",11,0.00982142857142857
"N2","Endothelial_cells",9,0.00803571428571428
"N2","maternal macrophages",9,0.00803571428571428
"N2","unknown2",8,0.00714285714285714
"N3","EVT2",870,0.887755102040816
"N3","EVT3",52,0.0530612244897959
"N3","vCTB2",29,0.0295918367346939
"N3","Fibroblast2",12,0.0122448979591837
"N3","Hofbauer cells",6,0.00612244897959184
"N3","Fibroblast1",5,0.00510204081632653
"N3","STB",2,0.00204081632653061
"N3","unknown3",2,0.00204081632653061
"N3","Endothelial_cells",1,0.00102040816326531
"N3","unknown2",1,0.00102040816326531
"N4","vCTB2",551,0.481643356643357
"N4","STB",169,0.147727272727273
"N4","EVT2",103,0.090034965034965
"N4","Fibroblast2",90,0.0786713286713287
"N4","Fibroblast1",83,0.0725524475524476
"N4","unknown3",66,0.0576923076923077
"N4","Hofbauer cells",22,0.0192307692307692
"N4","Endothelial_cells",18,0.0157342657342657
"N4","EVT3",17,0.0148601398601399
"N4","vCTBp",14,0.0122377622377622
"N4","unknown2",6,0.00524475524475524
"N4","maternal macrophages",5,0.00437062937062937
"N5","Fibroblast2",555,0.281868969019807
"N5","vCTB2",538,0.273235144743525
"N5","Fibroblast1",276,0.140172676485526
"N5","Hofbauer cells",165,0.0837988826815642
"N5","STB",139,0.0705942102590147
"N5","EVT2",103,0.0523108176739462
"N5","Endothelial_cells",74,0.0375825292026409
"N5","unknown3",72,0.0365667851701371
"N5","maternal macrophages",23,0.0116810563737938
"N5","vCTBp",12,0.00609446419502285
"N5","EVT3",7,0.00355510411376333
"N5","unknown2",5,0.00253936008125952
"N6","vCTB2",449,0.35078125
"N6","STB",343,0.26796875
"N6","EVT2",167,0.13046875
"N6","Fibroblast1",80,0.0625
"N6","Fibroblast2",71,0.05546875
"N6","unknown3",65,0.05078125
"N6","Endothelial_cells",34,0.0265625
"N6","EVT3",27,0.02109375
"N6","Hofbauer cells",27,0.02109375
"N6","maternal macrophages",8,0.00625
"N6","unknown2",6,0.0046875
"N6","vCTBp",3,0.00234375
"N7","EVT3",247,0.686111111111111
"N7","EVT2",94,0.261111111111111
"N7","vCTB2",12,0.0333333333333333
"N7","maternal macrophages",2,0.00555555555555556
"N7","unknown3",2,0.00555555555555556
"N7","Fibroblast1",1,0.00277777777777778
"N7","Hofbauer cells",1,0.00277777777777778
"N7","STB",1,0.00277777777777778
"N8","Fibroblast2",738,0.554470323065364
"N8","Hofbauer cells",209,0.15702479338843
"N8","vCTB2",151,0.113448534936138
"N8","Fibroblast1",105,0.0788880540946657
"N8","Endothelial_cells",40,0.0300525920360631
"N8","EVT2",39,0.0293012772351615
"N8","unknown3",23,0.0172802404207363
"N8","STB",17,0.0127723516153268
"N8","maternal macrophages",8,0.00601051840721262
"N8","vCTBp",1,0.000751314800901578
