"niche_cluster","celltype","n_cells","frac"
"N1","EVT2",511,0.596266044340724
"N1","Fibroblast2",94,0.109684947491249
"N1","vCTB2",94,0.109684947491249
"N1","EVT3",48,0.0560093348891482
"N1","Fibroblast1",30,0.0350058343057176
"N2","vCTB2",424,0.378571428571429
"N2","EVT2",296,0.264285714285714
"N2","STB",152,0.135714285714286
"N2","EVT3",54,0.0482142857142857
"N2","Fibroblast2",49,0.04375
"N3","EVT2",870,0.887755102040816
"N3","EVT3",52,0.0530612244897959
"N3","vCTB2",29,0.0295918367346939
"N3","Fibroblast2",12,0.0122448979591837
"N3","Hofbauer cells",6,0.00612244897959184
"N4","vCTB2",551,0.481643356643357
"N4","STB",169,0.147727272727273
"N4","EVT2",103,0.090034965034965
"N4","Fibroblast2",90,0.0786713286713287
"N4","Fibroblast1",83,0.0725524475524476
"N5","Fibroblast2",555,0.281868969019807
"N5","vCTB2",538,0.273235144743525
"N5","Fibroblast1",276,0.140172676485526
"N5","Hofbauer cells",165,0.0837988826815642
"N5","STB",139,0.0705942102590147
"N6","vCTB2",449,0.35078125
"N6","STB",343,0.26796875
"N6","EVT2",167,0.13046875
"N6","Fibroblast1",80,0.0625
"N6","Fibroblast2",71,0.05546875
"N7","EVT3",247,0.686111111111111
"N7","EVT2",94,0.261111111111111
"N7","vCTB2",12,0.0333333333333333
"N7","maternal macrophages",2,0.00555555555555556
"N7","unknown3",2,0.00555555555555556
"N8","Fibroblast2",738,0.554470323065364
"N8","Hofbauer cells",209,0.15702479338843
"N8","vCTB2",151,0.113448534936138
"N8","Fibroblast1",105,0.0788880540946657
"N8","Endothelial_cells",40,0.0300525920360631
