"niche_cluster","geneset","mean_score","median_score","n_cells","n_genes","z_across_niches"
"N1","Cytotoxic_NK",0.00945107928525797,0.000404209519969656,437,9,-0.588487070116702
"N1","Ethanolamine_Metabolism",0.464607084636541,0.417814101451351,437,7,0.238295350305189
"N1","Immune_Tolerance",0.419769281734689,0.250437651616195,437,11,-0.173710371725812
"N1","MMP_ECM_Remodeling",1.69413108752258,1.25687392334802,437,12,-0.234211394407947
"N2","Cytotoxic_NK",0.0253217856876257,0.00145236089496953,714,9,1.6771298172679
"N2","Ethanolamine_Metabolism",0.429860673519478,0.374074066234591,714,7,-0.126824706437098
"N2","Immune_Tolerance",0.31786510280758,0.218305449738426,714,11,-0.430444291035219
"N2","MMP_ECM_Remodeling",1.39159353027173,0.966440704638238,714,12,-0.575169975611706
"N3","Cytotoxic_NK",0.00291411330757246,0.000212644857874456,757,9,-1.52166925721162
"N3","Ethanolamine_Metabolism",0.354046050730586,0.337292289263454,757,7,-0.92349516777813
"N3","Immune_Tolerance",1.07474261256981,0.943862541574302,757,11,1.47640714100856
"N3","MMP_ECM_Remodeling",2.30791454473987,1.84915196975615,757,12,0.457520034379989
"N4","Cytotoxic_NK",0.0181196934743071,0.00165986448423008,935,9,0.648997777690797
"N4","Ethanolamine_Metabolism",0.453973297375299,0.408790013117611,935,7,0.126554054344312
"N4","Immune_Tolerance",0.22701935549745,0.177052904051172,935,11,-0.65931797418618
"N4","MMP_ECM_Remodeling",1.21316670730111,0.922106570843046,935,12,-0.776256270356637
"N5","Cytotoxic_NK",0.0147595962570806,0.000794975406090061,1342,9,0.169328328480483
"N5","Ethanolamine_Metabolism",0.516238697194772,0.523213667305698,1342,7,0.780847421177899
"N5","Immune_Tolerance",0.200560206012441,0.151209947569483,1342,11,-0.725978254661416
"N5","MMP_ECM_Remodeling",1.424417077317,1.07818462224679,1342,12,-0.538177973255608
"N6","Cytotoxic_NK",0.017252628098393,0,1007,9,0.525220177101805
"N6","Ethanolamine_Metabolism",0.469824948025688,0.425720651884097,1007,7,0.293125374916943
"N6","Immune_Tolerance",0.316568549076927,0.235871390451698,1007,11,-0.433710784366214
"N6","MMP_ECM_Remodeling",1.46859715039754,0.991822611320442,1007,12,-0.488387212822754
"N7","Cytotoxic_NK",0.0134585390725948,0,222,9,-0.0164036139984233
"N7","Ethanolamine_Metabolism",0.268715527372805,0.237516599747625,222,7,-1.82016001829395
"N7","Immune_Tolerance",1.16329288945747,1.29806994598353,222,11,1.69949769412085
"N7","MMP_ECM_Remodeling",3.93606786718239,4.59856013012112,222,12,2.29244212420798
"N8","Cytotoxic_NK",0.00731013940786787,0.00114748013979797,1010,9,-0.894116159214241
"N8","Ethanolamine_Metabolism",0.578172630440684,0.56469928110295,1010,7,1.43165769176483
"N8","Immune_Tolerance",0.189936539206845,0.143454626431269,1010,11,-0.752743159154576
"N8","MMP_ECM_Remodeling",1.77971441910893,1.69965743778677,1010,12,-0.137759332133317
