"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.70977734452162e-52,1.56573322777141,0.459,0.215,3.54853522832887e-47,"N2","AC100835.2"
6.11318280366613e-49,1.04218638185005,0.646,0.387,2.23412378742782e-44,"N2","EHF"
1.74712478406277e-48,1.54730613194447,0.423,0.191,6.38504223583579e-44,"N2","CTSE"
5.51850978324314e-48,1.54368844984417,0.427,0.196,2.01679458538404e-43,"N2","GYPA"
5.02378564356281e-47,1.08103186393257,0.461,0.23,1.83599270129647e-42,"N2","AHSP"
1.11510022494788e-46,1.67350820792492,0.434,0.204,4.07524528209451e-42,"N2","HEMGN"
2.64359146844306e-46,1.5226680470649,0.452,0.224,9.66126938057202e-42,"N2","EPB42"
1.45554168195503e-45,1.07958649790632,0.452,0.224,5.31942263087284e-41,"N2","ALAS2"
7.16891577802321e-44,1.0174181487605,0.846,0.696,2.61995196023636e-39,"N2","LAMB3"
9.16070002733829e-44,2.08015398048914,0.494,0.268,3.34786943199105e-39,"N2","SLC30A10"
1.87531430447883e-43,0.714232266504625,0.569,0.326,6.85352365714834e-39,"N2","AL031123.4"
1.92703978711064e-43,2.88377715194621,0.472,0.243,7.04255960597454e-39,"N2","UGT2B7"
6.09334717991959e-43,1.51814829876831,0.42,0.204,2.22687466037341e-38,"N2","C11orf21"
1.05373417252688e-42,11.9862648752685,0.479,0.258,3.85097690691675e-38,"N2","SPTA1"
1.18279268824552e-42,1.5786925338529,0.831,0.646,4.32263415846209e-38,"N2","AC006994.2"
1.21714478897674e-42,1.91827944152007,0.765,0.583,4.44817734579439e-38,"N2","UCA1"
1.51284355596128e-42,0.906661357441212,0.758,0.591,5.52883805961608e-38,"N2","CHDH"
1.8880643129581e-42,1.53891122237107,0.464,0.243,6.90011983813668e-38,"N2","GYPB"
1.12463412343484e-41,0.976192464912811,0.48,0.265,4.11008786750498e-37,"N2","PAX2"
1.38876739377061e-41,1.30646725905902,0.745,0.584,5.07538931727407e-37,"N2","IL15RA"
1.58112241561586e-41,1.41061938544023,0.462,0.248,5.77836998010974e-37,"N2","ANKRD18B"
