"dataset","niche_cluster","gene","avg_diff","p_val","p_adj"
"STARmap","N1","MTRNR2L12",3.26166636252742,0.933333333333333,1
"STARmap","N1","ADAM12",2.96695050718187,0.476190476190476,1
"STARmap","N1","CBLB",2.1320457859189,0.476190476190476,1
"STARmap","N1","FLNB",1.89565141843964,0.476190476190476,1
"STARmap","N1","AD000090.1",1.86731410700331,0.571428571428571,1
"STARmap","N1","TCF7L2",1.80211367232268,0.571428571428571,1
"STARmap","N1","TPM1",1.78496489343661,0.571428571428571,1
"STARmap","N1","AC211433.1",1.72315441977486,0.571428571428571,1
"STARmap","N1","DOCK5",1.70208560863658,0.380952380952381,1
"STARmap","N1","FN1",1.6459855722598,0.476190476190476,1
"STARmap","N1","FSTL3",1.64002915246403,0.571428571428571,1
"STARmap","N1","KRT19",1.63046201307848,0.8,1
"STARmap","N1","AC105402.3",1.58178068601657,0.8,1
"STARmap","N1","DIO2",1.44855601827747,0.571428571428571,1
"STARmap","N1","CDKN1C",1.44396221056034,0.8,1
"STARmap","N1","QSOX1",1.36375212010279,0.571428571428571,1
"STARmap","N1","COL27A1",1.30214512653183,0.476190476190476,1
"STARmap","N1","MBNL2",1.23395689148974,0.380952380952381,1
"STARmap","N1","NRIP1",1.2147437613542,0.571428571428571,1
"STARmap","N1","TMSB10",1.12826221599869,0.8,1
"STARmap","N1","SASH1",1.12470371580347,0.8,1
"STARmap","N1","KRT8",1.09147521412982,0.685714285714286,1
"STARmap","N1","MYCNUT",1.09079372529808,0.685714285714286,1
"STARmap","N1","MTRNR2L8",1.0705390580984,0.8,1
"STARmap","N1","ANXA1",1.05958102243021,0.8,1
"STARmap","N1","TFPI",1.05277290717983,0.685714285714286,1
"STARmap","N1","PTPRF",1.03233830612338,0.685714285714286,1
"STARmap","N1","FNDC3B",1.00931745713455,0.685714285714286,1
"STARmap","N1","IL1RAP",0.973124793859939,0.571428571428571,1
"STARmap","N1","GATA3",0.945966563189164,0.8,1
"STARmap","N1","IGFBP3",0.929476357930968,0.571428571428571,1
"STARmap","N1","HTRA4",0.903818199980648,0.685714285714286,1
"STARmap","N1","NOTUM",0.888272755845081,0.685714285714286,1
"STARmap","N1","MAN1A2",0.886000460415759,0.571428571428571,1
"STARmap","N1","TRIO",0.885298166964613,0.685714285714286,1
"STARmap","N1","EPAS1",0.871300228065806,0.571428571428571,1
"STARmap","N1","RBFOX2",0.864292295836526,0.571428571428571,1
"STARmap","N1","MTRNR2L10",0.856508399292736,0.8,1
"STARmap","N1","GAPDH",0.855246627809386,0.8,1
"STARmap","N1","CUX1",0.854864123987782,0.571428571428571,1
"STARmap","N1","TANC2",0.851958150575179,0.476190476190476,1
"STARmap","N1","PLCL2",0.845477617511315,0.685714285714286,1
"STARmap","N1","COL21A1",0.830192947962014,0.476190476190476,1
"STARmap","N1","MICAL3",0.827751346651098,0.685714285714286,1
"STARmap","N1","TNS3",0.816032002599217,0.476190476190476,1
"STARmap","N1","ARID3A",0.798780565582639,0.571428571428571,1
"STARmap","N1","FLT1",0.79092059238147,0.476190476190476,1
"STARmap","N1","LAIR2",0.787057796224686,0.685714285714286,1
"STARmap","N1","GCM1",0.778558968244274,0.685714285714286,1
"STARmap","N1","RASGRF2",0.769715090181909,0.685714285714286,1
"STARmap","N1","MAST4",0.765801950680344,0.685714285714286,1
