"week","niche_cluster","celltype","n_cells","frac"
8,"N1","EVT2",492,0.843910806174957
8,"N1","EVT3",46,0.0789022298456261
8,"N1","Endothelial_cells",1,0.00171526586620926
8,"N1","Fibroblast1",3,0.00514579759862779
8,"N1","Fibroblast2",1,0.00171526586620926
8,"N1","Hofbauer cells",3,0.00514579759862779
8,"N1","STB",4,0.00686106346483705
8,"N1","maternal macrophages",1,0.00171526586620926
8,"N1","unknown2",1,0.00171526586620926
8,"N1","unknown3",1,0.00171526586620926
8,"N1","vCTB2",30,0.0514579759862779
8,"N2","EVT2",209,0.34375
8,"N2","EVT3",47,0.0773026315789474
8,"N2","Endothelial_cells",6,0.00986842105263158
8,"N2","Fibroblast1",18,0.0296052631578947
8,"N2","Fibroblast2",16,0.0263157894736842
8,"N2","Hofbauer cells",3,0.00493421052631579
8,"N2","STB",67,0.110197368421053
8,"N2","maternal macrophages",5,0.00822368421052632
8,"N2","unknown2",3,0.00493421052631579
8,"N2","unknown3",22,0.0361842105263158
8,"N2","vCTB2",205,0.337171052631579
8,"N2","vCTBp",7,0.0115131578947368
8,"N3","EVT2",301,0.869942196531792
8,"N3","EVT3",29,0.0838150289017341
8,"N3","Endothelial_cells",1,0.00289017341040462
8,"N3","Fibroblast1",1,0.00289017341040462
8,"N3","Fibroblast2",1,0.00289017341040462
8,"N3","STB",2,0.00578034682080925
8,"N3","unknown3",1,0.00289017341040462
8,"N3","vCTB2",10,0.0289017341040462
8,"N4","EVT2",45,0.0918367346938776
8,"N4","EVT3",11,0.0224489795918367
8,"N4","Endothelial_cells",11,0.0224489795918367
8,"N4","Fibroblast1",44,0.0897959183673469
8,"N4","Fibroblast2",57,0.116326530612245
8,"N4","Hofbauer cells",16,0.0326530612244898
8,"N4","STB",51,0.104081632653061
8,"N4","maternal macrophages",2,0.00408163265306122
8,"N4","unknown2",2,0.00408163265306122
8,"N4","unknown3",36,0.073469387755102
8,"N4","vCTB2",208,0.424489795918367
8,"N4","vCTBp",7,0.0142857142857143
8,"N5","EVT2",70,0.0638686131386861
8,"N5","EVT3",4,0.00364963503649635
8,"N5","Endothelial_cells",54,0.0492700729927007
8,"N5","Fibroblast1",132,0.12043795620438
8,"N5","Fibroblast2",321,0.292883211678832
8,"N5","Hofbauer cells",113,0.103102189781022
8,"N5","STB",84,0.0766423357664234
8,"N5","maternal macrophages",18,0.0164233576642336
8,"N5","unknown2",4,0.00364963503649635
8,"N5","unknown3",34,0.031021897810219
8,"N5","vCTB2",257,0.234489051094891
8,"N5","vCTBp",5,0.00456204379562044
8,"N6","EVT2",56,0.135922330097087
8,"N6","EVT3",10,0.0242718446601942
8,"N6","Endothelial_cells",27,0.0655339805825243
8,"N6","Fibroblast1",41,0.0995145631067961
8,"N6","Fibroblast2",50,0.121359223300971
8,"N6","Hofbauer cells",21,0.0509708737864078
8,"N6","STB",55,0.133495145631068
8,"N6","maternal macrophages",6,0.0145631067961165
8,"N6","unknown2",1,0.00242718446601942
8,"N6","unknown3",16,0.0388349514563107
8,"N6","vCTB2",129,0.313106796116505
8,"N7","EVT2",94,0.261111111111111
8,"N7","EVT3",247,0.686111111111111
8,"N7","Fibroblast1",1,0.00277777777777778
8,"N7","Hofbauer cells",1,0.00277777777777778
8,"N7","STB",1,0.00277777777777778
8,"N7","maternal macrophages",2,0.00555555555555556
8,"N7","unknown3",2,0.00555555555555556
8,"N7","vCTB2",12,0.0333333333333333
8,"N8","EVT2",24,0.0405405405405405
8,"N8","Endothelial_cells",21,0.035472972972973
8,"N8","Fibroblast1",41,0.0692567567567568
8,"N8","Fibroblast2",341,0.576013513513513
8,"N8","Hofbauer cells",99,0.16722972972973
8,"N8","STB",10,0.0168918918918919
8,"N8","maternal macrophages",4,0.00675675675675676
8,"N8","unknown3",12,0.0202702702702703
8,"N8","vCTB2",40,0.0675675675675676
9,"N1","EVT2",19,0.0693430656934307
9,"N1","EVT3",2,0.0072992700729927
9,"N1","Endothelial_cells",8,0.0291970802919708
9,"N1","Fibroblast1",27,0.0985401459854015
9,"N1","Fibroblast2",93,0.339416058394161
9,"N1","Hofbauer cells",22,0.0802919708029197
9,"N1","STB",26,0.0948905109489051
9,"N1","maternal macrophages",1,0.00364963503649635
9,"N1","unknown3",11,0.0401459854014599
9,"N1","vCTB2",64,0.233576642335766
9,"N1","vCTBp",1,0.00364963503649635
9,"N2","EVT2",87,0.169921875
9,"N2","EVT3",7,0.013671875
9,"N2","Endothelial_cells",3,0.005859375
9,"N2","Fibroblast1",28,0.0546875
9,"N2","Fibroblast2",33,0.064453125
9,"N2","Hofbauer cells",13,0.025390625
9,"N2","STB",85,0.166015625
9,"N2","maternal macrophages",4,0.0078125
9,"N2","unknown2",5,0.009765625
9,"N2","unknown3",24,0.046875
9,"N2","vCTB2",219,0.427734375
9,"N2","vCTBp",4,0.0078125
9,"N3","EVT2",569,0.897476340694006
9,"N3","EVT3",23,0.0362776025236593
9,"N3","Fibroblast1",4,0.00630914826498423
9,"N3","Fibroblast2",11,0.0173501577287066
9,"N3","Hofbauer cells",6,0.00946372239747634
9,"N3","unknown2",1,0.00157728706624606
9,"N3","unknown3",1,0.00157728706624606
9,"N3","vCTB2",19,0.0299684542586751
9,"N4","EVT2",58,0.0886850152905199
9,"N4","EVT3",6,0.00917431192660551
9,"N4","Endothelial_cells",7,0.0107033639143731
9,"N4","Fibroblast1",39,0.0596330275229358
9,"N4","Fibroblast2",33,0.0504587155963303
9,"N4","Hofbauer cells",6,0.00917431192660551
9,"N4","STB",118,0.180428134556575
9,"N4","maternal macrophages",3,0.00458715596330275
9,"N4","unknown2",4,0.00611620795107034
9,"N4","unknown3",30,0.0458715596330275
9,"N4","vCTB2",343,0.524464831804281
9,"N4","vCTBp",7,0.0107033639143731
9,"N5","EVT2",33,0.0378006872852234
9,"N5","EVT3",3,0.00343642611683849
9,"N5","Endothelial_cells",20,0.0229095074455899
9,"N5","Fibroblast1",144,0.164948453608247
9,"N5","Fibroblast2",234,0.268041237113402
9,"N5","Hofbauer cells",52,0.0595647193585338
9,"N5","STB",55,0.0630011454753723
9,"N5","maternal macrophages",5,0.00572737686139748
9,"N5","unknown2",1,0.0011454753722795
9,"N5","unknown3",38,0.0435280641466208
9,"N5","vCTB2",281,0.321878579610538
9,"N5","vCTBp",7,0.00801832760595647
9,"N6","EVT2",111,0.127880184331797
9,"N6","EVT3",17,0.0195852534562212
9,"N6","Endothelial_cells",7,0.00806451612903226
9,"N6","Fibroblast1",39,0.0449308755760369
