"week","niche_cluster","std_resid","dataset"
"8","N1",11.3224677391545,"STARmap"
"9","N1",-11.3224677391545,"STARmap"
"8","N2",3.32970158290885,"STARmap"
"9","N2",-3.32970158290885,"STARmap"
"8","N3",-9.49758381717716,"STARmap"
"9","N3",9.49758381717716,"STARmap"
"8","N4",-4.92003741296348,"STARmap"
"9","N4",4.92003741296348,"STARmap"
"8","N5",6.05420786661061,"STARmap"
"9","N5",-6.05420786661061,"STARmap"
"8","N6",-13.4707485292423,"STARmap"
"9","N6",13.4707485292423,"STARmap"
"8","N7",19.5071168416017,"STARmap"
"9","N7",-19.5071168416017,"STARmap"
"8","N8",-4.07058305745768,"STARmap"
"9","N8",4.07058305745768,"STARmap"
