"week","niche_cluster","fraction","dataset"
"8","N1",0.129930911522175,"STARmap"
"9","N1",0.0601668862538428,"STARmap"
"8","N2",0.135502562959661,"STARmap"
"9","N2",0.112428634167765,"STARmap"
"8","N3",0.0771116558948072,"STARmap"
"9","N3",0.139218269653052,"STARmap"
"8","N4",0.109204368174727,"STARmap"
"9","N4",0.143610013175231,"STARmap"
"8","N5",0.244261199019389,"STARmap"
"9","N5",0.191699604743083,"STARmap"
"8","N6",0.0918208156897704,"STARmap"
"9","N6",0.190601668862538,"STARmap"
"8","N7",0.0802317806997994,"STARmap"
"9","N7",0,"STARmap"
"8","N8",0.13193670603967,"STARmap"
"9","N8",0.162274923144488,"STARmap"
