"week","sender_label","receiver_label","lr","mean_lr_score","median_lr_score","n_edges","null_mean","null_sd","z_null","p_empirical","k","p_adj"
8,"STB","EVT3","PGF->FLT1",6.68553211841342,6.81526900914527,525,2.09523482113756,NA,NA,NA,40,NA
8,"STB","EVT3","PGF->FLT1",5.21385084736478,4.64101651286162,293,1.98402340980799,NA,NA,NA,25,NA
9,"STB","EVT3","PGF->FLT1",5.11605809691753,5.78468991456471,708,2.29151050200066,NA,NA,NA,25,NA
9,"EVT3","EVT3","PGF->FLT1",5.03074330993989,4.51777320254287,140,2.31057225462329,NA,NA,NA,40,NA
9,"STB","EVT3","PGF->FLT1",5.01818422236455,5.62056189218578,315,2.54045856979293,NA,NA,NA,8,NA
8,"EVT2","EVT3","PGF->FLT1",4.96210302738951,6.01480407482855,1608,2.15811881754317,NA,NA,NA,25,NA
9,"STB","EVT3","PGF->FLT1",4.93382385559289,5.68979103157502,462,2.28283537287398,NA,NA,NA,15,NA
9,"EVT3","EVT3","PGF->FLT1",4.71936010581426,4.57635357077082,26,2.33370880733732,NA,NA,NA,8,NA
9,"EVT2","EVT3","PGF->FLT1",4.68154402635209,5.19181520809959,1884,2.34398307237917,NA,NA,NA,40,NA
8,"EVT3","EVT3","PGF->FLT1",4.6177988423186,4.28664150888553,592,2.10932680497577,NA,NA,NA,25,NA
9,"EVT2","EVT3","PGF->FLT1",4.59345833196251,5.34680264224419,1180,2.32442191346055,NA,NA,NA,25,NA
9,"EVT3","EVT3","PGF->FLT1",4.48488652789439,4.11462457919982,104,2.37267689120634,NA,NA,NA,25,NA
9,"EVT2","EVT3","PGF->FLT1",4.48024469842016,4.4055467998781,364,2.4997884068544,NA,NA,NA,8,NA
8,"EVT2","EVT3","PGF->FLT1",4.36769956084331,4.46077682713717,2468,2.21062229048705,NA,NA,NA,40,NA
8,"EVT3","EVT3","PGF->FLT1",4.35663836532378,4.21723961674457,836,2.08337263320964,NA,NA,NA,40,NA
9,"STB","EVT3","PGF->FLT1",4.35392896510241,5.14962849705013,1087,2.2180753814518,NA,NA,NA,40,NA
9,"EVT3","EVT3","PGF->FLT1",4.32951297693598,4.12723190012271,31,2.34242783174363,NA,NA,NA,15,NA
8,"EVT3","EVT3","PGF->FLT1",4.29086384219787,4.12191266180413,236,2.16942940327109,NA,NA,NA,8,NA
8,"EVT3","EVT3","PGF->FLT1",4.16834894847017,4.19890186811005,371,2.2011716641334,NA,NA,NA,15,NA
9,"EVT2","EVT3","PGF->FLT1",3.92705086263768,2.61986977227241,597,2.41030821696424,NA,NA,NA,15,NA
8,"EVT2","EVT3","PGF->FLT1",3.62928350385417,2.61278501627738,625,2.32306890495055,NA,NA,NA,8,NA
9,"EVT2","EVT2","PGF->FLT1",3.60615890792416,3.32833234703665,1788,2.522689979315,NA,NA,NA,8,NA
8,"STB","EVT2","PGF->FLT1",3.36040158024291,3.24793307054094,2528,2.08578464519192,NA,NA,NA,40,NA
9,"EVT2","EVT2","PGF->FLT1",3.32856346767011,2.95328073476782,3669,2.41285309346032,NA,NA,NA,15,NA
8,"STB","EVT3","PGF->FLT1",3.28696651693879,2.16519106978077,99,1.62241876421767,NA,NA,NA,8,NA
9,"EVT3","EVT2","PGF->FLT1",3.28013816468583,3.18694253513474,178,2.37264054961673,NA,NA,NA,15,NA
8,"EVT2","EVT2","PGF->FLT1",3.27252137269928,3.03145968252771,2482,2.34295523595858,NA,NA,NA,8,NA
9,"STB","EVT2","PGF->FLT1",3.14955538183674,2.98467756662515,1156,2.4899959252701,NA,NA,NA,8,NA
9,"EVT3","EVT2","PGF->FLT1",3.11396037320571,2.61887642446274,119,2.28213456263211,NA,NA,NA,8,NA
9,"EVT3","Fibroblast1","PGF->FLT1",3.08421372328258,2.82175095427994,98,2.3583522669118,NA,NA,NA,25,NA
9,"EVT2","Fibroblast1","PGF->FLT1",3.05187624751317,3.40565502539151,2377,2.33337841042952,NA,NA,NA,40,NA
9,"EVT2","Fibroblast1","PGF->FLT1",3.01881104308376,3.09603595765305,494,2.48166307467775,NA,NA,NA,8,NA
9,"STB","Fibroblast1","PGF->FLT1",3.01828853429704,3.34734870502151,1041,2.31435009975158,NA,NA,NA,25,NA
9,"STB","Fibroblast1","PGF->FLT1",2.96865969222966,3.36662168930699,341,2.51953473342033,NA,NA,NA,8,NA
9,"EVT3","Fibroblast1","PGF->FLT1",2.96080274286273,2.91554271580491,32,2.29891583804868,NA,NA,NA,8,NA
9,"STB","EVT2","PGF->FLT1",2.94963709403103,2.82684693816537,3260,2.28904447108384,NA,NA,NA,25,NA
