"week","sender_label","receiver_label","lr","n_k","n_k_sig","median_z","robust_fraction"
8,"EVT2","EVT2","CCL2->CCR2",4,0,NA,0
8,"EVT2","EVT2","CCL5->CCR5",4,0,NA,0
8,"EVT2","EVT2","CSF1->CSF1R",4,0,NA,0
8,"EVT2","EVT2","CXCL12->CXCR4",4,0,NA,0
8,"EVT2","EVT2","HLA-G->LILRB1",4,0,NA,0
8,"EVT2","EVT2","HLA-G->LILRB2",4,0,NA,0
8,"EVT2","EVT2","LGALS9->HAVCR2",4,0,NA,0
8,"EVT2","EVT2","PGF->FLT1",4,0,NA,0
8,"EVT2","EVT2","TGFB1->TGFBR1",4,0,NA,0
8,"EVT2","EVT2","TGFB1->TGFBR2",4,0,NA,0
8,"EVT2","EVT2","VEGFA->KDR",4,0,NA,0
8,"EVT2","EVT3","CCL2->CCR2",4,0,NA,0
8,"EVT2","EVT3","CCL5->CCR5",4,0,NA,0
8,"EVT2","EVT3","CSF1->CSF1R",4,0,NA,0
8,"EVT2","EVT3","CXCL12->CXCR4",4,0,NA,0
8,"EVT2","EVT3","HLA-G->LILRB1",4,0,NA,0
8,"EVT2","EVT3","HLA-G->LILRB2",4,0,NA,0
8,"EVT2","EVT3","LGALS9->HAVCR2",4,0,NA,0
8,"EVT2","EVT3","PGF->FLT1",4,0,NA,0
8,"EVT2","EVT3","TGFB1->TGFBR1",4,0,NA,0
8,"EVT2","EVT3","TGFB1->TGFBR2",4,0,NA,0
8,"EVT2","EVT3","VEGFA->KDR",4,0,NA,0
8,"EVT2","Endothelial_cells","CCL2->CCR2",4,0,NA,0
8,"EVT2","Endothelial_cells","CCL5->CCR5",4,0,NA,0
8,"EVT2","Endothelial_cells","CSF1->CSF1R",4,0,NA,0
8,"EVT2","Endothelial_cells","CXCL12->CXCR4",4,0,NA,0
8,"EVT2","Endothelial_cells","HLA-G->LILRB1",4,0,NA,0
8,"EVT2","Endothelial_cells","HLA-G->LILRB2",4,0,NA,0
8,"EVT2","Endothelial_cells","LGALS9->HAVCR2",4,0,NA,0
8,"EVT2","Endothelial_cells","PGF->FLT1",4,0,NA,0
8,"EVT2","Endothelial_cells","TGFB1->TGFBR1",4,0,NA,0
8,"EVT2","Endothelial_cells","TGFB1->TGFBR2",4,0,NA,0
8,"EVT2","Endothelial_cells","VEGFA->KDR",4,0,NA,0
8,"EVT2","Fibroblast1","CCL2->CCR2",4,0,NA,0
8,"EVT2","Fibroblast1","CCL5->CCR5",4,0,NA,0
8,"EVT2","Fibroblast1","CSF1->CSF1R",4,0,NA,0
8,"EVT2","Fibroblast1","CXCL12->CXCR4",4,0,NA,0
8,"EVT2","Fibroblast1","HLA-G->LILRB1",4,0,NA,0
8,"EVT2","Fibroblast1","HLA-G->LILRB2",4,0,NA,0
8,"EVT2","Fibroblast1","LGALS9->HAVCR2",4,0,NA,0
8,"EVT2","Fibroblast1","PGF->FLT1",4,0,NA,0
8,"EVT2","Fibroblast1","TGFB1->TGFBR1",4,0,NA,0
8,"EVT2","Fibroblast1","TGFB1->TGFBR2",4,0,NA,0
8,"EVT2","Fibroblast1","VEGFA->KDR",4,0,NA,0
8,"EVT2","Fibroblast2","CCL2->CCR2",4,0,NA,0
8,"EVT2","Fibroblast2","CCL5->CCR5",4,0,NA,0
8,"EVT2","Fibroblast2","CSF1->CSF1R",4,0,NA,0
8,"EVT2","Fibroblast2","CXCL12->CXCR4",4,0,NA,0
8,"EVT2","Fibroblast2","HLA-G->LILRB1",4,0,NA,0
8,"EVT2","Fibroblast2","HLA-G->LILRB2",4,0,NA,0
8,"EVT2","Fibroblast2","LGALS9->HAVCR2",4,0,NA,0
8,"EVT2","Fibroblast2","PGF->FLT1",4,0,NA,0
8,"EVT2","Fibroblast2","TGFB1->TGFBR1",4,0,NA,0
8,"EVT2","Fibroblast2","TGFB1->TGFBR2",4,0,NA,0
8,"EVT2","Fibroblast2","VEGFA->KDR",4,0,NA,0
8,"EVT2","Hofbauer cells","CCL2->CCR2",4,0,NA,0
8,"EVT2","Hofbauer cells","CCL5->CCR5",4,0,NA,0
8,"EVT2","Hofbauer cells","CSF1->CSF1R",4,0,NA,0
8,"EVT2","Hofbauer cells","CXCL12->CXCR4",4,0,NA,0
8,"EVT2","Hofbauer cells","HLA-G->LILRB1",4,0,NA,0
8,"EVT2","Hofbauer cells","HLA-G->LILRB2",4,0,NA,0
8,"EVT2","Hofbauer cells","LGALS9->HAVCR2",4,0,NA,0
8,"EVT2","Hofbauer cells","PGF->FLT1",4,0,NA,0
8,"EVT2","Hofbauer cells","TGFB1->TGFBR1",4,0,NA,0
8,"EVT2","Hofbauer cells","TGFB1->TGFBR2",4,0,NA,0
8,"EVT2","Hofbauer cells","VEGFA->KDR",4,0,NA,0
8,"EVT2","STB","CCL2->CCR2",4,0,NA,0
8,"EVT2","STB","CCL5->CCR5",4,0,NA,0
8,"EVT2","STB","CSF1->CSF1R",4,0,NA,0
8,"EVT2","STB","CXCL12->CXCR4",4,0,NA,0
8,"EVT2","STB","HLA-G->LILRB1",4,0,NA,0
8,"EVT2","STB","HLA-G->LILRB2",4,0,NA,0
8,"EVT2","STB","LGALS9->HAVCR2",4,0,NA,0
8,"EVT2","STB","PGF->FLT1",4,0,NA,0
8,"EVT2","STB","TGFB1->TGFBR1",4,0,NA,0
8,"EVT2","STB","TGFB1->TGFBR2",4,0,NA,0
8,"EVT2","STB","VEGFA->KDR",4,0,NA,0
8,"EVT2","maternal macrophages","CCL2->CCR2",4,0,NA,0
8,"EVT2","maternal macrophages","CCL5->CCR5",4,0,NA,0
8,"EVT2","maternal macrophages","CSF1->CSF1R",4,0,NA,0
8,"EVT2","maternal macrophages","CXCL12->CXCR4",4,0,NA,0
8,"EVT2","maternal macrophages","HLA-G->LILRB1",4,0,NA,0
8,"EVT2","maternal macrophages","HLA-G->LILRB2",4,0,NA,0
8,"EVT2","maternal macrophages","LGALS9->HAVCR2",4,0,NA,0
8,"EVT2","maternal macrophages","PGF->FLT1",4,0,NA,0
8,"EVT2","maternal macrophages","TGFB1->TGFBR1",4,0,NA,0
8,"EVT2","maternal macrophages","TGFB1->TGFBR2",4,0,NA,0
8,"EVT2","maternal macrophages","VEGFA->KDR",4,0,NA,0
8,"EVT2","unknown2","CCL2->CCR2",4,0,NA,0
8,"EVT2","unknown2","CCL5->CCR5",4,0,NA,0
8,"EVT2","unknown2","CSF1->CSF1R",4,0,NA,0
8,"EVT2","unknown2","CXCL12->CXCR4",4,0,NA,0
8,"EVT2","unknown2","HLA-G->LILRB1",4,0,NA,0
8,"EVT2","unknown2","HLA-G->LILRB2",4,0,NA,0
8,"EVT2","unknown2","LGALS9->HAVCR2",4,0,NA,0
