"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",123,1379,404,347,816,296,43,326,12,122,951,21
"EVT2",1401,15153,4591,3151,8938,2800,475,3284,105,1345,10187,210
"EVT3",440,4944,1330,943,2575,807,112,916,34,364,3215,80
"Fibroblast1",271,3271,1156,678,1990,698,78,661,14,272,2101,50
"Fibroblast2",879,9527,2962,2041,5279,1741,284,1870,73,774,5905,145
"Hofbauer cells",283,2993,888,627,1755,581,90,659,22,238,2057,47
"maternal macrophages",32,369,136,100,262,97,11,117,3,58,326,9
"STB",298,3031,961,677,1921,656,106,679,23,294,2253,61
"unknown2",9,150,41,23,75,27,5,42,0,7,59,2
"unknown3",152,1425,495,316,746,259,50,360,19,122,1000,16
"vCTB2",1040,10218,3255,2274,6176,2002,311,2266,88,867,7018,125
"vCTBp",18,296,43,48,110,52,4,31,2,21,131,4
