"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",49.675,523.37,159.76,114.71,316.365,103.165,14.84,113.425,4.555,48.82,359.025,7.29
"EVT2",522.465,5567.495,1696.94,1215.755,3401.07,1098.95,163.75,1185.85,47.94,534.295,3848.67,81.82
"EVT3",160.165,1696.335,518.295,370.195,1038.575,336.94,50.415,361.3,14.04,164.6,1173.865,25.275
"Fibroblast1",114.895,1212.025,370.195,260.755,742.105,241.35,34.88,254.98,10.53,115.86,839.695,17.73
"Fibroblast2",315.875,3388.135,1038.665,741.19,2075.605,675.94,100.085,721.81,28.69,325.18,2343.195,50.63
"Hofbauer cells",102.875,1103.94,338.465,242.19,672.785,219.205,32.68,233.02,8.825,105.795,764.62,15.6
"maternal macrophages",15.865,162.785,50.195,35.78,101.08,32.785,4.845,34.025,1.25,15.865,113.08,2.445
"STB",110.735,1181.695,359.895,256.355,722.325,234.645,34.94,251.05,10.495,114.84,815.87,17.155
"unknown2",4.41,47.645,14.685,10.54,28.69,9.04,1.42,10.275,0.4,4.505,32.7,0.69
"unknown3",50.1,536.915,164.3,116.84,326.59,105.73,15.8,112.56,4.695,51.285,367.075,8.11
"vCTB2",359.21,3848.94,1171.97,834.84,2335.995,762.4,113.245,817.355,33.17,370.13,2661.03,56.715
"vCTBp",7.46,83.12,24.73,17.65,49.89,15.9,2.22,17.155,0.595,8.065,57.045,1.17
