"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",13.28,188.63,12.225,72.375,174.095,46.145,3.94,122.75,3.385,34.06,284.025,5.09
"EVT2",188.965,2618.835,170.205,1015.595,2417.75,629.3,55.58,1703.145,45.715,482.14,3985.255,67.515
"EVT3",12.495,171.135,11.135,65.01,156.145,41.745,3.64,110.11,3.105,32.115,258.97,4.395
"Fibroblast1",72.83,1011.06,66.165,392.465,935.76,243.735,21.235,660.36,18.325,186.64,1540.105,26.32
"Fibroblast2",172.5,2416.26,157.46,934.86,2221.96,578.88,50.975,1573.585,44.065,442.08,3674.01,63.365
"Hofbauer cells",45.625,634.05,40.695,247.685,580.5,150.29,13.78,409.19,11.545,115.485,959.7,16.455
"maternal macrophages",4.17,55.35,3.665,21.465,51.22,13.76,1.27,36.355,0.915,10.26,85.17,1.4
"STB",122.74,1697.265,110.15,656.93,1567.96,409.62,36.03,1110.725,30.175,314,2585.86,43.545
"unknown2",3.26,47.215,3.105,17.94,42.785,11.425,0.97,31.335,0.84,8.87,70.99,1.265
"unknown3",34.395,484.385,31.355,185.325,445.42,116.165,10.38,310.985,8.785,89.345,731.245,12.215
"vCTB2",284.925,3981.985,261.12,1539.735,3669.895,960.71,85.665,2591.03,71.125,732.92,6073.34,102.55
"vCTBp",4.82,67.375,4.295,26.25,62.395,16.47,1.44,43.535,1.2,12.21,103.24,1.77
