"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",11,243,11,63,187,49,2,122,3,31,230,8
"EVT2",189,3223,203,951,2181,609,64,1774,22,466,3641,57
"EVT3",7,159,15,80,142,40,2,124,3,26,264,8
"Fibroblast1",82,1079,77,397,972,250,17,651,17,173,1445,15
"Fibroblast2",171,2303,162,1008,2195,567,53,1690,28,435,3660,58
"Hofbauer cells",45,575,29,251,590,160,10,458,15,107,967,18
"maternal macrophages",3,44,2,18,96,17,0,25,2,6,70,2
"STB",139,1501,133,681,1721,487,28,1067,39,283,2575,31
"unknown2",8,41,2,23,40,7,1,33,0,7,76,2
"unknown3",43,396,27,216,520,146,15,254,11,94,726,12
"vCTB2",307,3559,243,1628,3771,953,90,2681,64,738,6226,95
"vCTBp",4,97,6,24,47,20,1,44,0,17,84,1
