"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",-0.647119933588669,3.89524248292051,-0.305537127911974,-1.08217380823077,1.03012575645653,0.404066825519904,-0.969221039341959,-0.0632917932413575,-0.218231502871953,-0.50825489414543,-3.56663535616446,1.14902514232326
"EVT2",0.00239890327052304,12.0743288297557,2.48436813525913,-1.89874644417365,-5.00350564465968,-0.721635926818538,1.05462530346856,1.56151685886111,-3.25877978006207,-0.701802199503428,-5.98073719932237,-1.20935777860554
"EVT3",-1.47657333779427,-1.00362025050778,1.17988856786169,1.74397500881015,-1.0915913597015,-0.245720704215453,-0.820990736962036,1.28224392005755,-0.0532135744639095,-0.927375961891306,0.34438669623618,1.60352993156976
"Fibroblast1",0.993885491116988,2.12530967154289,1.31028389979659,0.219164074101874,1.22363450601982,0.417424556027967,-0.908320161400871,-0.352175411295322,-0.277408950145837,-0.963500641924476,-2.60813094411473,-1.95126365551152
"Fibroblast2",-0.105244195973444,-2.2653719470727,0.375528394205757,2.37892131523538,-0.55420709801943,-0.471338767733561,0.251834383367714,3.07809850998498,-2.16926300319525,-0.300763930931786,-0.259632882724268,-0.651363877142331
"Hofbauer cells",-0.0903868001509992,-2.40594030276994,-1.7395655010147,0.198760936954684,0.391954322133947,0.754565774739426,-0.896183778591127,2.46779704787138,0.970977621950759,-0.703946501973612,0.272216475972952,0.366749537827387
"maternal macrophages",-0.511249266933089,-1.49294963790897,-0.84944723965298,-0.714679033205251,6.67789942864979,0.756478451629034,-1.06417980233155,-1.92811373746494,1.08349015382836,-1.2491351260992,-1.78666601143066,0.46734851428681
"STB",1.49385208299209,-4.65984653988174,1.81555456007105,0.919094430950591,3.99698257971725,3.77740464988327,-1.12493378644019,-1.4062003183729,1.6880554691316,-1.76532358767401,-0.232518455102029,-1.76672486059748
"unknown2",2.61370572908096,-0.935784707410441,-0.618688533834992,1.11869467043194,-0.418429197602485,-1.29572828092137,0.0297896699521038,0.298763155814409,-0.776496902522658,-0.576939925629064,0.67918884047828,0.599668127025176
"unknown3",1.30098771200405,-4.28425495894338,-0.708736870362275,2.27479136097507,3.95712712264209,2.61490629055046,1.41442929578338,-3.00688086779087,0.643503526692728,0.486365183254915,-0.214364248244727,-0.0560337058497228
"vCTB2",1.26611031829951,-7.67668534122914,-1.06923301135909,2.05795553391438,1.64768858232101,-0.238130052799987,0.402037249532198,1.81619798405686,-0.906645841616653,0.162415153833189,2.35107200064511,-0.742106497437547
"vCTBp",-0.337960183160114,3.88241303356554,0.693860021288619,-0.420205953656671,-2.11860716000311,0.853528349600231,-0.338981026468867,0.0689390226327778,-0.977343337033649,1.23425711248975,-2.4006234544784,-0.587858475480454
