"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.35071019057095e-14,1.10942747600076,0.372,0.193,2.98277331383782e-10,"N8","LCMT1-AS2"
1.1850612098229e-13,1.24344798608215,0.306,0.149,2.61697066965192e-09,"N8","PLEKHH1"
1.43935649647806e-13,1.14984200592652,0.322,0.16,3.1785309511725e-09,"N8","PSG8"
1.5739820226709e-13,0.892011199687801,0.694,0.553,3.47582450066416e-09,"N8","TACC2"
4.31978686763133e-13,1.03083799664638,0.529,0.356,9.53938533979026e-09,"N8","NECTIN3"
6.07074124487309e-13,0.97254654496961,0.791,0.71,1.34060178910532e-08,"N8","GULP1"
4.82264392872718e-12,0.696395268941496,0.874,0.817,1.06498445878082e-07,"N8","NHSL1"
4.86946908328057e-12,1.37296966225693,0.23,0.101,1.07532485766085e-07,"N8","AC093827.4"
7.66312132296921e-12,1.11175799202995,0.332,0.182,1.69224708175129e-07,"N8","MTMR4"
8.84063805289651e-12,1.03123043324612,0.338,0.181,1.95227810122114e-07,"N8","EFHD1"
1.66384669982343e-11,1.18440329386172,0.429,0.279,3.67427266722008e-07,"N8","PLEKHA6"
2.04710193245639e-11,1.00263626964984,0.322,0.17,4.52061519744345e-07,"N8","ERV3-1"
3.30116423643019e-11,0.624602305006553,0.919,0.864,7.28996098330878e-07,"N8","FAM13A"
3.60199896926292e-11,1.58559684492498,0.217,0.096,7.95429432382331e-07,"N8","ATG9B"
5.55059385642006e-11,0.801406248450208,0.421,0.255,1.22573764131324e-06,"N8","BANP"
1.00847662276598e-10,1.19945390023507,0.22,0.099,2.22701892605411e-06,"N8","CRYBG2"
1.18962886729432e-10,0.940685261775405,0.56,0.418,2.62705742764604e-06,"N8","STAT5B"
1.49292862036652e-10,0.681075693562295,0.55,0.392,3.29683427235538e-06,"N8","ERVW-1"
1.64568220088412e-10,1.65170356183562,0.199,0.088,3.63416000421239e-06,"N8","ACOXL"
2.2044265642793e-10,1.74543577778414,0.12,0.038,4.86803518189798e-06,"N8","SH2D5"
4.02096376875093e-10,1.00532275946135,0.374,0.231,8.87949429053268e-06,"N8","HSD3B1"
4.06965872565783e-10,0.721424526841311,0.937,0.918,8.98702736387019e-06,"N8","RASA1"
4.1330085656885e-10,0.875286673122928,0.424,0.274,9.12692281560992e-06,"N8","ST5"
5.51223318076512e-10,0.923321813890106,0.542,0.416,1.21726645330836e-05,"N8","PRKCZ"
5.56375717674408e-10,0.902039400728613,0.306,0.166,1.2286444973404e-05,"N8","STK40"
6.32192067877636e-10,1.09468447867101,0.262,0.135,1.39606974349418e-05,"N8","GDPD5"
7.17447315419221e-10,0.7359770389187,0.335,0.19,1.58433890664026e-05,"N8","NAA11"
8.81352615187512e-10,1.13251655219675,0.327,0.188,1.94629098011858e-05,"N8","KLRD1"
9.68617689552727e-10,0.946356668817759,0.335,0.199,2.13899844383929e-05,"N8","PSG6"
9.7661231715734e-10,0.664184265005705,0.432,0.272,2.15665297997855e-05,"N8","CECR2"
1.02745900977168e-09,1.24935675889204,0.262,0.137,2.2689377312788e-05,"N8","KMO"
