"week","niche_cluster","celltype","n_cells","frac"
8,"N1","FIB1",1,0.111111111111111
8,"N1","FIB2",3,0.333333333333333
8,"N1","Hofbauer cells",1,0.111111111111111
8,"N1","STB",2,0.222222222222222
8,"N1","vCTB",2,0.222222222222222
8,"N2","Hofbauer cells",1,0.333333333333333
8,"N2","STB",1,0.333333333333333
8,"N2","vCTB",1,0.333333333333333
8,"N3","EVT",3,0.014018691588785
8,"N3","EVT-progenitor",2,0.00934579439252336
8,"N3","EVT3",4,0.0186915887850467
8,"N3","Endothelial",7,0.0327102803738318
8,"N3","Erythroblasts",1,0.00467289719626168
8,"N3","FIB1",11,0.0514018691588785
8,"N3","FIB2",32,0.149532710280374
8,"N3","Hofbauer cells",14,0.0654205607476635
8,"N3","STB",73,0.341121495327103
8,"N3","STB-progenitor",9,0.0420560747663551
8,"N3","vCTB",55,0.257009345794392
8,"N3","vCTB1",3,0.014018691588785
8,"N4","EVT",4,0.0526315789473684
8,"N4","Endothelial",2,0.0263157894736842
8,"N4","Erythroblasts",1,0.0131578947368421
8,"N4","FIB1",6,0.0789473684210526
8,"N4","FIB2",14,0.184210526315789
8,"N4","Hofbauer cells",6,0.0789473684210526
8,"N4","STB",19,0.25
8,"N4","STB-progenitor",2,0.0263157894736842
8,"N4","vCTB",20,0.263157894736842
8,"N4","vCTB1",1,0.0131578947368421
8,"N4","vCTB2",1,0.0131578947368421
8,"N5","EVT",9,0.0347490347490347
8,"N5","EVT-progenitor",3,0.0115830115830116
8,"N5","Endothelial",12,0.0463320463320463
8,"N5","Erythroblasts",2,0.00772200772200772
8,"N5","FIB1",6,0.0231660231660232
8,"N5","FIB2",40,0.154440154440154
8,"N5","Hofbauer cells",30,0.115830115830116
8,"N5","STB",68,0.262548262548263
8,"N5","STB-progenitor",6,0.0231660231660232
8,"N5","vCTB",81,0.312741312741313
8,"N5","vCTB1",2,0.00772200772200772
8,"N7","EVT",31,0.418918918918919
8,"N7","EVT-progenitor",15,0.202702702702703
8,"N7","EVT3",1,0.0135135135135135
8,"N7","Erythroblasts",1,0.0135135135135135
8,"N7","FIB2",5,0.0675675675675676
8,"N7","Hofbauer cells",3,0.0405405405405405
8,"N7","STB",5,0.0675675675675676
8,"N7","STB-progenitor",1,0.0135135135135135
8,"N7","vCTB",12,0.162162162162162
8,"N8","EVT",3,0.0128755364806867
8,"N8","EVT-progenitor",1,0.00429184549356223
8,"N8","EVT3",1,0.00429184549356223
8,"N8","Endothelial",7,0.0300429184549356
8,"N8","Erythroblasts",1,0.00429184549356223
8,"N8","FIB1",3,0.0128755364806867
8,"N8","FIB2",40,0.171673819742489
8,"N8","Hofbauer cells",22,0.0944206008583691
8,"N8","STB",94,0.40343347639485
8,"N8","STB-progenitor",9,0.0386266094420601
8,"N8","vCTB",47,0.201716738197425
8,"N8","vCTB1",4,0.0171673819742489
8,"N8","vCTB2",1,0.00429184549356223
9,"N1","FIB2",2,0.4
9,"N1","STB",1,0.2
9,"N1","vCTB",1,0.2
9,"N1","vCTBp",1,0.2
9,"N2","Endothelial",1,0.333333333333333
9,"N2","FIB1",1,0.333333333333333
9,"N2","vCTB",1,0.333333333333333
9,"N3","Endothelial",5,0.0403225806451613
9,"N3","Erythroblasts",7,0.0564516129032258
9,"N3","FIB1",11,0.0887096774193548
9,"N3","FIB2",20,0.161290322580645
9,"N3","Hofbauer cells",6,0.0483870967741935
9,"N3","STB",13,0.104838709677419
9,"N3","STB-progenitor",6,0.0483870967741935
9,"N3","vCTB",56,0.451612903225806
9,"N4","EVT",2,0.0408163265306122
9,"N4","Endothelial",5,0.102040816326531
9,"N4","Erythroblasts",1,0.0204081632653061
9,"N4","FIB1",4,0.0816326530612245
