"week","niche_cluster","std_resid","dataset"
"8","N1",-5.60097242915226,"Slide-tags"
"9","N1",-3.04262073496881,"Slide-tags"
"11","N1",8.57681591155158,"Slide-tags"
"8","N2",-6.07123022179223,"Slide-tags"
"9","N2",-3.00211804418489,"Slide-tags"
"11","N2",9.038220411248,"Slide-tags"
"8","N3",5.34671862199052,"Slide-tags"
"9","N3",6.10287450860218,"Slide-tags"
"11","N3",-10.9832315534623,"Slide-tags"
"8","N4",-8.64488225840213,"Slide-tags"
"9","N4",-3.14886503383726,"Slide-tags"
"11","N4",11.8854556949024,"Slide-tags"
"8","N5",1.27520375137704,"Slide-tags"
"9","N5",0.968455235865348,"Slide-tags"
"11","N5",-2.19374675766044,"Slide-tags"
"8","N6",-7.26015567446729,"Slide-tags"
"9","N6",-1.06992551727535,"Slide-tags"
"11","N6",8.60530748051411,"Slide-tags"
"8","N7",4.91472227962857,"Slide-tags"
"9","N7",-2.05500121438544,"Slide-tags"
"11","N7",-3.39589387402819,"Slide-tags"
"8","N8",6.95717769933834,"Slide-tags"
"9","N8",0.189127482284927,"Slide-tags"
"11","N8",-7.51530137449233,"Slide-tags"
