"week","niche_cluster","fraction","dataset"
"8","N1",0.01036866359447,"Slide-tags"
"9","N1",0.0120192307692308,"Slide-tags"
"11","N1",0.0892018779342723,"Slide-tags"
"8","N2",0.00345622119815668,"Slide-tags"
"9","N2",0.00721153846153846,"Slide-tags"
"11","N2",0.0782472613458529,"Slide-tags"
"8","N3",0.246543778801843,"Slide-tags"
"9","N3",0.298076923076923,"Slide-tags"
"11","N3",0.05320813771518,"Slide-tags"
"8","N4",0.0875576036866359,"Slide-tags"
"9","N4",0.117788461538462,"Slide-tags"
"11","N4",0.312989045383412,"Slide-tags"
"8","N5",0.298387096774194,"Slide-tags"
"9","N5",0.302884615384615,"Slide-tags"
"11","N5",0.251956181533646,"Slide-tags"
"8","N6",0,"Slide-tags"
"9","N6",0.0240384615384615,"Slide-tags"
"11","N6",0.081377151799687,"Slide-tags"
"8","N7",0.0852534562211982,"Slide-tags"
"9","N7",0.0360576923076923,"Slide-tags"
"11","N7",0.0312989045383412,"Slide-tags"
"8","N8",0.268433179723502,"Slide-tags"
"9","N8",0.201923076923077,"Slide-tags"
"11","N8",0.101721439749609,"Slide-tags"
