"from","to","n_obs","median_z","median_obs_over_exp","median_obs_minus_exp","frac_significant"
"FIB2","FIB1",12,0.807757484144442,1.07067449823256,7.30250000000001,0.166666666666667
"EVT3","FIB1",8,-0.349764988762531,0.857736437727174,-0.38,0.125
"Hofbauer cells","FIB1",12,1.25178190833045,1.16084255953415,7.1825,0.0833333333333333
"EVT-progenitor","FIB1",12,1.05254628560028,1.20864884880414,3.295,0.0833333333333333
"FIB2","STB",12,0.899228487372802,1.02945378682067,21.51,0.0833333333333333
"vCTB","STB",12,0.749800125672375,1.036033760129,9.0925,0.0833333333333333
"Hofbauer cells","STB",12,0.683636676655778,1.04890156326882,10.6625,0.0833333333333333
"STB","FIB1",12,0.494901152583222,1.04356033453121,4.89249999999999,0.0833333333333333
"FIB2","vCTB",12,0.327282603446407,1.00943917186836,9.47749999999999,0.0833333333333333
"FIB1","STB",12,0.219559653663655,1.0189644754569,1.8025,0.0833333333333333
"vCTB","FIB2",12,0.179284547682439,1.00698896167244,5.19999999999999,0.0833333333333333
"vCTB","FIB1",12,0.176360512760282,1.01216863699236,2.85499999999999,0.0833333333333333
"FIB2","FIB2",12,-0.0548625983770964,0.996202218796491,-0.632500000000022,0.0833333333333333
"Hofbauer cells","Hofbauer cells",12,-0.436391190251069,0.948385962969262,-3.45,0.0833333333333333
"STB","Hofbauer cells",12,-0.4904259963028,0.973850980224373,-10.705,0.0833333333333333
"FIB2","Hofbauer cells",12,-0.60075005384025,0.947875356199635,-6.91250000000001,0.0833333333333333
"Endothelial","vCTB2",4,1.35957816468673,2.58487654008714,1.31,0
"vCTBp","Endothelial",4,1.14454654989005,2.03680727697019,1.255,0
"vCTB1","STB-progenitor",4,0.943078776752918,1.29451868568412,2.4,0
"vCTB1","FIB1",4,0.790756045927356,1.28278362664347,1.285,0
"FIB2","vCTB2",4,0.747637426343379,1.32602107846459,1.8225,0
"Endothelial","Endothelial",12,0.739524847723509,1.18829468273508,2.6075,0
"STB-progenitor","vCTB1",4,0.710906359880303,1.33219065647296,1.4575,0
"EVT","STB",8,0.68284613637968,1.06747408493933,2.7225,0
"vCTB2","FIB1",4,0.68097084250022,1.64022842497463,0.7075,0
"vCTBp","EVT",4,0.674057206466187,1.999999992,0.3475,0
"Endothelial","STB",12,0.607632828672559,1.1025209045576,2.035,0
"Endothelial","FIB1",12,0.606306517714613,1.17904765250558,2.1,0
"vCTBp","STB",4,0.599811396843675,1.5808363685553,0.5775,0
"FIB1","FIB1",12,0.593209916979529,1.123411979378,2.18,0
"vCTB1","STB",4,0.56024403271448,1.055414174261,4.4325,0
"EVT","vCTBp",4,0.507613110152028,2.12765956541421,0.2475,0
"STB","STB",12,0.495488979997031,1.02968912041472,15.5175,0
"vCTB2","EVT",4,0.479582998157471,1.33203927132956,0.5925,0
"EVT-progenitor","vCTB1",4,0.463640557629335,1.22984763161396,0.8825,0
"STB","vCTB2",4,0.462106336508673,1.15538279587174,1.885,0
"vCTBp","FIB2",4,0.45475549433982,1.11900658242149,1.0775,0
"vCTB1","EVT-progenitor",4,0.430238943216926,1.18567118041071,0.845,0
"STB-progenitor","vCTBp",4,0.393628702620114,1.48712558885069,0.2925,0
"Endothelial","vCTB",12,0.368047446948572,1.02959314153117,2.6175,0
"STB","Endothelial",12,0.367085850040659,1.07123343925546,2.1725,0
"Erythroblasts","STB",12,0.336492463883665,1.05619394830895,1.3875,0
"EVT","FIB2",8,0.315372245504999,1.06430959484298,1.50500000000001,0
"FIB1","Endothelial",12,0.313346176483041,1.11555595215067,0.6125,0
"EVT","FIB1",8,0.309132282515179,1.07610988132834,0.7225,0
"vCTB2","EVT-progenitor",4,0.305986789691851,1.18002544455692,0.245,0
"STB-progenitor","Hofbauer cells",12,0.302463127088864,1.04567607564481,1.0675,0
"Hofbauer cells","vCTB2",4,0.285693383236539,1.02626827389086,1.125,0
"EVT-progenitor","EVT",8,0.277618389158281,1.27191955045565,0.424999999999999,0
"EVT-progenitor","STB",12,0.267691861559102,1.03800421411278,2.5275,0
"Hofbauer cells","vCTBp",4,0.252238755605702,1.17901605902247,0.3625,0
"vCTB","Endothelial",12,0.227036231672025,1.02126065002405,2.08,0
"Hofbauer cells","vCTB",12,0.219769400858759,1.01084847341929,3.92249999999999,0
"FIB1","EVT",8,0.205871843652363,1.04050436839198,0.7825,0
"vCTB","vCTB2",4,0.188208629213949,1.06966275047193,0.7025,0
"EVT3","Hofbauer cells",8,0.158126196333202,1.07157796252184,0.48,0
"Erythroblasts","vCTB1",4,0.144311039212791,1.11566908977085,0.17,0
"vCTB","STB-progenitor",12,0.142045941293792,1.0136086207519,0.977500000000002,0
"FIB2","vCTBp",4,0.12705410312136,1.02669322055357,1.095,0
"STB-progenitor","vCTB",12,0.12290027376091,1.05756335070773,0.585,0
"Erythroblasts","FIB1",12,0.121383545624387,1.03013494889527,0.36,0
"Erythroblasts","EVT",8,0.114902580119579,1.03286174675637,0.4025,0
"EVT","vCTB",8,0.109550322770534,1.01362797556049,-0.0325000000000024,0
"EVT-progenitor","vCTB",12,0.104751060226397,1.01665552557304,0.309999999999993,0
"STB-progenitor","FIB1",12,0.0926980006531638,0.998410960116972,0.4775,0
"EVT3","vCTB",8,0.0762746925836356,1.02515540716517,0.14,0
"FIB2","vCTB1",4,0.0574266080665539,1.00083968260737,0.35,0
"Hofbauer cells","Endothelial",12,0.0448577963836877,1.01076547459331,0.454999999999998,0
"EVT","Erythroblasts",8,0.0425602076286649,1.02990150271236,0.0474999999999999,0
"vCTB1","vCTB",4,0.0393427976979542,1.01916580624123,-0.327499999999999,0
"vCTB2","vCTB",4,0.0203096118636589,1.00050922245532,0.162500000000001,0
"Erythroblasts","vCTB",12,0.0188862182323784,0.998284553189189,0.1775,0
"FIB2","Endothelial",12,0.0115194991741915,1.00110468158791,0.174999999999997,0
"STB-progenitor","STB",12,-0.0183260821773136,0.9939643631812,-0.0249999999999897,0
"STB-progenitor","vCTB2",4,-0.0196924689206635,1.03316326435828,-0.125,0
"Erythroblasts","Hofbauer cells",12,-0.0285679206253138,0.986671422938768,0.0324999999999989,0
"FIB1","vCTB",12,-0.0533041185190265,0.995613408063802,-0.294999999999995,0
"STB","vCTB",12,-0.0587552843239774,0.998426724166306,-1.85250000000008,0
"STB-progenitor","Erythroblasts",12,-0.062288162283631,1.05147927218671,-0.015,0
"vCTB2","STB",4,-0.0766210823206602,0.955007194709932,0.00250000000000039,0
"FIB1","Hofbauer cells",12,-0.0793980146319335,0.993602124074328,-0.562500000000002,0
"FIB1","STB-progenitor",12,-0.0934112357128228,0.987985669756839,-0.140000000000001,0
"EVT-progenitor","Endothelial",12,-0.0942542222231157,0.969858771666651,-0.389999999999999,0
"EVT","STB-progenitor",8,-0.096034303539061,0.953729730925123,-0.2025,0
"EVT3","STB",8,-0.109078567619513,1.03123160776863,-0.49,0
"EVT","Endothelial",8,-0.114668343505236,0.968522767512636,-0.215,0
"vCTB2","STB-progenitor",4,-0.117071976452773,0.927261074143548,-0.1475,0
"EVT3","FIB2",8,-0.127114932624705,0.980755342421637,-0.165,0
"Erythroblasts","EVT3",8,-0.131549130718758,0.91130239429714,-0.0575,0
"Endothelial","vCTBp",4,-0.136708485479798,0.887288386456327,-0.195,0
"Endothelial","vCTB1",4,-0.143121290673133,0.953549956148593,-0.5,0
"vCTB","vCTB",12,-0.16313126549686,0.995551694824495,-2.84000000000002,0
"STB-progenitor","STB-progenitor",12,-0.185239337787854,0.793483006365448,-0.0525,0
"STB","EVT-progenitor",12,-0.192836164668827,0.979537600769168,-0.982499999999999,0
"Erythroblasts","FIB2",12,-0.194237058122561,0.971460496078641,-0.897500000000002,0
"STB-progenitor","EVT",8,-0.195127416590193,0.944590530065078,-0.955,0
"EVT","EVT3",8,-0.198614111392152,0.850652353435709,-0.0875000000000001,0
