"week","from","to","n_k_tested","n_k_sig","median_z","robust_fraction"
8,"Endothelial","Endothelial",4,0,0.493565433765715,0
8,"Endothelial","Erythroblasts",4,0,0.334037666024462,0
8,"Endothelial","EVT",4,0,-0.540372496533907,0
8,"Endothelial","EVT-progenitor",4,0,0.0239196877479743,0
8,"Endothelial","EVT3",4,0,-0.218615950336731,0
8,"Endothelial","FIB1",4,0,0.606306517714613,0
8,"Endothelial","FIB2",4,0,-0.644897479832027,0
8,"Endothelial","Hofbauer cells",4,0,-0.341740019374852,0
8,"Endothelial","STB",4,0,0.406006110116673,0
8,"Endothelial","STB-progenitor",4,0,-0.470653717565584,0
8,"Endothelial","vCTB",4,0,0.698894948029158,0
8,"Endothelial","vCTB1",4,0,-0.143121290673133,0
8,"Endothelial","vCTB2",4,0,1.35957816468673,0
8,"Erythroblasts","Endothelial",4,0,-0.468303239654988,0
8,"Erythroblasts","Erythroblasts",4,0,-0.150005002417948,0
8,"Erythroblasts","EVT",4,0,0.366959749915338,0
8,"Erythroblasts","EVT-progenitor",4,0,-0.769140466587166,0
8,"Erythroblasts","EVT3",4,0,-0.0818449447280239,0
8,"Erythroblasts","FIB1",4,0,-0.43302223427232,0
8,"Erythroblasts","FIB2",4,0,-0.070687158634243,0
8,"Erythroblasts","Hofbauer cells",4,0,0.506102286597451,0
8,"Erythroblasts","STB",4,0,-0.133547422437606,0
8,"Erythroblasts","STB-progenitor",4,0,1.03094851427216,0
8,"Erythroblasts","vCTB",4,0,-0.251790404542639,0
8,"Erythroblasts","vCTB1",4,0,0.144311039212791,0
8,"Erythroblasts","vCTB2",4,0,-0.362914690255459,0
8,"EVT","Endothelial",4,0,-0.322585792364712,0
8,"EVT","Erythroblasts",4,0,0.0425602076286649,0
8,"EVT","EVT",4,0,-0.669963220852119,0
8,"EVT","EVT-progenitor",4,0,-1.0140022643766,0
8,"EVT","EVT3",4,0,0.124283799904884,0
8,"EVT","FIB1",4,0,0.701152556994785,0
8,"EVT","FIB2",4,0,-0.0715588185283239,0
8,"EVT","Hofbauer cells",4,0,-0.211348237059633,0
8,"EVT","STB",4,0,0.68284613637968,0
8,"EVT","STB-progenitor",4,0,0.18381388516609,0
8,"EVT","vCTB",4,0,0.31037370395855,0
8,"EVT","vCTB1",4,0,-0.854045761371045,0
8,"EVT","vCTB2",4,0,-0.506824907561541,0
8,"EVT-progenitor","Endothelial",4,0,0.560222453594031,0
8,"EVT-progenitor","Erythroblasts",4,0,-0.74889208222113,0
8,"EVT-progenitor","EVT",4,0,-0.428699329399855,0
8,"EVT-progenitor","EVT-progenitor",4,0,-0.58278510578629,0
8,"EVT-progenitor","EVT3",4,0,-0.971337024863327,0
8,"EVT-progenitor","FIB1",4,0,0.275540501391528,0
8,"EVT-progenitor","FIB2",4,0,-0.921230837384385,0
8,"EVT-progenitor","Hofbauer cells",4,0,0.134250766804818,0
8,"EVT-progenitor","STB",4,0,0.854151368113684,0
8,"EVT-progenitor","STB-progenitor",4,0,0.393406224077567,0
8,"EVT-progenitor","vCTB",4,0,-0.0234823366594124,0
8,"EVT-progenitor","vCTB1",4,0,0.463640557629335,0
8,"EVT-progenitor","vCTB2",4,0,-0.725856121124983,0
8,"EVT3","Endothelial",4,0,-0.891929434941109,0
8,"EVT3","Erythroblasts",4,0,-0.0654267481710015,0
8,"EVT3","EVT",4,0,-0.0992779172521199,0
8,"EVT3","EVT-progenitor",4,0,0.100034364002714,0
8,"EVT3","EVT3",4,0,-0.254583397017734,0
8,"EVT3","FIB1",4,0,-0.467215850053582,0
8,"EVT3","FIB2",4,0,-0.0490412124585299,0
8,"EVT3","Hofbauer cells",4,0,-0.0258493303763996,0
8,"EVT3","STB",4,0,0.185419718512666,0
8,"EVT3","STB-progenitor",4,0,-0.234522449307879,0
8,"EVT3","vCTB",4,0,0.118939029844483,0
8,"EVT3","vCTB1",4,0,-0.693521496794482,0
8,"EVT3","vCTB2",4,0,-0.377824704288726,0
8,"FIB1","Endothelial",4,0,0.946130715868083,0
8,"FIB1","Erythroblasts",4,0,-0.874442881310892,0
8,"FIB1","EVT",4,0,-0.145215014932664,0
8,"FIB1","EVT-progenitor",4,0,0.173102588992475,0
8,"FIB1","EVT3",4,0,-0.763912795207873,0
8,"FIB1","FIB1",4,0,0.593209916979529,0
8,"FIB1","FIB2",4,0,0.137673773473476,0
8,"FIB1","Hofbauer cells",4,0,-0.36589569311378,0
