"from","to","z","observed","expected","sd_null","week","k","scope","density_bin","obs_minus_exp","obs_over_exp","log2_obs_over_exp","p_adj","significant"
"Endothelial","Endothelial",-0.492221961903213,6,7.375,2.79345520096511,8,8,"global",NA,-1.375,0.813559321923585,-0.297680547062992,0.957033259980545,FALSE
"Erythroblasts","Endothelial",-0.522925828383023,1,1.64,1.22388293853464,8,8,"global",NA,-0.64,0.609756097189173,-0.713695813357031,0.957033259980545,FALSE
"EVT","Endothelial",-1.98794675401048,6,13.04,3.54134233414933,8,8,"global",NA,-7.04,0.460122699351218,-1.11990946071038,0.741296882318485,FALSE
"EVT-progenitor","Endothelial",-0.547343070224805,4,5.265,2.31116473061967,8,8,"global",NA,-1.265,0.759734092923127,-0.396433529626061,0.957033259980545,FALSE
"EVT3","Endothelial",-0.47705724208054,1,1.59,1.23674885837565,8,8,"global",NA,-0.59,0.628930817214509,-0.669026764123101,0.958376821148028,FALSE
"FIB1","Endothelial",0.768318203374407,9,7.08,2.49896460971399,8,8,"global",NA,1.92,1.27118644049842,0.346175642065189,0.950564520969266,FALSE
"FIB2","Endothelial",0.604448710582955,38,34.42,5.92275231415888,8,8,"global",NA,3.58,1.10400929688832,0.142752322442971,0.953084748043287,FALSE
"Hofbauer cells","Endothelial",-1.15519408011928,15,19.975,4.30663564197899,8,8,"global",NA,-4.975,0.750938673304083,-0.413233000583132,0.950564520969266,FALSE
"STB","Endothelial",1.09932855690828,77,68.325,7.89118043408057,8,8,"global",NA,8.675,1.12696670324,0.172444892318099,0.950564520969266,FALSE
"STB-progenitor","Endothelial",2.29119946223886,13,7.07,2.58816401428196,8,8,"global",NA,5.93,1.83875530384176,0.878729503686963,0.596751966964596,FALSE
"vCTB","Endothelial",2.10165507796414,72,56.785,7.23953238446577,8,8,"global",NA,15.215,1.26794047721638,0.342487021662184,0.702136752563323,FALSE
"vCTB1","Endothelial",-0.985542596171679,1,2.705,1.73001147351469,8,8,"global",NA,-1.705,0.369685766961299,-1.43562859068294,0.950564520969266,FALSE
"vCTB2","Endothelial",0.734355481374661,1,0.49,0.694486542554242,8,8,"global",NA,0.51,2.04081632236568,1.02914634342216,0.950564520969266,FALSE
"Endothelial","Erythroblasts",-0.593739575651938,1,1.735,1.23791646968996,8,8,"global",NA,-0.735,0.57636887574849,-0.794935661131985,0.953084748043287,FALSE
"Erythroblasts","Erythroblasts",-0.58337375382509,0,0.305,0.522820914408283,8,8,"global",NA,-0.305,0,-29.8973528539863,0.953084748043287,FALSE
"EVT","Erythroblasts",0.15259350764392,3,2.755,1.60557289513994,8,8,"global",NA,0.245,1.08892921920547,0.122910182725934,0.978861267221174,FALSE
"EVT-progenitor","Erythroblasts",-1.10386343842175,0,1.3,1.17768190669927,8,8,"global",NA,-1.3,0,-29.8973528539863,0.950564520969266,FALSE
"EVT3","Erythroblasts",-0.572935953256037,0,0.305,0.532345714549291,8,8,"global",NA,-0.305,0,-29.8973528539863,0.953961601366213,FALSE
"FIB1","Erythroblasts",-0.446032980069083,1,1.54,1.21067280601163,8,8,"global",NA,-0.54,0.649350648928993,-0.622930349635241,0.958376821148028,FALSE
"FIB2","Erythroblasts",-1.14706879577138,4,7.25,2.83330870025749,8,8,"global",NA,-3.25,0.551724137854935,-0.85798099271168,0.950564520969266,FALSE
"Hofbauer cells","Erythroblasts",-0.576827510638557,3,4.255,2.17569373214164,8,8,"global",NA,-1.255,0.705052878800223,-0.504196629482918,0.953961601366213,FALSE
"STB","Erythroblasts",-0.961443709500187,11,14.605,3.74956948952595,8,8,"global",NA,-3.605,0.753166723673183,-0.408958832600432,0.950564520969266,FALSE
"STB-progenitor","Erythroblasts",-0.416161093374256,1,1.47,1.12937034976781,8,8,"global",NA,-0.47,0.680272108380767,-0.555816153922303,0.958376821148028,FALSE
"vCTB","Erythroblasts",-0.8584271561226,9,12.055,3.55883429054201,8,8,"global",NA,-3.055,0.74657818326449,-0.421634742572755,0.950564520969266,FALSE
"vCTB1","Erythroblasts",-0.897910110386979,0,0.615,0.684923793582232,8,8,"global",NA,-0.615,0,-29.8973528539863,0.950564520969266,FALSE
"vCTB2","Erythroblasts",-0.324815221959707,0,0.105,0.323260711248964,8,8,"global",NA,-0.105,0,-29.8973528539863,0.966838643555523,FALSE
"Endothelial","EVT",-0.189540062683335,12,12.685,3.61401167707162,8,8,"global",NA,-0.685,0.945999211592747,-0.0800891121567419,0.973547708449571,FALSE
"Erythroblasts","EVT",1.98433276078178,6,2.925,1.54963928368757,8,8,"global",NA,3.075,2.05128205058076,1.0365258762352,0.743485638413139,FALSE
"EVT","EVT",1.31195870035367,30,23.98,4.58855907359372,8,8,"global",NA,6.02,1.25104253539403,0.323130843062051,0.950564520969266,FALSE
"EVT-progenitor","EVT",-0.486302957755474,8,9.46,3.00224371706952,8,8,"global",NA,-1.46,0.845665961855638,-0.241840182011189,0.957033259980545,FALSE
"EVT3","EVT",0.694889766447738,4,2.885,1.60457104585806,8,8,"global",NA,1.115,1.38648180194576,0.471428681669719,0.950564520969266,FALSE
"FIB1","EVT",-0.662865405010262,10,12.355,3.5527574399522,8,8,"global",NA,-2.355,0.809388911306403,-0.305095009001018,0.950759106236612,FALSE
"FIB2","EVT",-0.630825639452139,56,60.76,7.54566666551973,8,8,"global",NA,-4.76,0.921658986159946,-0.117695041128175,0.951136289112769,FALSE
"Hofbauer cells","EVT",1.87619929457138,47,35.55,6.10276319325638,8,8,"global",NA,11.45,1.32208157520894,0.402811197996232,0.784892365509388,FALSE
"STB","EVT",1.41092950588037,135,120.27,10.4399262593903,8,8,"global",NA,14.73,1.12247443251748,0.166682585226915,0.950564520969266,FALSE
"STB-progenitor","EVT",0.147076355190998,13,12.485,3.50158255678915,8,8,"global",NA,0.515000000000001,1.04124949931588,0.0583158032575927,0.979747150423313,FALSE
"vCTB","EVT",0.200640763130235,103,100.94,10.2671060838331,8,8,"global",NA,2.06,1.0204081632552,0.0291463470590652,0.973547708449571,FALSE
"vCTB1","EVT",-0.875349685344321,3,4.76,2.01062504344461,8,8,"global",NA,-1.76,0.63025210070793,-0.665999070826074,0.950564520969266,FALSE
"vCTB2","EVT",1.10637029080142,2,0.925,0.971645757149659,8,8,"global",NA,1.075,2.16216215982469,1.11247472836599,0.950564520969266,FALSE
"Endothelial","EVT-progenitor",0.233891914187152,6,5.47,2.26600394292392,8,8,"global",NA,0.53,1.09689213873914,0.133421668754835,0.971980544680092,FALSE
"Erythroblasts","EVT-progenitor",-0.115186823504608,1,1.115,0.998378081675399,8,8,"global",NA,-0.115,0.896860985742726,-0.157043709830872,0.984623218732017,FALSE
"EVT","EVT-progenitor",-2.37610907599382,2,9.525,3.16694215499199,8,8,"global",NA,-7.525,0.209973753258795,-2.25171908588659,0.549380736493452,FALSE
"EVT-progenitor","EVT-progenitor",-1.02035871629218,2,4.02,1.97969593117213,8,8,"global",NA,-2.02,0.497512437687186,-1.00719549886327,0.950564520969266,FALSE
"EVT3","EVT-progenitor",0.805273167125598,2,1.115,1.09900594645878,8,8,"global",NA,0.885,1.79372197148545,0.842956289364826,0.950564520969266,FALSE
"FIB1","EVT-progenitor",0.903242138316289,7,5.05,2.15888953401986,8,8,"global",NA,1.95,1.3861386135869,0.471071534948291,0.950564520969266,FALSE
"FIB2","EVT-progenitor",-0.886018558229408,22,26.22,4.76287991929548,8,8,"global",NA,-4.22,0.83905415709996,-0.253164160145325,0.950564520969266,FALSE
"Hofbauer cells","EVT-progenitor",-1.63072095786988,9,14.615,3.44326230142025,8,8,"global",NA,-5.615,0.615805679054683,-0.699452920344952,0.905483681462799,FALSE
"STB","EVT-progenitor",-0.136695253025262,50,51.01,7.38869841863965,8,8,"global",NA,-1.01,0.980199960772786,-0.0288520044039385,0.980098352160944,FALSE
"STB-progenitor","EVT-progenitor",-1.39309863535718,2,5.2,2.29703763781696,8,8,"global",NA,-3.2,0.38461538454142,-1.37851161978016,0.950564520969266,FALSE
"vCTB","EVT-progenitor",-0.976315146721271,35,40.92,6.06361585078818,8,8,"global",NA,-5.92,0.855327468209792,-0.225451221374177,0.950564520969266,FALSE
"vCTB1","EVT-progenitor",-0.676427929546463,1,1.945,1.39704461930953,8,8,"global",NA,-0.945,0.514138817216381,-0.959770153147171,0.950564520969266,FALSE
"vCTB2","EVT-progenitor",1.29174840519577,1,0.31,0.534159744988172,8,8,"global",NA,0.69,3.22580644120708,1.68965987518123,0.950564520969266,FALSE
"Endothelial","EVT3",0.370294229922156,2,1.555,1.20174705321024,8,8,"global",NA,0.445,1.28617363261339,0.36308541983804,0.961679796905326,FALSE
"Erythroblasts","EVT3",-0.556819264681486,0,0.28,0.502856163935613,8,8,"global",NA,-0.28,0,-29.8973528539863,0.957033259980545,FALSE
"EVT","EVT3",-0.490366614682777,2,2.86,1.75378986611064,8,8,"global",NA,-0.86,0.699300699056189,-0.51601514544505,0.957033259980545,FALSE
"EVT-progenitor","EVT3",-1.07693965831217,0,1.16,1.07712627162516,8,8,"global",NA,-1.16,0,-29.8973528539863,0.950564520969266,FALSE
"EVT3","EVT3",-0.56432849677336,0,0.285,0.505025000625,8,8,"global",NA,-0.285,0,-29.8973528539863,0.957033259980545,FALSE
"FIB1","EVT3",-0.377018377441333,1,1.5,1.32619529853233,8,8,"global",NA,-0.5,0.666666666222222,-0.584962499518911,0.959420229303533,FALSE
"FIB2","EVT3",-0.506898771575224,6,7.455,2.87039559194745,8,8,"global",NA,-1.455,0.8048289737351,-0.313245850188533,0.957033259980545,FALSE
"Hofbauer cells","EVT3",0.746636095596262,6,4.32,2.25009212541716,8,8,"global",NA,1.68,1.38888888856739,0.473931189037195,0.950564520969266,FALSE
"STB","EVT3",-0.721828361266397,12,14.605,3.60889117006691,8,8,"global",NA,-2.605,0.82163642582529,-0.283427950676199,0.950564520969266,FALSE
"STB-progenitor","EVT3",0.405137918916623,2,1.53,1.16009876550604,8,8,"global",NA,0.47,1.30718954162929,0.386468347242797,0.958376821148028,FALSE
"vCTB","EVT3",1.22558514753587,16,11.785,3.439173530496,8,8,"global",NA,4.215,1.357658039766,0.441120147464775,0.950564520969266,FALSE
"vCTB1","EVT3",-0.809307733401081,0,0.56,0.691949398329998,8,8,"global",NA,-0.56,0,-29.8973528539863,0.950564520969266,FALSE
"vCTB2","EVT3",-0.386723691927053,0,0.14,0.362015574778088,8,8,"global",NA,-0.14,0,-29.8973528539863,0.958376821148028,FALSE
"Endothelial","FIB1",0.412193505953733,8,6.995,2.43817523825961,8,8,"global",NA,1.005,1.14367405273143,0.193675943665181,0.958376821148028,FALSE
"Erythroblasts","FIB1",0.500987327091154,2,1.42,1.15771391437509,8,8,"global",NA,0.58,1.40845070323349,0.494109070278374,0.957033259980545,FALSE
"EVT","FIB1",-0.496851121763629,11,12.71,3.44167482893732,8,8,"global",NA,-1.71,0.865460267437808,-0.208460505039477,0.957033259980545,FALSE
"EVT-progenitor","FIB1",0.441403529869227,6,5.015,2.23151817533135,8,8,"global",NA,0.985,1.19641076745834,0.258712800801877,0.958376821148028,FALSE
"EVT3","FIB1",-1.13732141355763,0,1.3,1.14303659754033,8,8,"global",NA,-1.3,0,-29.8973528539863,0.950564520969266,FALSE
"FIB1","FIB1",-0.56808577408648,5,6.51,2.65804930929681,8,8,"global",NA,-1.51,0.768049155027949,-0.380729446846772,0.95571734750882,FALSE
"FIB2","FIB1",1.07693783706526,40,33.6,5.94277569108686,8,8,"global",NA,6.4,1.19047619044076,0.251538768164891,0.950564520969266,FALSE
"Hofbauer cells","FIB1",0.449691956507518,21,19.02,4.40301404305239,8,8,"global",NA,1.98,1.10410094631419,0.14287208292374,0.958376821148028,FALSE
"STB","FIB1",-0.872204004440741,58,65.37,8.4498580167073,8,8,"global",NA,-7.37,0.88725715158502,-0.172575795330819,0.950564520969266,FALSE
