"k","from","to","n_weeks","rho_z","p_z","rho_l2fc","p_l2fc","median_obs_over_exp","median_z","p_adj_z","p_adj_l2fc","trend"
8,"EVT-progenitor","Hofbauer cells",3,-1,0,-0.5,0.666666666666667,1.18851105967722,0.374390052789879,0,0.668730650154799,"decreasing"
15,"STB-progenitor","STB",3,-1,0,-0.5,0.666666666666667,1.14697689659883,1.54964805828404,0,0.668730650154799,"decreasing"
25,"vCTB","STB-progenitor",3,-1,0,0.5,0.666666666666667,1.14068441063961,0.987592862372114,0,0.668730650154799,"decreasing"
15,"Hofbauer cells","Endothelial",3,-1,0,-0.5,0.666666666666667,1.12711333743725,0.47626949541906,0,0.668730650154799,"decreasing"
8,"STB","Endothelial",3,-1,0,-0.5,0.666666666666667,1.12696670324,0.589724507023491,0,0.668730650154799,"decreasing"
25,"STB-progenitor","STB-progenitor",3,-1,0,-1,0,1.06534090901525,0.225012290661388,0,0,"decreasing"
40,"STB","STB-progenitor",3,-1,0,-1,0,1.06017473248139,0.416200818457954,0,0,"decreasing"
8,"Erythroblasts","FIB1",3,-1,0,-1,0,1.0512483572863,0.162122797175689,0,0,"decreasing"
40,"Erythroblasts","FIB2",3,-1,0,-1,0,1.02673039475105,0.329037723132887,0,0,"decreasing"
15,"vCTB","STB",3,-1,0,-0.5,0.666666666666667,1.02077091056724,0.632689527442994,0,0.668730650154799,"decreasing"
15,"FIB1","STB-progenitor",3,-1,0,-1,0,1.01979604073067,0.0784167740744475,0,0,"decreasing"
40,"Erythroblasts","Hofbauer cells",3,-1,0,-1,0,1.01180438445464,0.0588208141694098,0,0,"decreasing"
15,"vCTB","FIB1",3,-1,0,-1,0,1.00710745101625,0.0884938390965236,0,0,"decreasing"
15,"vCTB","Endothelial",3,-1,0,-1,0,1.00407055630255,0.0414684837121509,0,0,"decreasing"
15,"FIB1","FIB2",3,-1,0,-1,0,1.00186622138295,0.0201708586584383,0,0,"decreasing"
25,"EVT-progenitor","FIB1",3,1,0,0.5,0.666666666666667,1.41267408540797,1.80468214785888,0,0.668730650154799,"increasing"
25,"FIB1","FIB1",3,1,0,1,0,1.27399805359154,2.06741998065808,0,0,"increasing"
8,"Erythroblasts","Endothelial",3,1,0,1,0,1.23893805287806,0.570709623498816,0,0,"increasing"
8,"STB-progenitor","EVT-progenitor",3,1,0,1,0,1.22699386352516,0.206218685988265,0,0,"increasing"
8,"Erythroblasts","EVT-progenitor",3,1,0,1,0,1.21951219363474,0.19502422959711,0,0,"increasing"
8,"STB-progenitor","STB",3,1,0,1,0,1.21580547100144,0.724375341648435,0,0,"increasing"
25,"Hofbauer cells","FIB1",3,1,0,0.5,0.666666666666667,1.20055586595837,1.61796282837017,0,0.668730650154799,"increasing"
15,"Hofbauer cells","FIB1",3,1,0,0.5,0.666666666666667,1.17241709335707,2.08596893370365,0,0.668730650154799,"increasing"
15,"EVT-progenitor","FIB1",3,1,0,0.5,0.666666666666667,1.16631153972936,1.03419977711444,0,0.668730650154799,"increasing"
8,"Hofbauer cells","FIB1",3,1,0,0.5,0.666666666666667,1.14926802571123,0.885600988290726,0,0.668730650154799,"increasing"
40,"Endothelial","STB",3,1,0,1,0,1.12940045655257,1.13230841491376,0,0,"increasing"
25,"STB-progenitor","Hofbauer cells",3,1,0,1,0,1.10403397022913,0.518594359985948,0,0,"increasing"
40,"FIB2","STB",3,1,0,1,0,1.0810298231439,1.202389345807,0,0,"increasing"
40,"STB-progenitor","vCTB",3,1,0,1,0,1.06634827181149,1.24496950135236,0,0,"increasing"
8,"Hofbauer cells","STB",3,1,0,1,0,1.0590858416355,0.253724558563697,0,0,"increasing"
40,"Erythroblasts","vCTB",3,1,0,1,0,1.05736678569282,1.10842191930196,0,0,"increasing"
25,"Hofbauer cells","STB",3,1,0,1,0,1.0498687663852,0.351527515166378,0,0,"increasing"
25,"FIB2","FIB1",3,1,0,1,0,1.04832297770224,0.616187033407055,0,0,"increasing"
15,"EVT-progenitor","vCTB",3,1,0,1,0,1.03995621231308,0.218392964868142,0,0,"increasing"
25,"Erythroblasts","STB",3,1,0,1,0,1.03942652326024,0.224021190817686,0,0,"increasing"
25,"Erythroblasts","FIB1",3,1,0,1,0,1.03777501033467,0.193474693366489,0,0,"increasing"
15,"Erythroblasts","FIB1",3,1,0,1,0,1.02249488745586,0.0806442940730842,0,0,"increasing"
40,"vCTB","vCTB",3,1,0,1,0,1.02057185910952,0.985262167645695,0,0,"increasing"
40,"FIB2","vCTB",3,1,0,1,0,1.01937899512505,0.728624422363606,0,0,"increasing"
25,"FIB1","vCTB",3,1,0,1,0,1.01801219723271,0.401912301093818,0,0,"increasing"
40,"Hofbauer cells","vCTB",3,1,0,1,0,1.01110089796834,0.270076362678924,0,0,"increasing"
15,"FIB2","FIB1",3,1,0,1,0,1.0086383382333,0.0866277394935431,0,0,"increasing"
15,"Hofbauer cells","vCTB",3,1,0,1,0,1.00278900691923,0.0455544686061842,0,0,"increasing"
25,"FIB2","vCTB",3,1,0,1,0,1.00148228001509,0.0494485825622368,0,0,"increasing"
