"k","from","to","n_weeks","rho_z","p_z","rho_l2fc","p_l2fc","median_obs_over_exp","median_z","p_adj_z","p_adj_l2fc","trend"
8,"Endothelial","Endothelial",3,0.5,0.666666666666667,-0.5,0.666666666666667,0.813559321923585,-0.465494844761244,0.666666666666667,0.668730650154799,"not_significant"
8,"Endothelial","Erythroblasts",3,-0.5,0.666666666666667,-0.5,0.666666666666667,0.57636887574849,-0.593739575651938,0.666666666666667,0.668730650154799,"not_significant"
8,"Endothelial","EVT",2,NA,NA,NA,NA,0.983203687168719,-0.0798101960875514,NA,NA,"not_significant"
8,"Endothelial","EVT-progenitor",3,0.5,0.666666666666667,0.5,0.666666666666667,1.09689213873914,0.233891914187152,0.666666666666667,0.668730650154799,"not_significant"
8,"Endothelial","EVT3",2,NA,NA,NA,NA,1.2313221097323,0.267388194424628,NA,NA,"not_significant"
8,"Endothelial","FIB1",3,-0.5,0.666666666666667,-0.5,0.666666666666667,1.14367405273143,0.412193505953733,0.666666666666667,0.668730650154799,"not_significant"
8,"Endothelial","FIB2",3,0.5,0.666666666666667,0.5,0.666666666666667,0.799885730587062,-1.15145892293153,0.666666666666667,0.668730650154799,"not_significant"
8,"Endothelial","Hofbauer cells",3,1,0,1,0,0.865119937014147,-0.476046149784419,0,0,"increasing"
8,"Endothelial","STB",3,-0.5,0.666666666666667,0.5,0.666666666666667,1.16915791029793,0.79270055341067,0.666666666666667,0.668730650154799,"not_significant"
8,"Endothelial","STB-progenitor",3,0.5,0.666666666666667,-0.5,0.666666666666667,0.419287211681441,-0.252013169823236,0.666666666666667,0.668730650154799,"not_significant"
8,"Endothelial","vCTB",3,-1,0,-1,0,0.988906497610283,-0.124981576458894,0,0,"decreasing"
8,"Endothelial","vCTB1",1,NA,NA,NA,NA,1.19284294187163,0.302971899234847,NA,NA,"not_significant"
8,"Endothelial","vCTB2",1,NA,NA,NA,NA,2.08333332899306,0.71275602182204,NA,NA,"not_significant"
8,"Endothelial","vCTBp",1,NA,NA,NA,NA,2.27272726756198,0.876239278500909,NA,NA,"not_significant"
8,"Erythroblasts","Endothelial",3,1,0,1,0,1.23893805287806,0.570709623498816,0,0,"increasing"
8,"Erythroblasts","Erythroblasts",3,-1,0,0,1,0,-0.769939197127845,0,1,"decreasing"
