"is_top","label","n_cells","frac"
FALSE,"EVT",35,0.0202312138728324
FALSE,"EVT-progenitor",48,0.0277456647398844
FALSE,"EVT3",3,0.00173410404624277
FALSE,"Endothelial",56,0.0323699421965318
FALSE,"Erythroblasts",33,0.0190751445086705
FALSE,"FIB1",110,0.0635838150289017
FALSE,"FIB2",405,0.234104046242775
FALSE,"Hofbauer cells",163,0.0942196531791907
FALSE,"STB",359,0.207514450867052
FALSE,"STB-progenitor",43,0.0248554913294798
FALSE,"vCTB",462,0.267052023121387
FALSE,"vCTB1",10,0.00578034682080925
FALSE,"vCTB2",2,0.00115606936416185
FALSE,"vCTBp",1,0.000578034682080925
TRUE,"EVT",19,0.0984455958549223
TRUE,"EVT-progenitor",12,0.0621761658031088
TRUE,"EVT3",5,0.0259067357512953
TRUE,"FIB1",1,0.00518134715025907
TRUE,"FIB2",10,0.0518134715025907
TRUE,"Hofbauer cells",107,0.55440414507772
TRUE,"STB",37,0.191709844559585
TRUE,"vCTB",2,0.0103626943005181
