"week","sender_label","receiver_label","lr","mean_lr_score","median_lr_score","n_edges","null_mean","null_sd","z_null","p_empirical","k","p_adj"
8,"EVT-progenitor","EVT3","PGF->FLT1",1.6582952704597,1.6582952704597,1,0.474944723104412,NA,NA,NA,40,NA
11,"STB","EVT3","PGF->FLT1",1.62048003747614,1.62048003747614,2,0.397974804434841,NA,NA,NA,8,NA
9,"EVT-progenitor","STB","PGF->FLT1",1.59018937197589,1.59018937197589,1,0.450842704112947,NA,NA,NA,8,NA
9,"EVT","EVT","PGF->FLT1",1.50973640366332,1.50973640366332,1,0.394803612469005,NA,NA,NA,25,NA
9,"EVT","EVT3","PGF->FLT1",1.482660382001,1.482660382001,1,0.416104007274512,NA,NA,NA,40,NA
9,"EVT","EVT3","PGF->FLT1",1.47168081491981,1.47168081491981,2,0.555633941956412,NA,NA,NA,25,NA
9,"EVT-progenitor","EVT","PGF->FLT1",1.42843877267577,1.42843877267577,1,0.403644974548531,NA,NA,NA,25,NA
9,"STB-progenitor","EVT3","PGF->FLT1",1.41274324805594,1.43218526734654,4,0.48618911092106,NA,NA,NA,40,NA
9,"EVT-progenitor","EVT","PGF->FLT1",1.40587945944843,1.40587945944843,2,0.44769809823998,NA,NA,NA,8,NA
9,"EVT-progenitor","EVT","PGF->FLT1",1.34025999742874,1.34025999742874,1,0.371659313129246,NA,NA,NA,15,NA
9,"EVT-progenitor","EVT3","PGF->FLT1",1.32861934116938,1.32861934116938,1,0.520125021847803,NA,NA,NA,25,NA
9,"EVT-progenitor","EVT-progenitor","PGF->FLT1",1.23893813590732,1.23893813590732,1,0.455363159393709,NA,NA,NA,40,NA
11,"STB","EVT3","PGF->FLT1",1.22624110700275,1.28162897579667,7,0.379645431772063,NA,NA,NA,25,NA
8,"EVT","EVT3","PGF->FLT1",1.20605634005532,1.75018165753572,3,0.546852760706849,NA,NA,NA,15,NA
11,"STB-progenitor","EVT3","PGF->FLT1",1.15423241647221,1.15423241647221,2,0.440145348775222,NA,NA,NA,15,NA
8,"EVT3","EVT3","PGF->FLT1",1.14057087715888,1.14057087715888,2,0.197259185274149,NA,NA,NA,40,NA
8,"EVT","EVT3","PGF->FLT1",1.12092029321487,1.26366372503505,3,0.428837568578113,NA,NA,NA,8,NA
9,"STB-progenitor","vCTB1","PGF->FLT1",1.07878524397173,1.07878524397173,1,0.382620718175417,NA,NA,NA,8,NA
9,"STB-progenitor","EVT","PGF->FLT1",1.07722775617657,1.29078113498224,13,0.454477725701497,NA,NA,NA,40,NA
8,"EVT3","EVT","PGF->FLT1",1.06711817616481,1.06711817616481,1,0.1890639543462,NA,NA,NA,15,NA
8,"EVT-progenitor","EVT3","PGF->FLT1",1.04552587913021,1.2192041049788,3,0.422037990981432,NA,NA,NA,15,NA
8,"EVT","EVT3","PGF->FLT1",1.0371335593184,1.02683585714776,10,0.454690010887242,NA,NA,NA,40,NA
9,"STB-progenitor","EVT3","PGF->FLT1",1.03689698019065,0.891035799701287,3,0.488951983787968,NA,NA,NA,15,NA
11,"STB","EVT3","PGF->FLT1",1.01968495804442,1.25430589717,11,0.390136982077028,NA,NA,NA,15,NA
11,"STB-progenitor","FIB1","PGF->FLT1",0.99605553303994,0.99605553303994,1,0.493613306010621,NA,NA,NA,15,NA
8,"EVT3","STB-progenitor","PGF->FLT1",0.99605553303994,0.99605553303994,1,0.24259508903799,NA,NA,NA,25,NA
9,"STB-progenitor","FIB1","PGF->FLT1",0.980100659256199,0.925439930377066,7,0.432795230355834,NA,NA,NA,15,NA
8,"EVT3","Endothelial","TGFB1->TGFBR2",0.978240450723965,0.978240450723965,1,0.234557240589512,NA,NA,NA,25,NA
8,"EVT","EVT","PGF->FLT1",0.977066930879527,1.12346679495446,9,0.439055034752459,NA,NA,NA,8,NA
11,"STB-progenitor","EVT","PGF->FLT1",0.957524900712141,0.957524900712141,1,0.376815907323215,NA,NA,NA,25,NA
11,"STB","EVT","PGF->FLT1",0.952473442593325,1.12346679495446,43,0.427704098905303,NA,NA,NA,15,NA
11,"STB-progenitor","EVT","PGF->FLT1",0.942273270741412,0.942273270741412,1,0.278742886315612,NA,NA,NA,40,NA
11,"STB-progenitor","FIB1","PGF->FLT1",0.925439930377066,0.925439930377066,1,0.411334216559107,NA,NA,NA,25,NA
9,"EVT-progenitor","vCTB1","PGF->FLT1",0.919939639231675,0.919939639231675,1,0.419691199303177,NA,NA,NA,40,NA
8,"STB-progenitor","EVT3","PGF->FLT1",0.910445611350383,0.910445611350383,1,0.3588302089899,NA,NA,NA,40,NA
9,"STB","vCTB1","PGF->FLT1",0.908284578152684,1.11919975583548,4,0.289790322348763,NA,NA,NA,40,NA
8,"EVT-progenitor","EVT","PGF->FLT1",0.903725885368507,1.12477459204547,16,0.434398049780718,NA,NA,NA,40,NA
11,"STB","vCTB1","PGF->FLT1",0.902219594765804,1.11478622721552,5,0.449813694516461,NA,NA,NA,8,NA
9,"EVT","EVT3","TGFB1->TGFBR2",0.89293946358117,0.89293946358117,2,0.156797123094921,NA,NA,NA,25,NA
9,"EVT","FIB1","PGF->FLT1",0.886728947560561,0.800888135073242,3,0.405494508862763,NA,NA,NA,25,NA
11,"STB","EVT3","PGF->FLT1",0.870314673749415,1.25430589717,15,0.397958144848433,NA,NA,NA,40,NA
9,"STB-progenitor","EVT","PGF->FLT1",0.846275785015048,0.894427418417061,7,0.434332508175412,NA,NA,NA,15,NA
8,"EVT","EVT3","PGF->FLT1",0.835756541141144,0.741330191000501,4,0.453953957043911,NA,NA,NA,25,NA
8,"EVT-progenitor","EVT","PGF->FLT1",0.83565667833153,1.12348702468584,8,0.433968556404426,NA,NA,NA,25,NA
8,"EVT-progenitor","vCTB1","PGF->FLT1",0.834199552088436,0.834199552088436,1,0.378218689798866,NA,NA,NA,8,NA
8,"EVT3","Endothelial","TGFB1->TGFBR2",0.833749243554666,0.833749243554666,1,0.170600105593808,NA,NA,NA,15,NA
8,"EVT","vCTB2","PGF->FLT1",0.833749243554666,0.833749243554666,1,0.53603897530139,NA,NA,NA,25,NA
9,"EVT3","Endothelial","TGFB1->TGFBR2",0.829127724550409,0.800888135073242,3,0.292494452306689,NA,NA,NA,25,NA
9,"EVT-progenitor","EVT3","PGF->FLT1",0.825764627820159,0.825764627820159,2,0.491403268559124,NA,NA,NA,40,NA
11,"STB","EVT","PGF->FLT1",0.812092134138144,1.01510056889244,18,0.423176776335037,NA,NA,NA,8,NA
8,"EVT-progenitor","vCTB1","PGF->FLT1",0.800888135073242,0.800888135073242,1,0.486303179437021,NA,NA,NA,15,NA
8,"STB","EVT3","PGF->FLT1",0.797692996770502,0.942273270741412,10,0.281964668064106,NA,NA,NA,8,NA
8,"EVT-progenitor","EVT3","PGF->FLT1",0.796804434973561,1.20478954491536,5,0.473086056930285,NA,NA,NA,25,NA
8,"EVT-progenitor","FIB1","PGF->FLT1",0.793427098111427,1.01088607530189,7,0.39297479771418,NA,NA,NA,8,NA
8,"EVT","EVT","PGF->FLT1",0.792507286190795,0.89293946358117,27,0.494278351704301,NA,NA,NA,15,NA
9,"STB","EVT","PGF->FLT1",0.789658148549503,1.03626637009645,13,0.308415642532596,NA,NA,NA,15,NA
9,"EVT-progenitor","STB","PGF->FLT1",0.788571323601875,0.710983935506498,15,0.448659514978264,NA,NA,NA,25,NA
8,"EVT","EVT","PGF->FLT1",0.77862929248238,0.896151810774753,42,0.469196765425272,NA,NA,NA,40,NA
9,"EVT-progenitor","EVT-progenitor","PGF->FLT1",0.775945508201712,0.775945508201712,2,0.467686210499348,NA,NA,NA,25,NA
11,"STB-progenitor","FIB2","PGF->FLT1",0.772366589530582,0.772366589530582,2,0.461207558851468,NA,NA,NA,8,NA
8,"EVT","FIB1","PGF->FLT1",0.769528290393775,0.870222980799714,52,0.503707759719996,NA,NA,NA,15,NA
8,"EVT-progenitor","FIB1","PGF->FLT1",0.764842247660035,0.919939639231675,33,0.449525687650968,NA,NA,NA,25,NA
9,"EVT","EVT3","PGF->FLT1",0.729445274234889,0.729445274234889,1,0.199729743361458,NA,NA,NA,8,NA
9,"STB-progenitor","FIB1","PGF->FLT1",0.728110162490307,0.702482435764534,26,0.460713976995291,NA,NA,NA,25,NA
8,"STB-progenitor","EVT","PGF->FLT1",0.720460432932466,0.729445274234889,24,0.363843331515498,NA,NA,NA,40,NA
8,"STB-progenitor","FIB1","PGF->FLT1",0.719545961689619,0.669373570854247,9,0.348842467242219,NA,NA,NA,8,NA
8,"EVT","FIB1","PGF->FLT1",0.719161666436391,0.833749243554666,164,0.467351429333491,NA,NA,NA,40,NA
9,"STB","vCTB1","PGF->FLT1",0.718573102609947,0.834199552088436,3,0.330650346416367,NA,NA,NA,15,NA
9,"STB-progenitor","EVT","PGF->FLT1",0.718273973539506,0.726043475806842,14,0.411093050517067,NA,NA,NA,25,NA
9,"STB-progenitor","FIB1","PGF->FLT1",0.714619562873468,0.657415476001125,35,0.438343719772071,NA,NA,NA,40,NA
9,"EVT-progenitor","Erythroblasts","TGFB1->TGFBR1",0.710983935506498,0.710983935506498,1,0.0841954660468221,NA,NA,NA,8,NA
9,"STB","vCTBp","PGF->FLT1",0.710983935506498,0.710983935506498,1,0.409185012181671,NA,NA,NA,8,NA
9,"EVT3","STB-progenitor","TGFB1->TGFBR1",0.710983935506498,0.710983935506498,1,0.264265370646856,NA,NA,NA,15,NA
8,"EVT","vCTB1","PGF->FLT1",0.710983935506498,0.710983935506498,1,0.508204181931676,NA,NA,NA,15,NA
8,"EVT-progenitor","vCTBp","PGF->FLT1",0.710983935506498,0.710983935506498,1,0.457792566123743,NA,NA,NA,25,NA
8,"EVT-progenitor","STB-progenitor","PGF->FLT1",0.707621144951648,0.925439930377066,3,0.430315140137418,NA,NA,NA,8,NA
11,"STB","EVT","PGF->FLT1",0.699728643222352,0.846913799327206,64,0.399543466075597,NA,NA,NA,25,NA
9,"STB-progenitor","EVT-progenitor","PGF->FLT1",0.696677345023073,0.612045542336297,5,0.465894568397455,NA,NA,NA,15,NA
9,"EVT3","Endothelial","TGFB1->TGFBR2",0.695223386608396,0.833749243554666,3,0.198346901073361,NA,NA,NA,40,NA
