"week","sender_label","receiver_label","lr","n_k","n_k_sig","median_z","robust_fraction"
8,"EVT","EVT","CSF1->CSF1R",4,0,NA,0
8,"EVT","EVT","CXCL12->CXCR4",4,0,NA,0
8,"EVT","EVT","HLA-G->LILRB1",4,0,NA,0
8,"EVT","EVT","HLA-G->LILRB2",4,0,NA,0
8,"EVT","EVT","LGALS9->HAVCR2",4,0,NA,0
8,"EVT","EVT","PGF->FLT1",4,0,NA,0
8,"EVT","EVT","TGFB1->TGFBR1",4,0,NA,0
8,"EVT","EVT","TGFB1->TGFBR2",4,0,NA,0
8,"EVT","EVT","VEGFA->KDR",4,0,NA,0
8,"EVT","EVT-progenitor","CSF1->CSF1R",4,0,NA,0
8,"EVT","EVT-progenitor","CXCL12->CXCR4",4,0,NA,0
8,"EVT","EVT-progenitor","HLA-G->LILRB1",4,0,NA,0
8,"EVT","EVT-progenitor","HLA-G->LILRB2",4,0,NA,0
8,"EVT","EVT-progenitor","LGALS9->HAVCR2",4,0,NA,0
8,"EVT","EVT-progenitor","PGF->FLT1",4,0,NA,0
8,"EVT","EVT-progenitor","TGFB1->TGFBR1",4,0,NA,0
8,"EVT","EVT-progenitor","TGFB1->TGFBR2",4,0,NA,0
8,"EVT","EVT-progenitor","VEGFA->KDR",4,0,NA,0
8,"EVT","EVT3","CSF1->CSF1R",4,0,NA,0
8,"EVT","EVT3","CXCL12->CXCR4",4,0,NA,0
8,"EVT","EVT3","HLA-G->LILRB1",4,0,NA,0
8,"EVT","EVT3","HLA-G->LILRB2",4,0,NA,0
8,"EVT","EVT3","LGALS9->HAVCR2",4,0,NA,0
8,"EVT","EVT3","PGF->FLT1",4,0,NA,0
8,"EVT","EVT3","TGFB1->TGFBR1",4,0,NA,0
8,"EVT","EVT3","TGFB1->TGFBR2",4,0,NA,0
8,"EVT","EVT3","VEGFA->KDR",4,0,NA,0
8,"EVT","Endothelial","CSF1->CSF1R",4,0,NA,0
8,"EVT","Endothelial","CXCL12->CXCR4",4,0,NA,0
8,"EVT","Endothelial","HLA-G->LILRB1",4,0,NA,0
8,"EVT","Endothelial","HLA-G->LILRB2",4,0,NA,0
8,"EVT","Endothelial","LGALS9->HAVCR2",4,0,NA,0
8,"EVT","Endothelial","PGF->FLT1",4,0,NA,0
8,"EVT","Endothelial","TGFB1->TGFBR1",4,0,NA,0
8,"EVT","Endothelial","TGFB1->TGFBR2",4,0,NA,0
8,"EVT","Endothelial","VEGFA->KDR",4,0,NA,0
8,"EVT","Erythroblasts","CSF1->CSF1R",4,0,NA,0
8,"EVT","Erythroblasts","CXCL12->CXCR4",4,0,NA,0
