"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2"
"Endothelial",22.5,4.71,39.935,16.755,4.825,21.725,108.76,61.74,212.49,21.33,175.27,8.34,1.62
"Erythroblasts",4.96,1.015,8.42,3.755,1.085,4.545,22.875,13.295,45.18,4.63,38.15,1.73,0.36
"EVT",41.21,8.385,71.6,30.685,8.76,38.58,192.61,110.235,379.645,37.875,312.945,14.565,2.905
"EVT-progenitor",16.86,3.705,29.495,12.685,3.665,16.355,80.725,46.38,159.555,16.325,132.41,5.665,1.175
"EVT3",5.075,1.04,8.675,3.715,0.95,4.76,23.34,13.11,45.105,4.815,37.545,1.54,0.33
"FIB1",21.855,4.545,38.61,16.495,4.38,20.615,103.515,60.18,203.755,21.145,171.09,7.395,1.42
"FIB2",109.04,22.92,193.545,80.565,23.585,105.14,515.07,297.62,1011.67,103.87,841,38.365,7.61
"Hofbauer cells",62.03,12.845,111.75,47.105,13.2,59.575,296.42,171.115,579.445,60.99,484.21,21.98,4.335
"STB",211.455,44.405,377.985,158.345,44.915,204.675,1013.315,579.405,1973.875,203.11,1647.505,75.88,15.13
"STB-progenitor",21.805,4.695,38.22,16.405,4.97,20.645,105.63,60.185,203.78,20.7,168.47,8.065,1.43
"vCTB",176.79,37.715,316.565,133.125,37.39,171.645,841.24,480.725,1647.56,168.32,1364.185,62.375,12.365
"vCTB1",8.04,1.83,14.8,5.915,1.62,7.915,39.095,22.39,75.28,7.425,62.32,2.795,0.575
"vCTB2",1.75,0.325,2.89,1.2,0.32,1.6,7.53,4.395,15.37,1.46,12.495,0.56,0.105
