"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2"
"Endothelial",0.660856344855054,2.47324932478842,-1.99220111114648,-0.635873159941132,-0.0637248301389596,0.196067262023093,-0.138336036732523,-0.308804207399233,-0.552982812307057,-0.869603799526034,2.10875321311246,-0.175236376859617,-0.962643899233726
"Erythroblasts",1.96774342699807,0.283363748989195,0.200924068410362,-0.61287740906975,0.967651874379015,-0.605629661005097,0.827050818134721,0.234199280767709,-1.01912832526907,0.904638232983981,-0.385346420418987,-1.13581353656006,-0.758269136077063
"EVT",1.15012055096636,-0.222577879221888,-2.81044565755556,0.149531102300193,0.243844262298892,1.36785662816045,0.0701968136553666,0.846386910106192,0.611895589407405,1.76745857902112,-1.15512162708965,-1.00012251687247,-1.49455637854653
"EVT-progenitor",-0.111087672692303,-0.717501415016738,-1.1491163478051,-0.354185599425182,-0.865734391414488,1.02567756861675,-0.299488710626754,1.00042559224256,0.286275231514107,0.0760702471578706,-0.00889084441534909,-0.470344261448316,0.858686711954582
"EVT3",0.0999755381652241,0.985807154516154,2.06087522791989,0.0623924042997986,0.227045460247774,0.202889713450468,-1.60057458241538,-0.294148089844728,-0.671682848630586,0.827011298770347,0.579988196551958,-0.554567808427562,-0.785700366589615
"FIB1",-0.141625850408324,-1.04309976309046,0.574511877287777,-0.834165345708707,-1.15080721297441,1.03748542043581,0.324971482142467,0.107975554476315,-0.247365633246014,1.66491400741407,-0.765609894460194,0.2721908575852,0.257582497528626
"FIB2",0.496757795147545,-0.51786389210399,-1.80906615197926,0.168224032444602,-1.36345436310875,1.39848793797694,0.370886631499316,-2.00173138450727,0.300877618057355,2.10881187965136,0.605116624330578,-1.54120472531679,1.54860943360776
"Hofbauer cells",0.44469825722777,-1.01166605534168,-1.27210411468017,0.0116551773111757,-0.991329223001598,0.302109689175984,-0.444692650718786,0.0482908146844478,1.19737657895046,0.858090740233162,-0.663572411101666,0.0678392958123454,0.962262605434737
"STB",1.01353967323256,-1.63014280375851,-2.09678773153168,1.35376839405681,-1.85645167516374,0.521484207550994,-1.51234613094799,-0.999685756662389,0.349088296024051,2.19372977966872,1.15105805219252,-0.304543412247954,1.36502664510494
"STB-progenitor",0.199887473940578,1.26460863603,-0.217735158942992,-1.08447178066824,-0.193517027289175,0.486506581205446,-0.356750803934586,0.417168237026847,0.00274735194514008,0.402905215638604,0.0663816934096555,-0.973039583381451,-0.27129824849652
"vCTB",0.786223017908371,-1.0165409743369,-1.9718920665282,1.43609759724848,-0.690165924499186,0.303308792185968,1.53442258911753,-0.0422024170431461,-0.0521539584628053,0.000714946085084638,-0.508668096381365,-0.399209667121643,-0.592238306952798
"vCTB1",-0.57108959825839,-0.363323117631237,-0.465272418766418,0.0603152823785793,-0.420079695899104,1.8480980116247,-0.594354196994492,-0.015931959387602,0.635817709036923,0.898951464773323,-0.191607631618694,-2.13348382912649,0.963199328451355
"vCTB2",-0.407270522127469,0.573148599418987,-0.793145054642982,0.795627638683729,-0.749503763929066,1.82644731413331,-1.73164557758824,0.762378554962605,-0.765979249206164,2.80591335615367,0.20022967942639,-0.95836398949761,1.60752501682423
