"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2"
"Endothelial",6,1,12,6,2,8,28,17,79,3,58,3,1
"Erythroblasts",1,0,6,1,0,2,7,6,15,1,8,1,0
"EVT",6,3,30,2,2,11,74,31,128,11,98,3,1
"EVT-progenitor",4,0,8,2,0,6,23,18,52,7,44,4,0
"EVT3",1,0,4,2,0,0,8,3,17,0,13,0,0
"FIB1",9,1,10,7,1,5,34,19,56,11,62,1,0
"FIB2",38,4,56,22,6,40,139,94,363,30,263,15,2
"Hofbauer cells",15,3,47,9,6,21,87,56,181,24,159,7,1
"STB",77,11,135,50,12,58,338,180,645,61,496,28,5
"STB-progenitor",13,1,13,2,2,8,32,19,61,5,57,3,0
"vCTB",72,9,103,35,16,45,270,130,548,49,445,20,2
"vCTB1",1,0,3,1,0,5,16,5,25,1,21,2,0
"vCTB2",1,0,2,1,0,0,2,1,4,0,5,0,0
