"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2"
"Endothelial",18,3,20,13,2,16,51,38,141,13,99,3,3
"Erythroblasts",2,1,3,1,1,0,11,8,35,5,22,1,0
"EVT",30,5,44,12,5,25,95,51,242,25,199,16,1
"EVT-progenitor",14,1,17,9,3,10,41,25,117,7,66,5,0
"EVT3",1,1,3,2,0,1,23,10,25,2,22,0,0
"FIB1",17,0,25,8,1,16,71,23,137,16,88,3,0
"FIB2",65,9,117,44,14,52,316,169,630,80,486,21,7
"Hofbauer cells",46,8,65,21,7,39,176,100,364,49,269,10,1
"STB",144,10,203,106,21,109,565,334,1267,143,983,35,10
"STB-progenitor",8,5,17,8,1,14,57,37,140,12,98,7,1
"vCTB",111,17,201,59,15,113,492,279,1005,103,817,44,14
"vCTB1",4,1,4,5,1,2,23,14,49,7,40,0,0
"vCTB2",0,0,3,0,1,2,3,2,12,1,5,1,0
