"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",34.525,18.845,5.75,4.26,2.94,44.625,131.89,37.765,52.04,21.63,244.25,1.48
"Erythroblasts",18.3,10.56,3.025,2.14,1.6,24.09,71.455,20.185,27.9,11.465,133.52,0.76
"EVT",5.695,3.23,0.9,0.655,0.42,7.575,22.23,6.345,8.68,3.54,40.46,0.27
"EVT-progenitor",4.425,2.34,0.655,0.585,0.325,5.695,16.235,4.87,6.425,2.68,30.6,0.165
"EVT3",2.915,1.535,0.475,0.365,0.23,3.835,11.075,3.11,4.4,1.775,20.14,0.145
"FIB1",44.73,24.325,7.355,5.495,3.765,56.515,170.05,48.675,67.095,27.945,317.285,1.765
"FIB2",131.975,71.245,21.85,15.99,10.94,169.795,497.07,143.205,197.655,82.14,927.625,5.51
"Hofbauer cells",38.045,20.19,5.955,4.725,3.205,48.245,142.38,40.67,55.245,23.39,266.31,1.64
"STB",52.62,27.975,8.93,6.31,4.16,66.3,196.855,56.765,78.73,32.205,366.945,2.205
"STB-progenitor",21.415,11.295,3.61,2.575,1.695,27.505,81.16,23.55,32.395,14.08,154.855,0.865
"vCTB",246.87,133.395,41.08,30.14,20.155,314.19,927.385,267.54,370.285,154.215,1734.315,10.43
"vCTBp",1.56,0.71,0.25,0.185,0.105,1.79,5.105,1.49,2.495,1.005,10.225,0.08
