"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",45,24,3,1,2,46,120,42,56,21,239,1
"Erythroblasts",19,4,3,2,1,25,69,30,29,7,136,0
"EVT",6,3,2,1,0,7,25,5,11,3,37,0
"EVT-progenitor",3,3,1,0,0,10,12,5,4,2,35,0
"EVT3",0,5,0,0,0,2,17,5,3,0,18,0
"FIB1",41,22,4,2,7,72,156,53,71,24,323,0
"FIB2",130,68,19,11,6,178,524,136,200,70,929,4
"Hofbauer cells",38,17,2,1,3,59,146,38,58,21,265,2
"STB",51,21,5,4,4,59,203,64,99,25,364,1
"STB-progenitor",21,17,4,0,2,21,71,26,32,15,165,1
"vCTB",272,123,49,10,13,302,1012,273,336,170,1682,8
"vCTBp",3,0,1,0,0,1,5,1,6,0,8,0
