"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",20.775,11.455,3.4,2.65,1.68,26.42,77.88,22.43,31.22,12.985,148.195,0.91
"Erythroblasts",11.25,5.8,1.785,1.46,0.835,14.67,42.43,12.2,16.89,7,80.15,0.53
"EVT",3.52,1.86,0.6,0.465,0.26,4.485,13.195,3.885,5.045,2.175,24.275,0.235
"EVT-progenitor",2.61,1.515,0.42,0.275,0.195,3.13,9.96,2.74,4.115,1.685,18.27,0.085
"EVT3",1.76,0.845,0.275,0.21,0.11,2.355,6.87,1.725,2.66,1.015,12.115,0.06
"FIB1",26.12,14.525,4.59,3.385,2.12,33.865,101.81,29.975,40.3,16.67,190.475,1.165
"FIB2",78.93,43.175,13.15,9.745,6.405,100.135,299.32,85.23,119.215,50.145,556.315,3.235
"Hofbauer cells",21.885,12.07,3.765,2.64,1.9,29.285,85.515,24.325,34.24,13.905,159.555,0.915
"STB",31.7,16.5,5.455,3.88,2.605,39.775,118.07,33.96,46.575,19.73,220.255,1.495
"STB-progenitor",13.195,7.215,2.27,1.56,1.23,16.48,49.075,14.495,19.305,7.84,91.785,0.55
"vCTB",147.4,80.355,24.83,18.195,12.205,190.645,556.935,161.005,219.755,91.135,1041.4,6.14
"vCTBp",0.93,0.425,0.09,0.09,0.07,1.15,3.335,0.93,1.295,0.53,6.115,0.04
