"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",28,15,1,0,1,27,88,25,30,17,127,1
"Erythroblasts",14,8,4,3,1,15,39,7,10,5,89,0
"EVT",5,5,1,0,0,2,15,4,2,5,20,1
"EVT-progenitor",3,1,1,0,0,5,10,2,3,1,19,0
"EVT3",0,0,1,0,0,4,7,3,3,0,12,0
"FIB1",36,14,6,3,2,29,102,34,40,17,181,1
"FIB2",79,48,15,6,7,101,304,79,118,48,553,7
"Hofbauer cells",24,19,3,2,0,40,79,22,32,9,160,0
"STB",34,10,8,1,1,38,113,39,45,10,241,0
"STB-progenitor",12,6,2,0,0,18,50,13,26,7,90,1
"vCTB",148,66,18,9,8,192,597,159,230,90,1028,5
"vCTBp",2,0,1,0,0,0,2,0,3,0,7,0
