"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"EVT2","Endothelial_cells","TGFB1","TGFbR1_R2",0.00785083071284588,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"EVT3","Endothelial_cells","TGFB1","TGFbR1_R2",0.0118080911787368,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Hofbauer cells","Endothelial_cells","TGFB1","TGFbR1_R2",0.00226131616710609,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"myeloid_unknown","Endothelial_cells","TGFB1","TGFbR1_R2",0.00226131616710609,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"EVT2","Fibroblast1","TGFB1","TGFbR1_R2",0.00294959784269111,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"EVT3","Fibroblast1","TGFB1","TGFbR1_R2",0.00445435636822389,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Hofbauer cells","Fibroblast1","TGFB1","TGFbR1_R2",0.000843356605018596,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"myeloid_unknown","Fibroblast1","TGFB1","TGFbR1_R2",0.000843356605018596,0.02,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"EVT2","Fibroblast2","TGFB1","TGFbR1_R2",0.00471694591646945,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"EVT3","Fibroblast2","TGFB1","TGFbR1_R2",0.00710282419265403,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Hofbauer cells","Fibroblast2","TGFB1","TGFbR1_R2",0.00135575889208256,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"myeloid_unknown","Fibroblast2","TGFB1","TGFbR1_R2",0.00135575889208256,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"EVT2","Hofbauer cells","TGFB1","TGFbR1_R2",0.0101481966541412,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
