"dataset","version","week","week_num","celltype","n_cells","total_cells","prop"
"Multiome","author","10",10,"EVT1",19,8550,0.00222222222222222
"Multiome","author","10",10,"EVT2",505,8550,0.0590643274853801
"Multiome","author","10",10,"EVT3",99,8550,0.0115789473684211
"Multiome","author","10",10,"Endothelial_cells",423,8550,0.0494736842105263
"Multiome","author","10",10,"Fibroblast1",789,8550,0.092280701754386
"Multiome","author","10",10,"Fibroblast2",1659,8550,0.194035087719298
"Multiome","author","10",10,"Hofbauer cells",41,8550,0.0047953216374269
"Multiome","author","10",10,"Maternal fibroblast",8,8550,0.000935672514619883
"Multiome","author","10",10,"STB",300,8550,0.0350877192982456
"Multiome","author","10",10,"maternal macrophages",54,8550,0.00631578947368421
"Multiome","author","10",10,"unknown2",121,8550,0.0141520467836257
"Multiome","author","10",10,"vCTB2",3135,8550,0.366666666666667
"Multiome","author","10",10,"vCTB3",343,8550,0.0401169590643275
"Multiome","author","10",10,"vCTBp",1054,8550,0.12327485380117
"Multiome","author","11",11,"EVT1",8,3949,0.00202582932387946
"Multiome","author","11",11,"EVT2",54,3949,0.0136743479361864
"Multiome","author","11",11,"EVT3",105,3949,0.026589009875918
"Multiome","author","11",11,"Endothelial_cells",34,3949,0.00860977462648772
"Multiome","author","11",11,"Fibroblast1",87,3949,0.0220308938971892
"Multiome","author","11",11,"Fibroblast2",614,3949,0.155482400607749
"Multiome","author","11",11,"Hofbauer cells",36,3949,0.00911623195745758
"Multiome","author","11",11,"Maternal fibroblast",44,3949,0.011142061281337
"Multiome","author","11",11,"STB",223,3949,0.05646999240314
"Multiome","author","11",11,"maternal macrophages",95,3949,0.0240567232210686
"Multiome","author","11",11,"myeloid_unknown",1,3949,0.000253228665484933
"Multiome","author","11",11,"unknown2",23,3949,0.00582425930615346
"Multiome","author","11",11,"vCTB1",277,3949,0.0701443403393264
"Multiome","author","11",11,"vCTB2",1709,3949,0.43276778931375
"Multiome","author","11",11,"vCTB3",22,3949,0.00557103064066852
"Multiome","author","11",11,"vCTBp",617,3949,0.156242086604204
"Multiome","author","6",6,"EVT1",25,3712,0.00673491379310345
"Multiome","author","6",6,"EVT2",387,3712,0.104256465517241
"Multiome","author","6",6,"EVT3",12,3712,0.00323275862068966
"Multiome","author","6",6,"Endothelial_cells",41,3712,0.0110452586206897
"Multiome","author","6",6,"Fibroblast1",133,3712,0.0358297413793103
"Multiome","author","6",6,"Fibroblast2",712,3712,0.191810344827586
"Multiome","author","6",6,"Hofbauer cells",6,3712,0.00161637931034483
"Multiome","author","6",6,"Maternal fibroblast",3,3712,0.000808189655172414
"Multiome","author","6",6,"STB",209,3712,0.0563038793103448
"Multiome","author","6",6,"maternal macrophages",8,3712,0.0021551724137931
"Multiome","author","6",6,"unknown2",18,3712,0.00484913793103448
"Multiome","author","6",6,"vCTB2",1322,3712,0.35614224137931
"Multiome","author","6",6,"vCTB3",151,3712,0.0406788793103448
"Multiome","author","6",6,"vCTBp",685,3712,0.184536637931034
"Multiome","author","7",7,"EVT1",18,5781,0.00311364815775817
"Multiome","author","7",7,"EVT2",345,5781,0.0596782563570317
"Multiome","author","7",7,"EVT3",79,5781,0.0136654558034942
"Multiome","author","7",7,"Endothelial_cells",92,5781,0.0159142016952084
"Multiome","author","7",7,"Fibroblast1",299,5781,0.0517211555094274
"Multiome","author","7",7,"Fibroblast2",1526,5781,0.26396817159661
"Multiome","author","7",7,"Hofbauer cells",44,5781,0.00761113994118665
"Multiome","author","7",7,"Maternal fibroblast",13,5781,0.00224874589171424
"Multiome","author","7",7,"STB",327,5781,0.0565646081992735
"Multiome","author","7",7,"maternal macrophages",41,5781,0.00709219858156028
"Multiome","author","7",7,"unknown2",51,5781,0.00882200311364816
"Multiome","author","7",7,"vCTB1",85,5781,0.0147033385227469
"Multiome","author","7",7,"vCTB2",2047,5781,0.354090987718388
"Multiome","author","7",7,"vCTB3",7,5781,0.00121086317246151
"Multiome","author","7",7,"vCTBp",807,5781,0.139595225739491
"Multiome","author","8",8,"EVT1",89,9997,0.00890267080124037
"Multiome","author","8",8,"EVT2",614,9997,0.0614184255276583
"Multiome","author","8",8,"EVT3",139,9997,0.0139041712513754
"Multiome","author","8",8,"Endothelial_cells",52,9997,0.00520156046814044
"Multiome","author","8",8,"Fibroblast1",95,9997,0.00950285085525658
"Multiome","author","8",8,"Fibroblast2",446,9997,0.0446133840152046
"Multiome","author","8",8,"Hofbauer cells",16,9997,0.00160048014404321
