"dataset","version","week","week_num","celltype","n_cells","total_cells","prop","is_fibro","fibro_prop","ratio_to_fibro","log2_ratio_to_fibro"
"Multiome","author","10",10,"EVT1",19,8550,0.00222222222222222,FALSE,0.287251461988304,0.00773615635179153,-7.01398085666166
"Multiome","author","10",10,"EVT2",505,8550,0.0590643274853801,FALSE,0.287251461988304,0.205618892508143,-2.28194825139359
"Multiome","author","10",10,"EVT3",99,8550,0.0115789473684211,FALSE,0.287251461988304,0.0403094462540717,-4.63270243523935
"Multiome","author","10",10,"Endothelial_cells",423,8550,0.0494736842105263,FALSE,0.287251461988304,0.172231270358306,-2.53757261577568
"Multiome","author","10",10,"Fibroblast1",789,8550,0.092280701754386,TRUE,0.287251461988304,0.321254071661238,-1.63820886454112
"Multiome","author","10",10,"Fibroblast2",1659,8550,0.194035087719298,TRUE,0.287251461988304,0.675488599348534,-0.565994538635897
"Multiome","author","10",10,"Hofbauer cells",41,8550,0.0047953216374269,FALSE,0.287251461988304,0.0166938110749186,-5.90445642238869
"Multiome","author","10",10,"Maternal fibroblast",8,8550,0.000935672514619883,TRUE,0.287251461988304,0.00325732899022801,-8.261652005965
"Multiome","author","10",10,"STB",300,8550,0.0350877192982456,FALSE,0.287251461988304,0.12214983713355,-3.03326434405924
"Multiome","author","10",10,"maternal macrophages",54,8550,0.00631578947368421,FALSE,0.287251461988304,0.0219869706840391,-5.50714172879103
"Multiome","author","10",10,"unknown2",121,8550,0.0141520467836257,FALSE,0.287251461988304,0.0492671009771987,-4.34320232526037
"Multiome","author","10",10,"vCTB2",3135,8550,0.366666666666667,FALSE,0.287251461988304,1.2764657980456,0.352156012544942
"Multiome","author","10",10,"vCTB3",343,8550,0.0401169590643275,FALSE,0.287251461988304,0.139657980456026,-2.84001974903313
"Multiome","author","10",10,"vCTBp",1054,8550,0.12327485380117,FALSE,0.287251461988304,0.429153094462541,-1.22043233201106
"Multiome","author","11",11,"EVT1",8,3949,0.00202582932387946,FALSE,0.188655355786275,0.010738255033557,-6.54096227062917
"Multiome","author","11",11,"EVT2",54,3949,0.0136743479361864,FALSE,0.188655355786275,0.0724832214765101,-3.7861892094751
"Multiome","author","11",11,"EVT3",105,3949,0.026589009875918,FALSE,0.188655355786275,0.140939597315436,-2.8268408614549
"Multiome","author","11",11,"Endothelial_cells",34,3949,0.00860977462648772,FALSE,0.188655355786275,0.0456375838926175,-4.45360216245124
"Multiome","author","11",11,"Fibroblast1",87,3949,0.0220308938971892,TRUE,0.188655355786275,0.116778523489933,-3.09814076544098
"Multiome","author","11",11,"Fibroblast2",614,3949,0.155482400607749,TRUE,0.188655355786275,0.824161073825503,-0.279000019479095
"Multiome","author","11",11,"Hofbauer cells",36,3949,0.00911623195745758,FALSE,0.188655355786275,0.0483221476510067,-4.37114175844376
"Multiome","author","11",11,"Maternal fibroblast",44,3949,0.011142061281337,TRUE,0.188655355786275,0.0590604026845638,-4.0816405694689
"Multiome","author","11",11,"STB",223,3949,0.05646999240314,FALSE,0.188655355786275,0.299328859060403,-1.74019189567133
"Multiome","author","11",11,"maternal macrophages",95,3949,0.0240567232210686,FALSE,0.188655355786275,0.12751677852349,-2.97122969329656
"Multiome","author","11",11,"myeloid_unknown",1,3949,0.000253228665484933,FALSE,0.188655355786275,0.00134228187919463,-9.54002220771123
"Multiome","author","11",11,"unknown2",23,3949,0.00582425930615346,FALSE,0.188655355786275,0.0308724832214765,-5.01748792927518
"Multiome","author","11",11,"vCTB1",277,3949,0.0701443403393264,FALSE,0.188655355786275,0.371812080536913,-1.42735056913297
"Multiome","author","11",11,"vCTB2",1709,3949,0.43276778931375,FALSE,0.188655355786275,2.29395973154362,1.19784069523684
"Multiome","author","11",11,"vCTB3",22,3949,0.00557103064066852,FALSE,0.188655355786275,0.0295302013422819,-5.08161614263916
"Multiome","author","11",11,"vCTBp",617,3949,0.156242086604204,FALSE,0.188655355786275,0.828187919463087,-0.271968194211197
"Multiome","author","6",6,"EVT1",25,3712,0.00673491379310345,FALSE,0.228448275862069,0.0294811320754717,-5.08401532940263
"Multiome","author","6",6,"EVT2",387,3712,0.104256465517241,FALSE,0.228448275862069,0.456367924528302,-1.131727537168
"Multiome","author","6",6,"EVT3",12,3712,0.00323275862068966,FALSE,0.228448275862069,0.0141509433962264,-6.14285600699457
"Multiome","author","6",6,"Endothelial_cells",41,3712,0.0110452586206897,FALSE,0.228448275862069,0.0483490566037736,-4.37033861109772
"Multiome","author","6",6,"Fibroblast1",133,3712,0.0358297413793103,TRUE,0.228448275862069,0.156839622641509,-2.67262882055453
"Multiome","author","6",6,"Fibroblast2",712,3712,0.191810344827586,TRUE,0.228448275862069,0.839622641509434,-0.252185305331821
"Multiome","author","6",6,"Hofbauer cells",6,3712,0.00161637931034483,FALSE,0.228448275862069,0.00707547169811321,-7.14275406735057
