"dataset","version","celltype","n_weeks","slope_prop","slope_log2_ratio_to_fibro"
"Multiome","author","EVT1",6,-0.000587749087283737,-0.263246335792256
"Multiome","author","EVT2",6,-0.0119398443430485,-0.394769145998223
"Multiome","author","EVT3",6,0.00383504838189398,0.460586652790529
"Multiome","author","Endothelial_cells",6,0.00266780977687865,0.121949845769831
"Multiome","author","Fibroblast1",6,0.00230830526045018,0.0338534925710839
"Multiome","author","Fibroblast2",6,-0.00892798540142527,-0.0335550040781538
"Multiome","author","Hofbauer cells",6,0.00104016810886909,0.376135787884745
"Multiome","author","Maternal fibroblast",6,0.00155546400583332,0.526050659075158
"Multiome","author","STB",6,-0.00239998714085058,-0.0667796271630761
"Multiome","author","maternal macrophages",6,0.00385412338583537,0.549917695467704
"Multiome","author","myeloid_unknown",2,-0.0012493238982077,-1.91956077703567
"Multiome","author","unknown1",1,NA,NA
"Multiome","author","unknown2",6,0.00043637568522347,0.0792823933125189
"Multiome","author","vCTB1",4,0.0143304505703142,0.578187827033859
"Multiome","author","vCTB2",6,0.0082990921083648,0.0389671581413809
"Multiome","author","vCTB3",6,-0.00259230849319797,-0.0557287279538308
"Multiome","author","vCTBp",6,-0.00637926392019591,-0.0540652407025348
"Multiome","final","EVT1",6,-0.000587749087283737,-0.263246335792256
"Multiome","final","EVT2",6,-0.0119398443430485,-0.394769145998223
"Multiome","final","EVT3",6,0.00383504838189398,0.460586652790529
"Multiome","final","Endothelial_cells",6,0.00266780977687865,0.121949845769831
"Multiome","final","Fibroblast1",6,0.00230830526045018,0.0338534925710839
"Multiome","final","Fibroblast2",6,-0.00892798540142527,-0.0335550040781538
"Multiome","final","Hofbauer cells",6,0.00104016810886909,0.376135787884745
"Multiome","final","Maternal fibroblast",6,0.00155546400583332,0.526050659075158
"Multiome","final","STB",6,-0.00239998714085058,-0.0667796271630761
"Multiome","final","maternal macrophages",6,0.00385412338583537,0.549917695467704
"Multiome","final","myeloid_unknown",2,-0.0012493238982077,-1.91956077703567
"Multiome","final","unknown1",1,NA,NA
"Multiome","final","unknown2",6,0.00043637568522347,0.0792823933125189
"Multiome","final","vCTB1",4,0.0143304505703142,0.578187827033859
"Multiome","final","vCTB2",6,0.0082990921083648,0.0389671581413809
"Multiome","final","vCTB3",6,-0.00259230849319797,-0.0557287279538308
"Multiome","final","vCTBp",6,-0.00637926392019591,-0.0540652407025348
"Multiome","reference","EVT1",6,-0.000587749087283737,-0.263246335792256
"Multiome","reference","EVT2",6,-0.0119398443430485,-0.394769145998223
"Multiome","reference","EVT3",6,0.00383504838189398,0.460586652790529
"Multiome","reference","Endothelial_cells",6,0.00266780977687865,0.121949845769831
"Multiome","reference","Fibroblast1",6,0.00230830526045018,0.0338534925710839
"Multiome","reference","Fibroblast2",6,-0.00892798540142527,-0.0335550040781538
"Multiome","reference","Hofbauer cells",6,0.00104016810886909,0.376135787884745
"Multiome","reference","Maternal fibroblast",6,0.00155546400583332,0.526050659075158
"Multiome","reference","STB",6,-0.00239998714085058,-0.0667796271630761
"Multiome","reference","maternal macrophages",6,0.00385412338583537,0.549917695467704
"Multiome","reference","myeloid_unknown",2,-0.0012493238982077,-1.91956077703567
"Multiome","reference","unknown1",1,NA,NA
"Multiome","reference","unknown2",6,0.00043637568522347,0.0792823933125189
"Multiome","reference","vCTB1",4,0.0143304505703142,0.578187827033859
"Multiome","reference","vCTB2",6,0.0082990921083648,0.0389671581413809
