"dataset","celltype_use","n_weeks","rho","p_value","p_adj","trend_sig","metric"
"Multiome","EVT1",6,0.257142857142857,0.622787172011662,0.888888888888889,"NS","PLD1_mean"
"Multiome","EVT2",6,-0.257142857142857,0.622787172011662,0.888888888888889,"NS","PLD1_mean"
"Multiome","EVT3",6,-0.6,0.208,0.624,"NS","PLD1_mean"
"Multiome","Endothelial_cells",6,-0.714285714285714,0.110787172011662,0.443148688046647,"NS","PLD1_mean"
"Multiome","Fibroblast1",6,-0.314285714285714,0.544093294460641,0.888888888888889,"NS","PLD1_mean"
"Multiome","Fibroblast2",6,0.142857142857143,0.787172011661808,0.899625156184923,"NS","PLD1_mean"
"Multiome","Hofbauer cells",6,0.0285714285714286,0.957154518950437,0.957154518950437,"NS","PLD1_mean"
"Multiome","Maternal fibroblast",6,0.714285714285714,0.110787172011662,0.443148688046647,"NS","PLD1_mean"
"Multiome","STB",6,-0.0857142857142857,0.871743440233237,0.909645328939029,"NS","PLD1_mean"
"Multiome","maternal macrophages",6,0.142857142857143,0.787172011661808,0.899625156184923,"NS","PLD1_mean"
"Multiome","myeloid_unknown",2,NA,NA,NA,"NS","PLD1_mean"
"Multiome","unknown1",1,NA,NA,NA,"NS","PLD1_mean"
"Multiome","unknown2",6,0.142857142857143,0.787172011661808,0.899625156184923,"NS","PLD1_mean"
"Multiome","vCTB1",4,0.4,0.6,0.888888888888889,"NS","PLD1_mean"
"Multiome","vCTB2",6,0.6,0.208,0.624,"NS","PLD1_mean"
"Multiome","vCTB3",6,0.0857142857142857,0.871743440233236,0.909645328939029,"NS","PLD1_mean"
"Multiome","vCTBp",6,0.371428571428571,0.468478134110787,0.888888888888889,"NS","PLD1_mean"
"STARmap","EVT2",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","EVT3",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","Endothelial_cells",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","Fibroblast1",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","Fibroblast2",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","Hofbauer cells",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","STB",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","maternal macrophages",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","unknown2",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","unknown3",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","vCTB2",2,NA,NA,NA,"NS","PLD1_mean"
"STARmap","vCTBp",2,NA,NA,NA,"NS","PLD1_mean"
"Slide-tags","EVT",2,NA,NA,NA,"NS","PLD1_mean"
"Slide-tags","EVT-progenitor",3,0.866025403784439,0.333333333333333,0.8,"NS","PLD1_mean"
"Slide-tags","EVT3",2,NA,NA,NA,"NS","PLD1_mean"
"Slide-tags","Endothelial",3,-1,0,0,"FDR<0.05","PLD1_mean"
"Slide-tags","Erythroblasts",3,-1,0,0,"FDR<0.05","PLD1_mean"
"Slide-tags","FIB1",3,-1,0,0,"FDR<0.05","PLD1_mean"
"Slide-tags","FIB2",3,-0.5,0.666666666666667,0.888888888888889,"NS","PLD1_mean"
"Slide-tags","Hofbauer cells",3,-0.5,0.666666666666667,0.888888888888889,"NS","PLD1_mean"
"Slide-tags","STB",3,-0.5,0.666666666666667,0.888888888888889,"NS","PLD1_mean"
"Slide-tags","STB-progenitor",3,-0.866025403784439,0.333333333333333,0.8,"NS","PLD1_mean"
"Slide-tags","vCTB",3,-1,0,0,"FDR<0.05","PLD1_mean"
"Slide-tags","vCTB1",1,NA,NA,NA,"NS","PLD1_mean"
"Slide-tags","vCTB2",1,NA,NA,NA,"NS","PLD1_mean"
"Slide-tags","vCTBp",1,NA,NA,NA,"NS","PLD1_mean"
"Multiome","EVT1",6,-0.428571428571429,0.396501457725947,0.911058823529412,"NS","MMP2_mean"
"Multiome","EVT2",6,-0.2,0.704,0.911058823529412,"NS","MMP2_mean"
"Multiome","EVT3",6,-0.0857142857142857,0.871743440233237,0.95891778425656,"NS","MMP2_mean"
"Multiome","Endothelial_cells",6,0.314285714285714,0.544093294460641,0.911058823529412,"NS","MMP2_mean"
"Multiome","Fibroblast1",6,-0.428571428571429,0.396501457725947,0.911058823529412,"NS","MMP2_mean"
"Multiome","Fibroblast2",6,-0.0285714285714286,0.957154518950437,1,"NS","MMP2_mean"
"Multiome","Hofbauer cells",6,0.927633657043918,0.00766584418747316,0.0421621430311024,"FDR<0.05","MMP2_mean"
"Multiome","Maternal fibroblast",6,0.371428571428571,0.468478134110787,0.911058823529412,"NS","MMP2_mean"
"Multiome","STB",6,-0.485714285714286,0.328723032069971,0.911058823529412,"NS","MMP2_mean"
"Multiome","maternal macrophages",6,0.0857142857142857,0.871743440233236,0.95891778425656,"NS","MMP2_mean"
"Multiome","myeloid_unknown",2,NA,NA,NA,"NS","MMP2_mean"
"Multiome","unknown1",1,NA,NA,NA,"NS","MMP2_mean"
"Multiome","unknown2",6,-0.542857142857143,0.265702623906705,0.911058823529412,"NS","MMP2_mean"
"Multiome","vCTB1",4,0,1,1,"NS","MMP2_mean"
"Multiome","vCTB2",6,-0.257142857142857,0.622787172011662,0.911058823529412,"NS","MMP2_mean"
